@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute output {lonely,notlonely}

@data

95.96818,1.362613,0.615855,0.887998,158.9579,6.658392,0.000366,0.007606,0.41712,lonely
49.43534,1.029173,1.189697,0.871266,43.09696,7.721388,0.000504,0.00843,2.176315,lonely
55.41522,1.232006,0.61102,0.880596,108.6698,5.597157,0.000399,0.006737,0.629586,lonely
69.84406,1.469589,0.656076,0.898188,56.3568,4.813898,0.000137,0.024103,0.613525,lonely
76.45585,1.294729,0.709245,0.891927,98.1832,6.05868,0.000169,0.003182,0.713503,lonely
85.4277,1.388999,0.324111,0.872665,89.01416,6.124912,0.000297,0.004382,0.802645,lonely
72.84509,1.639037,0.505814,0.875409,5.615953,4.044072,0.000362,0.006635,2.19819,lonely
76.60232,1.415578,0.556211,0.893834,54.31625,5.356807,0.000172,0.007982,0.365818,lonely
83.09131,1.401555,0.670022,0.896299,87.41462,5.806885,0.000136,0.008472,0.758759,lonely
109.0542,1.542873,0.592444,0.902175,60.81288,5.707075,0.000046,0.012047,0.192159,lonely
76.98977,1.400699,0.562796,0.899462,76.84716,5.452074,0.000117,0.008515,0.585882,lonely
85.70442,1.383063,0.708305,0.896258,52.0623,6.662409,0.000228,0.003588,1.37635,lonely
70.82507,1.249817,0.688606,0.892111,32.78126,6.509544,0.000187,0.003077,0.556039,lonely
77.54667,1.443262,0.811429,0.889888,103.5331,5.693263,0.000314,0.009838,1.039486,lonely
62.86944,1.163945,0.895962,0.883949,45.61342,6.696251,0.00025,0.006503,1.622286,lonely
102.2511,1.335012,0.629979,0.89234,122.5989,6.725454,0.000145,0.007631,0.46822,lonely
62.93062,1.244198,0.643201,0.889227,110.5029,6.012228,0.000149,0.005727,0.785674,lonely
92.87572,1.463848,0.605587,0.896631,76.94543,5.452915,0.000053,0.012758,0.176919,lonely
61.25741,1.117917,0.732322,0.853981,170.6964,7.304286,0.000795,0.013489,3.506694,lonely
68.10895,1.157876,0.959418,0.875861,148.5593,7.536888,0.000365,0.014696,1.996978,lonely
89.26302,1.448705,0.619909,0.89501,132.8681,5.564986,0.000097,0.011108,0.445245,lonely
78.05248,1.472095,0.524865,0.887452,42.70353,5.029482,0.000264,0.004816,0.783191,lonely
51.82536,1.26005,0.906568,0.885629,28.78602,5.684662,0.000399,0.003272,1.240732,lonely
65.97597,1.230712,0.895513,0.891036,151.1791,6.637774,0.000298,0.008832,1.670734,lonely
89.67092,1.2258,0.564735,0.873325,167.415,7.633121,0.000747,0.006646,1.773446,lonely
72.36376,1.322173,0.670477,0.893314,182.1761,5.79374,0.000208,0.008259,0.945456,lonely
93.97978,1.47029,0.566395,0.895833,70.37472,5.559383,0.000203,0.012753,0.898885,lonely
76.43214,1.491799,0.506014,0.88751,44.57759,4.936243,0.000298,0.003351,0.660931,lonely
60.94465,1.263838,0.828495,0.882689,55.95484,6.097993,0.000363,0.002748,1.497221,lonely
58.65136,1.24098,0.647467,0.879297,82.21213,5.58991,0.000428,0.00807,1.522973,lonely
64.69889,1.234877,0.761645,0.885736,119.2397,6.490606,0.000281,0.007102,1.046021,lonely
64.65911,1.252172,0.822482,0.871782,41.75829,6.226012,0.000545,0.002689,1.746437,lonely
91.43885,1.471791,0.634277,0.902098,57.12406,5.56354,0.000068,0.013421,0.170208,lonely
57.97492,0.960879,0.925721,0.863239,45.76253,9.502726,0.000482,0.002988,8.937987,lonely
53.96296,1.149024,0.604544,0.860047,87.77245,6.104851,0.000476,0.004092,1.020886,lonely
55.45796,1.163294,0.907783,0.879875,103.048,6.501344,0.000372,0.003767,1.21848,lonely
71.79118,1.359667,0.58218,0.880717,129.4599,5.632128,0.000278,0.007337,2.899311,lonely
61.18724,1.349551,0.943364,0.890541,81.70352,5.622205,0.000212,0.005665,1.137593,lonely
73.72281,1.325004,0.671335,0.901549,64.58993,6.053816,0.000127,0.005899,0.64631,lonely
90.22505,1.425176,0.568145,0.891097,114.3208,5.549963,0.000121,0.019123,0.17032,lonely
72.2035,1.262942,0.663991,0.886893,100.6292,6.319739,0.000236,0.008137,1.093261,lonely
79.38972,1.286189,0.827872,0.890433,118.7359,6.620364,0.000294,0.008057,1.021183,lonely
61.08536,1.405386,0.790273,0.90259,60.25821,5.278215,0.000145,0.006433,0.601509,lonely
73.44762,1.373496,0.612779,0.892665,47.27975,5.542277,0.000188,0.004796,1.22136,lonely
66.57521,1.454687,0.736642,0.890312,17.65021,4.923842,0.000252,0.007888,1.061128,lonely
59.29742,1.32274,0.626696,0.885857,82.3768,5.480887,0.00037,0.005369,1.066367,lonely
93.50886,1.500063,0.545963,0.895333,60.76677,5.255287,0.000125,0.016917,0.264925,lonely
82.20725,1.428516,0.637434,0.900198,48.14793,5.536743,0.000142,0.013562,0.485779,lonely
152.9257,1.52051,0.779904,0.884619,30.30431,7.424224,0.000913,0.006288,5.581272,lonely
94.68931,1.540445,0.502334,0.888814,106.9987,5.171073,0.000278,0.02562,0.396651,lonely
45.26798,1.076913,1.142572,0.867781,40.27171,7.25011,0.000712,0.003716,6.852372,lonely
73.8957,1.314218,0.620632,0.89848,81.16733,5.979357,0.000124,0.006166,0.431166,lonely
61.40929,1.359669,0.733252,0.895271,104.8425,5.336399,0.000178,0.006583,0.701093,lonely
85.27235,1.485312,0.60616,0.896903,32.14671,5.408837,0.000189,0.007026,0.722403,lonely
61.6701,1.030526,0.919586,0.869381,91.20815,8.532256,0.000352,0.007111,2.582947,lonely
75.38619,1.38305,0.68747,0.902491,80.53775,5.624967,0.000132,0.012644,0.399037,lonely
93.75712,1.480899,0.622463,0.904039,94.20367,5.500811,0.000078,0.019899,0.168013,lonely
60.35212,1.271521,0.745954,0.896628,133.5562,5.863801,0.000362,0.007697,0.570898,lonely
76.36793,1.383064,0.652646,0.8913,88.65805,5.802227,0.0002,0.005889,0.942339,lonely
81.68624,1.435858,0.587492,0.887858,44.07419,5.556069,0.000327,0.008325,0.688624,lonely
51.89347,1.035776,0.694973,0.846189,257.7213,6.808462,0.000571,0.017589,1.490609,lonely
83.07221,1.437757,0.560784,0.899838,62.51976,5.425181,0.000097,0.006758,0.185113,lonely
63.18002,1.148567,0.602024,0.8664,101.0439,6.840905,0.000342,0.002331,1.467545,lonely
