% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {lonely,notlonely}


@data
9.596818e+01,5.397415e+00,1.362613e+00,6.158552e-01,1.154518e+00,8.879981e-01,1.222083e-01,1.589579e+02,6.658392e+00,2.010756e+02,7.144343e-01,1.002490e-02,2.844469e-02,9.821076e-02,3.660077e-04,7.605614e-03,8.174057e+03,4.171202e-01,0.000000e+00,8.941411e-01,1.251523e-01,0.000000e+00,9.471582e-02,3.062531e-03,5.936802e+02,3.694272e+04,lonely
4.943534e+01,2.916795e+00,1.029173e+00,1.189697e+00,7.116779e-01,8.712655e-01,1.036635e-01,4.309696e+01,7.721388e+00,2.817262e+02,1.356423e+00,4.236241e-02,1.633584e-01,4.385019e-01,5.036488e-04,8.430126e-03,1.732907e+03,2.176315e+00,0.000000e+00,6.577896e-01,6.983345e-02,0.000000e+00,2.252524e-01,3.246238e-03,2.134919e+02,7.851891e+03,lonely
5.541522e+01,3.677443e+00,1.232006e+00,6.110203e-01,4.011072e-01,8.805960e-01,8.989206e-02,1.086698e+02,5.597157e+00,2.182157e+02,4.863629e-01,1.197824e-02,3.515230e-02,5.299023e-02,3.985091e-04,6.736704e-03,7.124032e+03,6.295861e-01,0.000000e+00,8.202397e-01,1.104280e-01,0.000000e+00,1.475448e-01,3.838486e-03,4.420042e+02,2.109605e+04,lonely
6.984406e+01,5.107245e+00,1.469589e+00,6.560757e-01,7.092938e-01,8.981876e-01,1.470658e-01,5.635680e+01,4.813898e+00,2.774491e+02,8.164693e-01,1.942235e-02,3.160163e-02,1.508910e-01,1.366491e-04,2.410323e-02,3.908735e+03,6.135245e-01,0.000000e+00,8.688415e-01,8.985029e-02,0.000000e+00,1.140318e-01,3.055177e-03,8.072770e+02,2.664302e+05,lonely
7.645585e+01,4.623536e+00,1.294729e+00,7.092449e-01,8.795096e-01,8.919274e-01,7.139556e-02,9.818320e+01,6.058680e+00,8.939521e+02,2.191755e+00,2.760237e-02,5.608457e-02,1.756126e-01,1.693460e-04,3.182135e-03,6.010627e+03,7.135026e-01,0.000000e+00,8.588549e-01,1.345377e-01,0.000000e+00,1.213040e-01,3.692553e-03,4.053238e+02,4.924778e+04,lonely
8.542770e+01,5.142762e+00,1.388999e+00,3.241110e-01,5.364065e-01,8.726647e-01,6.672847e-02,8.901416e+01,6.124912e+00,4.270180e+02,1.287170e+00,3.083769e-02,3.342582e-02,6.069815e-02,2.973200e-04,4.381905e-03,4.801637e+03,8.026452e-01,0.000000e+00,9.021305e-01,1.108398e-01,0.000000e+00,8.834989e-02,2.141130e-03,6.563946e+02,3.351490e+05,lonely
7.284509e+01,5.781724e+00,1.639037e+00,5.058141e-01,4.532959e-01,8.754086e-01,2.804845e-02,5.615953e+00,4.044072e+00,1.234626e+03,2.999555e+00,5.746542e-02,4.585281e-02,8.019447e-02,3.616118e-04,6.634874e-03,9.573032e+01,2.198190e+00,0.000000e+00,1.231691e-01,1.968053e-02,0.000000e+00,1.080704e-01,2.864511e-03,1.042109e+03,1.654919e+06,lonely
7.660232e+01,5.069802e+00,1.415578e+00,5.562108e-01,6.411780e-01,8.938337e-01,9.076444e-02,5.431625e+01,5.356807e+00,1.682104e+02,6.435660e-01,1.478756e-02,2.893566e-02,4.322104e-02,1.719208e-04,7.981533e-03,2.477041e+03,3.658175e-01,0.000000e+00,9.400799e-01,8.777689e-02,0.000000e+00,5.636722e-02,1.972739e-03,6.063603e+02,9.447876e+04,lonely
8.309131e+01,5.315170e+00,1.401555e+00,6.700219e-01,1.008321e+00,8.962992e-01,1.100565e-01,8.741462e+01,5.806885e+00,3.753056e+02,1.614855e+00,3.127708e-02,6.903669e-02,2.653743e-01,1.362324e-04,8.471565e-03,6.144404e+03,7.587592e-01,0.000000e+00,7.922770e-01,1.106253e-01,0.000000e+00,1.646838e-01,5.327751e-03,5.872982e+02,1.244152e+05,lonely
1.090542e+02,6.784750e+00,1.542873e+00,5.924436e-01,1.410448e+00,9.021746e-01,1.170579e-01,6.081288e+01,5.707075e+00,1.038186e+02,6.928790e-01,1.107211e-02,6.593905e-03,1.151025e-01,4.616513e-05,1.204680e-02,1.849632e+03,1.921594e-01,0.000000e+00,9.081225e-01,1.211321e-01,0.000000e+00,8.349161e-02,4.188719e-03,9.661924e+02,1.139025e+05,lonely
7.698977e+01,5.114136e+00,1.400699e+00,5.627955e-01,8.188314e-01,8.994623e-01,1.194323e-01,7.684716e+01,5.452074e+00,1.021934e+02,9.344265e-01,2.542932e-02,1.787953e-02,1.228550e-01,1.168991e-04,8.514882e-03,2.696537e+03,5.858823e-01,0.000000e+00,7.902796e-01,9.888087e-02,0.000000e+00,1.658482e-01,4.518204e-03,5.620252e+02,1.404461e+05,lonely
8.570442e+01,5.320430e+00,1.383063e+00,7.083048e-01,1.184142e+00,8.962582e-01,5.576951e-02,5.206230e+01,6.662409e+00,3.149877e+02,1.483905e+00,4.380235e-02,9.078497e-02,2.672364e-01,2.279209e-04,3.588125e-03,2.049409e+03,1.376350e+00,0.000000e+00,8.768309e-01,6.463064e-02,0.000000e+00,1.080704e-01,1.443791e-03,4.200102e+02,1.008520e+05,lonely
7.082507e+01,4.210776e+00,1.249817e+00,6.886055e-01,9.177805e-01,8.921109e-01,4.542650e-02,3.278126e+01,6.509544e+00,1.754156e+02,6.116970e-01,1.316801e-02,4.028460e-02,2.422871e-01,1.871455e-04,3.077390e-03,9.611290e+02,5.560388e-01,0.000000e+00,8.934754e-01,9.467722e-02,0.000000e+00,9.524055e-02,3.308849e-03,3.952871e+02,3.773545e+04,lonely
