@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric

@data

1.941504,0.418112,0.203365,0.17919,0.015293,0.104978,0.112057,0.168723,0.588334
0.564414,0.486113,0.23334,0.200131,0.027576,0.104441,0.127292,0.343496,0.556597
1.494236,0.525068,0.236902,0.226501,0.03875,0.072098,0.088354,0.112663,0.567001
1.499274,0.416724,0.212194,0.197512,0.036755,0.09905,0.098051,0.130345,0.602117
0.6223,0.433706,0.20288,0.200503,0.044739,0.077442,0.091243,0.141636,0.604538
1.141779,0.390174,0.223779,0.201867,0.03045,0.086526,0.090961,0.103936,0.596061
1.731134,0.464103,0.218256,0.199527,0.029604,0.10253,0.109185,0.161953,0.587376
1.659928,0.47857,0.240371,0.198809,0.021627,0.081078,0.157064,0.110292,0.604628
0.506804,0.427765,0.219945,0.202562,0.032692,0.093602,0.087017,0.185584,0.561645
0.821325,0.625342,0.216549,0.21402,0.037961,0.081535,0.120972,0.13829,0.54019
1.189527,0.432773,0.197848,0.20126,0.036423,0.101682,0.066267,0.319954,0.562768
0.142346,0.401903,0.211463,0.199997,0.021897,0.08232,0.095466,0.107095,0.596366
0.62692,0.408432,0.206337,0.215625,0.031796,0.104499,0.090332,0.279218,0.51295
1.378779,0.412123,0.218165,0.196317,0.023302,0.077024,0.124165,0.241792,0.555801
1.547684,0.427989,0.236207,0.20017,0.032092,0.120525,0.055615,0.157203,0.549557
1.547546,0.422759,0.203896,0.201278,0.028473,0.07252,0.089443,0.146768,0.577442
1.921636,0.416664,0.208069,0.185518,0.027293,0.112661,0.072948,0.092289,0.56577
1.237673,0.462689,0.211747,0.200689,0.030944,0.093371,0.058687,0.236359,0.522279
2.382214,0.536648,0.223268,0.214045,0.025303,0.122671,0.21128,0.14122,0.611999
0.872142,0.474721,0.20165,0.204133,0.028486,0.101094,0.085328,0.141401,0.592168
1.15805,0.475856,0.202565,0.16543,0.027134,0.07883,0.133465,0.198431,0.563401
0.957557,0.393198,0.197264,0.177429,0.027102,0.121735,0.129314,0.187402,0.529858
1.410653,0.398591,0.225985,0.199505,0.043495,0.086771,0.080761,0.328283,0.576644
1.391628,0.408846,0.225537,0.198437,0.026628,0.091964,0.08608,0.159823,0.56354
1.068231,0.442324,0.205979,0.184819,0.027593,0.087523,0.106397,0.276748,0.542008
1.715469,0.441261,0.199917,0.1837,0.025658,0.101477,0.099208,0.248712,0.55527
1.419309,0.401373,0.204554,0.18991,0.028684,0.126228,0.099311,0.248452,0.555231
0.564888,0.381027,0.184392,0.190881,0.028015,0.062511,0.085584,0.148024,0.611396
2.800998,0.432477,0.220602,0.175371,0.023113,0.108821,0.085043,0.206139,0.547189
1.040071,0.415824,0.230064,0.202614,0.03857,0.080881,0.11155,0.311121,0.562419
2.22799,0.343221,0.207991,0.135184,0.009246,0.135069,0.109438,0.15518,0.575702
1.557591,0.464058,0.197115,0.199337,0.026228,0.083034,0.11278,0.17342,0.583901
1.229771,0.348948,0.204323,0.135851,0.023689,0.124505,0.140027,0.15473,0.522941
0.365899,0.413312,0.210376,0.190928,0.025121,0.174751,0.070324,0.366266,0.585806
1.7066,0.338297,0.189378,0.17809,0.012611,0.119701,0.074929,0.176415,0.580009
1.421848,0.438163,0.203691,0.209013,0.03517,0.083782,0.113976,0.21858,0.608022
1.289815,0.535604,0.200651,0.189064,0.028038,0.064719,0.162349,0.157778,0.573719
0.891277,0.419375,0.24311,0.197845,0.03601,0.081861,0.118898,0.187368,0.609045
0.890491,0.551172,0.222706,0.20809,0.035614,0.094438,0.172544,0.428453,0.559384
0.948107,0.446029,0.210367,0.200033,0.027624,0.08247,0.09214,0.215748,0.596081
1.044089,0.380338,0.195622,0.171094,0.031326,0.069538,0.078203,0.143934,0.588314
2.208484,0.445372,0.233178,0.197118,0.029624,0.090751,0.091314,0.115871,0.602655
1.266881,0.427295,0.210091,0.211045,0.034667,0.074748,0.083033,0.181185,0.565774
1.863117,0.493932,0.202424,0.202989,0.023766,0.086931,0.119095,0.23281,0.564897
1.696397,0.349712,0.216883,0.18428,0.021438,0.076023,0.049222,0.088708,0.602672
1.327718,0.40093,0.203653,0.20195,0.02981,0.097606,0.112348,0.209439,0.563887
1.558674,0.412024,0.21384,0.210278,0.039238,0.079659,0.081536,0.103443,0.589751
1.73837,0.463856,0.225095,0.181122,0.019466,0.075327,0.083874,0.297515,0.583253
2.44696,0.4644,0.194011,0.210537,0.032277,0.07695,0.124867,0.260128,0.566513
2.744092,0.366328,0.17501,0.179127,0.015141,0.067481,0.091588,0.127238,0.586738
1.141563,0.454584,0.225733,0.196122,0.033712,0.089269,0.093882,0.177744,0.534428
2.682553,0.460085,0.185225,0.155851,0.019493,0.103905,0.111705,0.148442,0.573634
0.399726,0.417788,0.203564,0.175261,0.026992,0.085577,0.080543,0.178638,0.569353
0.550678,0.421507,0.213659,0.193986,0.029969,0.087535,0.091422,0.142811,0.593979
1.15805,0.475856,0.202565,0.16543,0.027134,0.07883,0.133465,0.198431,0.563401
1.255157,0.457616,0.232644,0.20065,0.029692,0.104164,0.115185,0.240688,0.60649
1.380136,0.414209,0.214174,0.199186,0.03872,0.076207,0.095224,0.260456,0.551645
0.511857,0.415834,0.221279,0.203538,0.035225,0.082521,0.143883,0.198211,0.558634
1.159562,0.439299,0.21879,0.205802,0.025621,0.077363,0.064767,0.133563,0.553332
1.007181,0.440472,0.210259,0.193375,0.026045,0.086011,0.076043,0.12156,0.571056
2.030797,0.502577,0.213541,0.198901,0.033571,0.11583,0.141489,0.287777,0.578322
1.447214,0.359728,0.2244,0.178892,0.0227,0.07982,0.071309,0.128997,0.578903
1.579135,0.48066,0.22461,0.195286,0.032723,0.082824,0.134411,0.390871,0.604007
2.03334,0.462023,0.229819,0.205062,0.033237,0.110965,0.109802,0.235844,0.651547
1.611865,0.419621,0.203942,0.199894,0.026205,0.187017,0.067036,0.180523,0.566807
1.405582,0.360235,0.189337,0.175406,0.016009,0.161422,0.142612,0.164666,0.557843
1.665953,0.434356,0.216104,0.184246,0.0228,0.077779,0.062003,0.091939,0.539514
1.929979,0.448217,0.214102,0.204955,0.03671,0.084567,0.079272,0.21493,0.564557
1.253724,0.46926,0.237899,0.20186,0.040149,0.077646,0.08238,0.167949,0.513168
1.145756,0.451513,0.190961,0.180786,0.021744,0.090538,0.143459,0.228804,0.550904
1.773606,0.402757,0.221349,0.208502,0.039691,0.08187,0.084117,0.163403,0.561006
2.026923,0.390725,0.198151,0.181775,0.023899,0.079732,0.072621,0.091449,0.573392
1.887093,0.39861,0.210932,0.197811,0.023746,0.075757,0.084265,0.133216,0.583004
2.458724,0.52422,0.207815,0.197436,0.023208,0.125257,0.123071,0.175881,0.54977
0.985506,0.45277,0.208716,0.20309,0.041048,0.101808,0.127065,0.357075,0.560487
0.749055,0.447751,0.20691,0.191338,0.014536,0.089995,0.104342,0.197913,0.563267
1.960924,0.436941,0.201533,0.204203,0.023871,0.155514,0.131833,0.283964,0.585989
1.084066,0.415295,0.196591,0.165693,0.026917,0.109291,0.072541,0.213344,0.557899
0.985506,0.45277,0.208716,0.20309,0.041048,0.101808,0.127065,0.357075,0.560487
1.559303,0.421511,0.214626,0.195859,0.02206,0.112889,0.138257,0.225196,0.563907
2.121895,0.475406,0.226506,0.21118,0.030392,0.115571,0.154303,0.181128,0.547559
1.840142,0.423723,0.194247,0.209552,0.024869,0.078782,0.064534,0.199217,0.508827
2.18654,0.465073,0.227597,0.21787,0.025956,0.123752,0.138604,0.399274,0.571574
0.445694,0.422017,0.247834,0.194312,0.027576,0.101374,0.123812,0.175563,0.562178
1.062759,0.484757,0.210835,0.187619,0.043376,0.096154,0.136599,0.281843,0.566103
0.451917,0.482512,0.219451,0.196731,0.033239,0.090042,0.086305,0.328155,0.581564
1.403387,0.377288,0.199831,0.191229,0.025137,0.082028,0.07413,0.248565,0.566802
