@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
1.941504,0.418112,0.203365,0.17919,0.015293,0.104978,0.112057,0.168723,0.588334,63.73921,3.792412,1.168486,1.114697,0.973916,0.879848,0.097102,137.1753,7.19961,505.6792,1.054294,0.024822,0.341784,0.526006,0.000286,0.004512,9796.917,3.133801,0,0.930093,0.117119,0,0.065063,0.002877,247.3624,35755.62,nostalgic
0.564414,0.486113,0.23334,0.200131,0.027576,0.104441,0.127292,0.343496,0.556597,67.85006,4.553115,1.385389,0.574212,0.531773,0.884538,0.098154,42.80477,4.925271,339.3819,0.65518,0.008393,0.025392,0.076196,0.000196,0.01164,1745.468,0.459701,0,0.752996,0.08067,0,0.186117,0.004133,930.3234,67260.6,nostalgic
1.494236,0.525068,0.236902,0.226501,0.03875,0.072098,0.088354,0.112663,0.567001,61.33011,4.616378,1.404465,0.789458,0.78643,0.897898,0.054912,22.49888,5.326287,155.7838,0.912084,0.037921,0.129973,0.428267,0.000215,0.005978,781.2474,0.888181,0,0.766977,0.086671,0,0.178842,0.004548,424.7563,280042,nostalgic
1.499274,0.416724,0.212194,0.197512,0.036755,0.09905,0.098051,0.130345,0.602117,74.64115,4.932888,1.373568,0.728542,0.991516,0.90436,0.134023,118.7306,5.685367,214.5585,0.905317,0.016922,0.043125,0.17954,0.000141,0.01171,14086.62,0.290348,0,0.679095,0.085649,0,0.21807,0.005234,430.1807,73255.68,nostalgic
0.6223,0.433706,0.20288,0.200503,0.044739,0.077442,0.091243,0.141636,0.604538,70.66485,4.760313,1.373233,0.741101,0.981179,0.899847,0.151869,78.79455,5.495912,232.3857,1.021457,0.019742,0.034487,0.420136,0.0002,0.019893,7058.179,0.505668,0,0.926764,0.155464,0,0.067917,0.002899,421.7762,106403.7,nostalgic
1.141779,0.390174,0.223779,0.201867,0.03045,0.086526,0.090961,0.103936,0.596061,70.32943,3.848075,1.162997,1.025125,1.22166,0.891406,0.08402,63.20767,7.395779,85.6461,0.49061,0.019294,0.08331,0.178031,0.000157,0.0051,2120.921,1.101275,0,0.885486,0.131484,0,0.101468,0.003545,274.0483,25530.74,nostalgic
1.731134,0.464103,0.218256,0.199527,0.029604,0.10253,0.109185,0.161953,0.587376,62.64657,3.754473,1.166526,1.073344,1.046618,0.88468,0.028802,15.87767,6.907124,400.7619,1.248417,0.031566,0.220777,0.446785,0.000329,0.003219,522.28,1.536105,0,0.932756,0.107105,0,0.062764,0.00346,304.1052,188838.6,nostalgic
1.659928,0.47857,0.240371,0.198809,0.021627,0.081078,0.157064,0.110292,0.604628,55.62333,3.732676,1.214228,0.989413,0.612285,0.885152,0.052638,38.40102,6.133019,205.3915,0.95336,0.028319,0.158209,0.169377,0.000314,0.004038,1076.129,1.319637,0,0.912783,0.091926,0,0.079663,0.002688,287.0964,48492.35,nostalgic
0.506804,0.427765,0.219945,0.202562,0.032692,0.093602,0.087017,0.185584,0.561645,88.85039,6.220261,1.566595,0.554343,1.018363,0.902644,0.065569,31.73588,5.102792,183.5791,1.390587,0.030967,0.01729,0.195907,0.000135,0.005468,913.1786,0.47083,0,0.839547,0.102542,0,0.134797,0.004377,973.003,797232.8,nostalgic
0.821325,0.625342,0.216549,0.21402,0.037961,0.081535,0.120972,0.13829,0.54019,66.67944,4.780786,1.396064,0.882181,0.922137,0.900823,0.042531,22.79235,5.612894,225.4152,0.861574,0.015874,0.12471,0.294188,0.000152,0.004613,738.9839,0.437254,0,0.918775,0.100352,0,0.074677,0.003223,347.3658,59302.33,nostalgic
