@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[12]_max numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[10]_min numeric
@attribute mfcc_sma_de[10]_linregc1 numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[11]_min numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute output {nostalgic,notnostalgic}

@data

-3.607169,3.210038,-7.764608,12.35023,0.000001,7.644476,-0.000002,-0.000005,0.009835,-0.203101,720,0.802362,-3.674485,0.000003,0.973954,-3.398444,3.2354,nostalgic
-8.065586,2.671647,1.879031,13.81291,0.000002,6.403778,-0.000003,-0.000001,-0.000238,-0.024662,1069,1.174677,-3.478902,-0.000001,0.983195,-3.845934,3.949017,nostalgic
-5.387691,2.963242,2.844417,16.22342,0.000033,11.953,0.000006,-0.000005,0.009359,0.302092,252,2.786357,-4.406457,0.000004,1.964901,-5.460431,6.020167,nostalgic
-6.548524,3.908843,-0.607865,11.79802,0.00001,7.252013,0.00001,-0.000005,0.008966,-0.168719,57,1.164335,-4.522195,0.000009,1.022909,-3.645407,4.386331,nostalgic
-7.146142,2.914988,2.028201,14.15822,0.000011,8.979943,0.000003,0.000001,0.000004,0.289673,245,1.183925,-4.045333,-0.000002,1.141212,-3.917341,4.065065,nostalgic
-1.888834,2.838531,2.087193,11.92147,0,6.4278,0.000001,-0.000003,0.005457,-0.220807,2657,0.928254,-3.343779,0.000002,0.887747,-3.509585,3.401061,nostalgic
-3.205958,2.929804,-4.527049,17.07708,0.000004,7.861225,-0.000004,-0.000004,0.007922,-0.01766,910,1.076188,-4.90108,-0.000001,1.218847,-4.275544,3.5862,nostalgic
-3.447848,2.669686,-7.799345,17.42768,0.000003,5.656368,-0.000001,-0.000006,0.005411,-0.187221,2087,1.270708,-4.462627,0.000007,1.120332,-3.966671,5.450805,nostalgic
-11.7082,2.923587,-2.233251,20.78304,0.00003,7.394806,0.000008,-0.000002,-0.000539,0.107643,2959,1.297787,-4.075359,0.000006,1.265393,-4.55675,3.979264,nostalgic
