@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric

@data

0.24311,0.197845,0.03601,0.101418,0.125518,0.081861,0.025887
0.214626,0.195859,0.02206,0.152494,0.127962,0.112889,0.021155
0.213541,0.198901,0.033571,0.110213,0.128678,0.11583,0.03394
0.223099,0.191333,0.029702,0.136881,0.122366,0.090291,0.030589
0.185225,0.155851,0.019493,0.106025,0.111602,0.103905,0.025353
0.202565,0.16543,0.027134,0.138363,0.090879,0.07883,0.02812
0.203691,0.209013,0.03517,0.118284,0.12285,0.083782,0.025086
0.210367,0.200033,0.027624,0.098482,0.093343,0.08247,0.021894
0.197264,0.177429,0.027102,0.119664,0.143106,0.121735,0.021421
0.21879,0.205802,0.025621,0.100422,0.0975,0.077363,0.020791
0.21384,0.210278,0.039238,0.100962,0.100555,0.079659,0.026826
0.211463,0.199997,0.021897,0.091865,0.098561,0.08232,0.022656
0.203942,0.199894,0.026205,0.098477,0.105665,0.187017,0.042189
0.20691,0.191338,0.014536,0.109376,0.119296,0.089995,0.02259
0.219945,0.202562,0.032692,0.136108,0.12798,0.093602,0.027513
0.184392,0.190881,0.028015,0.117394,0.098064,0.062511,0.022393
0.20422,0.189269,0.02166,0.103839,0.121817,0.090749,0.025827
0.21685,0.199768,0.026966,0.100782,0.099532,0.069004,0.029013
0.213659,0.193986,0.029969,0.104561,0.101833,0.087535,0.026252
0.236902,0.226501,0.03875,0.108065,0.100486,0.072098,0.019929
0.241079,0.216323,0.041466,0.104171,0.108335,0.083153,0.024673
0.2244,0.178892,0.0227,0.111572,0.104891,0.07982,0.023795
0.225537,0.198437,0.026628,0.131149,0.122,0.091964,0.020786
0.208069,0.185518,0.027293,0.100942,0.103006,0.112661,0.027642
0.218256,0.199527,0.029604,0.120247,0.133923,0.10253,0.018337
0.223517,0.21648,0.041701,0.111671,0.109673,0.12624,0.028998
0.200651,0.189064,0.028038,0.133321,0.139482,0.064719,0.02599
0.225733,0.196122,0.033712,0.108462,0.08743,0.089269,0.025277
0.23334,0.200131,0.027576,0.103731,0.096701,0.104441,0.026674
0.223779,0.201867,0.03045,0.112842,0.099057,0.086526,0.019913
0.214174,0.199186,0.03872,0.10231,0.114849,0.076207,0.037027
0.200629,0.185881,0.021579,0.109539,0.118664,0.085229,0.018742
0.213695,0.211601,0.03063,0.112823,0.119076,0.12268,0.027147
0.203896,0.201278,0.028473,0.128213,0.091628,0.07252,0.024107
0.227412,0.202327,0.03041,0.120707,0.122338,0.082059,0.024975
0.211747,0.200689,0.030944,0.124749,0.126477,0.093371,0.033104
0.208716,0.20309,0.041048,0.104125,0.119748,0.101808,0.035277
0.214102,0.204955,0.03671,0.147734,0.104185,0.084567,0.032347
0.237899,0.20186,0.040149,0.138781,0.099773,0.077646,0.020638
0.210835,0.187619,0.043376,0.135582,0.147583,0.096154,0.032735
0.20675,0.201116,0.030695,0.112918,0.128899,0.11828,0.051024
0.214296,0.204423,0.029941,0.107363,0.108132,0.09769,0.027498
0.207991,0.135184,0.009246,0.169871,0.165954,0.135069,0.012965
0.218291,0.199657,0.023516,0.118039,0.100431,0.0919,0.024408
0.199917,0.1837,0.025658,0.131578,0.108688,0.101477,0.036841
0.23156,0.190296,0.02968,0.109509,0.135581,0.066939,0.025875
0.216104,0.184246,0.0228,0.123627,0.132336,0.077779,0.015612
0.198151,0.181775,0.023899,0.162371,0.102719,0.079732,0.032568
0.22843,0.224666,0.032986,0.103105,0.101525,0.095399,0.019457
0.210091,0.211045,0.034667,0.129973,0.119075,0.074748,0.024663
0.207815,0.197436,0.023208,0.12112,0.097226,0.125257,0.026176
0.208716,0.20309,0.041048,0.104125,0.119748,0.101808,0.035277
0.213196,0.196348,0.030329,0.116445,0.111872,0.086963,0.02969
0.210259,0.193375,0.026045,0.125336,0.109042,0.086011,0.024527
0.214961,0.168945,0.024207,0.114168,0.147954,0.080326,0.021848
0.207465,0.180879,0.027278,0.137569,0.12799,0.07765,0.030413
0.196591,0.165693,0.026917,0.102897,0.104002,0.109291,0.033507
0.210376,0.190928,0.025121,0.09481,0.099619,0.174751,0.048122
0.227948,0.190619,0.033467,0.112564,0.114763,0.094838,0.02801
0.221349,0.208502,0.039691,0.106996,0.100684,0.08187,0.045638
0.240371,0.198809,0.021627,0.117466,0.106102,0.081078,0.018164
0.206337,0.215625,0.031796,0.113816,0.106726,0.104499,0.029807
0.204494,0.172745,0.024417,0.110624,0.206244,0.090185,0.026704
0.202565,0.16543,0.027134,0.138363,0.090879,0.07883,0.02812
0.220644,0.210845,0.037295,0.107813,0.098142,0.087287,0.022317
0.20165,0.204133,0.028486,0.111977,0.108803,0.101094,0.024268
0.198515,0.190238,0.038168,0.135967,0.180462,0.093377,0.043076
0.233292,0.229625,0.043223,0.15314,0.09606,0.082235,0.023737
0.226506,0.21118,0.030392,0.109876,0.123103,0.115571,0.025352
0.210057,0.192942,0.030721,0.109148,0.106346,0.098114,0.026083
0.221995,0.19106,0.027108,0.10366,0.116831,0.069761,0.029547
0.190961,0.180786,0.021744,0.161079,0.11932,0.090538,0.022171
0.218165,0.196317,0.023302,0.123097,0.131183,0.077024,0.019419
0.199831,0.191229,0.025137,0.141073,0.112216,0.082028,0.022865
0.22719,0.2077,0.027647,0.168183,0.115442,0.113681,0.030304
0.236207,0.20017,0.032092,0.155769,0.132647,0.120525,0.023944
