@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
0.24311,0.197845,0.03601,0.101418,0.125518,0.081861,0.025887,113.9206,6.994181,1.566788,0.608914,1.541978,0.89625,0.085656,41.65143,5.773376,372.6974,1.395991,0.027535,0.018923,0.492825,0.000199,0.011948,3043.997,0.855818,0,0.690413,0.097831,0,0.213885,0.00632,864.686,372298.3,nostalgic
0.214626,0.195859,0.02206,0.152494,0.127962,0.112889,0.021155,56.66609,3.392897,1.13612,0.727862,0.439465,0.869685,0.107457,111.6625,6.587766,449.772,1.647506,0.046403,0.067158,0.068813,0.000294,0.007729,5242.642,1.520164,0,0.883489,0.121727,0,0.103005,0.003697,421.5517,38977.53,nostalgic
0.213541,0.198901,0.033571,0.110213,0.128678,0.11583,0.03394,72.65526,5.070502,1.436267,0.574577,0.528457,0.888533,0.093895,49.5539,4.9463,549.323,2.19406,0.038883,0.042781,0.046453,0.000191,0.007301,1776.872,0.559866,0,0.76032,0.090785,0,0.182355,0.003888,763.9532,309398,nostalgic
0.223099,0.191333,0.029702,0.136881,0.122366,0.090291,0.030589,90.72628,5.392921,1.401872,0.522346,1.180484,0.887544,0.091726,65.30265,5.868863,324.2888,0.76386,0.014715,0.045631,0.409651,0.000236,0.007028,4092.78,0.849348,0,0.869507,0.111586,0,0.11354,0.004285,723.5243,116817,nostalgic
0.185225,0.155851,0.019493,0.106025,0.111602,0.103905,0.025353,77.26224,4.289406,1.214071,0.608973,0.722235,0.888508,0.09198,187.0024,7.187244,355.3151,1.716355,0.04002,0.082082,0.138569,0.00016,0.003591,11260.26,1.732187,0,0.989348,0.112387,0,0.010546,0.000654,358.1641,76871.97,nostalgic
0.202565,0.16543,0.027134,0.138363,0.090879,0.07883,0.02812,68.88015,4.504638,1.317757,0.631163,0.567696,0.890461,0.099855,109.3663,5.742933,549.6384,1.936896,0.034539,0.105811,0.111928,0.00018,0.004995,5641.628,0.815256,0,0.972037,0.120207,0,0.027199,0.001811,455.0173,86443.53,nostalgic
0.203691,0.209013,0.03517,0.118284,0.12285,0.083782,0.025086,69.86611,4.580802,1.327411,0.752305,0.832551,0.900032,0.102277,88.20199,5.865324,149.3803,0.660733,0.019157,0.081133,0.159203,0.000155,0.007129,8540.097,0.646401,0,0.820906,0.084842,0,0.147118,0.002954,367.6184,41212.95,nostalgic
0.210367,0.200033,0.027624,0.098482,0.093343,0.08247,0.021894,83.10064,5.456589,1.427901,0.762724,1.218795,0.900884,0.173369,142.8765,5.779809,325.5568,1.462211,0.024311,0.048779,0.225192,0.000168,0.015004,18955.96,0.388238,0,0.88016,0.114719,0,0.105549,0.004312,571.6321,188540,nostalgic
0.197264,0.177429,0.027102,0.119664,0.143106,0.121735,0.021421,51.73104,3.151563,1.079172,0.928426,0.579442,0.87569,0.140277,155.2047,7.080297,566.0012,2.64357,0.071911,0.101048,0.24398,0.000415,0.012046,18107.48,2.504889,0,0.86285,0.103979,0,0.118419,0.003359,326.354,226228.4,nostalgic
0.21879,0.205802,0.025621,0.100422,0.0975,0.077363,0.020791,81.15282,5.064769,1.379582,0.663275,0.979516,0.9018,0.189486,125.6135,5.84912,95.60751,0.343203,0.008195,0.019009,0.112619,0.000115,0.013553,10683.05,0.301969,0,0.92743,0.111708,0,0.067348,0.00189,564.7545,45741.45,nostalgic
