@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_minPos numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_maxPos numeric
@attribute pcm_zcr_sma_maxPos numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute output {nostalgic,notnostalgic}

@data

-9.938581,245,0.003243,2.707641,179,688,0.000009,-0.0033,6.370378,-0.000002,0.878084,782,0.004868,0.184581,132,1.205004,nostalgic
4.390671,91,-0.000063,2.184433,1758,827,0,0.010751,10.06942,-0.000001,0.529177,266,0.006617,-0.776618,313,1.013396,nostalgic
-7.815214,42,0.001456,2.33434,778,1630,0.000005,0.007806,7.804784,0.000005,0.490263,1227,0.012639,-0.064206,1675,1.026184,nostalgic
-8.524579,42,0.001423,3.91701,827,730,0.000006,-0.009692,7.372461,0.000005,0.650711,1112,-0.01028,0.477726,1031,1.10394,nostalgic
4.271746,907,0.001456,2.789527,1186,2791,0,-0.007542,8.730381,-0.000003,0.554452,2698,0.000239,-0.045743,319,0.879717,nostalgic
-2.645983,76,0.000084,1.953486,2300,2415,0,0.003449,4.811026,0.000003,0.346815,730,0.003893,-0.063966,523,0.907645,nostalgic
-4.805274,2947,-0.001371,3.530975,1166,2548,0.000011,-0.00051,9.771658,0.000008,0.859332,356,-0.004121,-0.224425,1572,1.002282,nostalgic
-7.04306,2143,-0.000129,4.350116,2751,2171,0.000022,-0.001463,7.654693,0.000004,0.608217,2407,0.003663,-0.038904,2881,1.128063,nostalgic
2.300005,1146,0.000193,3.62945,1892,1344,0.000001,-0.017977,7.746601,-0.000009,0.816675,884,0.002006,-0.032836,477,0.953773,nostalgic
-8.387425,2791,-0.0003,2.866942,2753,2270,0.000005,0.000933,5.24958,0,0.377425,1082,-0.004009,-0.057368,2773,1.035725,nostalgic
-10.83475,2275,-0.00236,3.695906,1270,2649,0.000013,-0.00114,7.125897,-0.000001,0.76501,1126,0.004549,-0.189881,852,0.917498,nostalgic
-3.940771,2919,-0.000661,3.324365,2358,845,0.000014,-0.001516,6.449901,-0.000004,0.382879,2922,-0.005078,0.06949,2867,0.892449,nostalgic
-3.726376,1409,0.000496,3.451449,1749,20,0.000005,0.001808,6.802048,0.000004,0.921189,68,0.013273,0.505235,334,1.159829,nostalgic
9.774515,2814,-0.00259,3.564421,2883,2008,0,-0.002174,5.81067,0.000004,0.367707,1275,-0.000879,-0.206655,2285,0.873061,nostalgic
-11.7082,1210,0.000285,2.923587,1286,1407,0.00003,0.000513,7.394806,0.000008,0.739243,2006,-0.000539,0.107643,2959,1.265393,nostalgic
-7.017858,1520,-0.000206,3.062509,1519,497,0.000018,0.002781,7.894432,0.000001,0.588611,946,0.002111,-0.024602,1191,1.080013,nostalgic
4.062107,1589,0.000947,3.489486,1385,2075,0,0.010953,8.155283,0.000002,0.708746,462,0.003257,-0.048602,904,1.339365,nostalgic
-9.302073,2922,-0.002038,2.989136,2936,1688,0.000005,0.00062,4.489808,0.000007,0.361608,1854,-0.007857,-0.136781,549,1.262531,nostalgic
-8.25879,1605,-0.000542,2.757751,291,271,0.000022,-0.000251,6.028255,-0.000001,0.610213,2011,0.006526,0.386292,468,0.906505,nostalgic
-5.387691,778,-0.000186,2.963242,2769,2631,0.000033,0.000124,11.953,0.000006,2.063953,2405,0.009359,0.302092,252,1.964901,nostalgic
-12.11747,2050,-0.000282,3.21393,756,1358,0.000023,-0.000882,7.343443,-0.000004,0.598774,509,0.005908,-0.509999,1913,0.926751,nostalgic
-3.834264,755,0.000982,3.293701,2889,2241,0.000002,0.008985,6.768548,-0.000002,0.508847,1241,0.001044,0.511229,567,0.888486,nostalgic
-5.144265,2373,0.000196,3.177874,30,537,0.000003,-0.001486,6.507136,0.000006,0.582102,76,-0.00976,0.031779,1430,1.056993,nostalgic
-10.86159,1066,0.000053,3.129536,1550,840,0.000007,0.003142,6.666732,-0.000002,0.444674,1100,-0.001556,0.084507,2212,0.794306,nostalgic
-3.205958,1818,-0.002017,2.929804,398,1253,0.000004,-0.007928,7.861225,-0.000004,0.569876,1467,0.007922,-0.01766,910,1.218847,nostalgic
-6.428898,214,0.000044,2.756029,915,1698,0.000002,-0.003964,8.168789,0.000002,1.04777,1645,0.008835,0.063951,1299,1.3529,nostalgic
-3.821532,2222,-0.000449,2.614149,4,2301,0.000003,-0.006656,10.10343,0.000004,0.926842,2484,-0.004136,0.150553,1537,1.308914,nostalgic
-12.00763,2081,0.000394,3.255183,305,660,0.000004,0.006823,4.724983,-0.000001,0.55072,1926,-0.003654,0.102727,1645,1.123982,nostalgic
-8.065586,736,-0.000478,2.671647,1449,1287,0.000002,0.004275,6.403778,-0.000003,0.528399,76,-0.000238,-0.024662,1069,0.983195,nostalgic
-1.888834,1563,0.001456,2.838531,105,2230,0,-0.001725,6.4278,0.000001,0.535944,764,0.005457,-0.220807,2657,0.887747,nostalgic
-12.96306,2972,-0.00117,3.392771,2915,2306,0.000015,-0.000482,7.267442,0.000006,0.758,2271,-0.003657,0.231324,2297,1.19442,nostalgic
-4.368892,654,-0.000611,2.976538,2697,115,0.000011,0.003032,5.465969,-0.000005,0.323622,2849,-0.005168,0.187347,250,0.958562,nostalgic
-4.517328,2652,0.000927,3.174549,1340,1374,0.000005,-0.011533,6.012739,0.000002,0.417045,296,0.000314,0.038954,1673,0.835264,nostalgic
-8.576905,2165,0.000153,3.395796,2411,1470,0.000029,-0.013245,6.225422,-0.000003,0.665447,2725,0.009601,-0.172992,1222,1.010825,nostalgic
