% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {nostalgic,notnostalgic}


@data
1.139206e+02,6.994181e+00,1.566788e+00,6.089142e-01,1.541978e+00,8.962502e-01,8.565605e-02,4.165143e+01,5.773376e+00,3.726974e+02,1.395991e+00,2.753526e-02,1.892279e-02,4.928249e-01,1.986717e-04,1.194843e-02,3.043997e+03,8.558179e-01,0.000000e+00,6.904128e-01,9.783075e-02,0.000000e+00,2.138854e-01,6.320155e-03,8.646860e+02,3.722983e+05,nostalgic
5.666609e+01,3.392897e+00,1.136120e+00,7.278623e-01,4.394646e-01,8.696850e-01,1.074566e-01,1.116625e+02,6.587766e+00,4.497720e+02,1.647506e+00,4.640317e-02,6.715799e-02,6.881251e-02,2.937675e-04,7.728970e-03,5.242642e+03,1.520164e+00,0.000000e+00,8.834887e-01,1.217268e-01,0.000000e+00,1.030050e-01,3.696797e-03,4.215517e+02,3.897753e+04,nostalgic
7.265526e+01,5.070502e+00,1.436267e+00,5.745765e-01,5.284572e-01,8.885330e-01,9.389524e-02,4.955390e+01,4.946300e+00,5.493230e+02,2.194060e+00,3.888260e-02,4.278094e-02,4.645304e-02,1.909499e-04,7.300790e-03,1.776872e+03,5.598655e-01,0.000000e+00,7.603196e-01,9.078452e-02,0.000000e+00,1.823551e-01,3.887816e-03,7.639532e+02,3.093980e+05,nostalgic
9.072628e+01,5.392921e+00,1.401872e+00,5.223461e-01,1.180484e+00,8.875442e-01,9.172558e-02,6.530265e+01,5.868863e+00,3.242888e+02,7.638603e-01,1.471508e-02,4.563103e-02,4.096508e-01,2.363478e-04,7.028245e-03,4.092780e+03,8.493481e-01,0.000000e+00,8.695073e-01,1.115855e-01,0.000000e+00,1.135399e-01,4.284686e-03,7.235243e+02,1.168170e+05,nostalgic
7.726224e+01,4.289406e+00,1.214071e+00,6.089729e-01,7.222349e-01,8.885080e-01,9.197981e-02,1.870024e+02,7.187244e+00,3.553151e+02,1.716355e+00,4.001998e-02,8.208213e-02,1.385691e-01,1.604105e-04,3.590615e-03,1.126026e+04,1.732187e+00,0.000000e+00,9.893475e-01,1.123873e-01,0.000000e+00,1.054601e-02,6.538628e-04,3.581641e+02,7.687197e+04,nostalgic
6.888015e+01,4.504638e+00,1.317757e+00,6.311633e-01,5.676964e-01,8.904607e-01,9.985540e-02,1.093663e+02,5.742933e+00,5.496384e+02,1.936896e+00,3.453926e-02,1.058107e-01,1.119279e-01,1.802768e-04,4.994950e-03,5.641628e+03,8.152555e-01,0.000000e+00,9.720373e-01,1.202069e-01,0.000000e+00,2.719891e-02,1.810562e-03,4.550173e+02,8.644353e+04,nostalgic
6.986611e+01,4.580802e+00,1.327411e+00,7.523045e-01,8.325505e-01,9.000322e-01,1.022771e-01,8.820199e+01,5.865324e+00,1.493803e+02,6.607328e-01,1.915667e-02,8.113292e-02,1.592031e-01,1.547771e-04,7.129270e-03,8.540097e+03,6.464011e-01,0.000000e+00,8.209055e-01,8.484199e-02,0.000000e+00,1.471176e-01,2.954093e-03,3.676184e+02,4.121295e+04,nostalgic
8.310064e+01,5.456589e+00,1.427901e+00,7.627241e-01,1.218795e+00,9.008839e-01,1.733687e-01,1.428765e+02,5.779809e+00,3.255568e+02,1.462211e+00,2.431090e-02,4.877902e-02,2.251919e-01,1.679587e-04,1.500427e-02,1.895596e+04,3.882384e-01,0.000000e+00,8.801598e-01,1.147192e-01,0.000000e+00,1.055488e-01,4.311737e-03,5.716321e+02,1.885400e+05,nostalgic
5.173104e+01,3.151563e+00,1.079172e+00,9.284255e-01,5.794422e-01,8.756900e-01,1.402770e-01,1.552047e+02,7.080297e+00,5.660012e+02,2.643570e+00,7.191110e-02,1.010476e-01,2.439796e-01,4.150660e-04,1.204620e-02,1.810748e+04,2.504889e+00,0.000000e+00,8.628495e-01,1.039786e-01,0.000000e+00,1.184191e-01,3.359350e-03,3.263540e+02,2.262284e+05,nostalgic
8.115282e+01,5.064769e+00,1.379582e+00,6.632751e-01,9.795164e-01,9.017998e-01,1.894857e-01,1.256135e+02,5.849120e+00,9.560751e+01,3.432030e-01,8.194932e-03,1.900920e-02,1.126191e-01,1.146231e-04,1.355285e-02,1.068305e+04,3.019689e-01,0.000000e+00,9.274301e-01,1.117083e-01,0.000000e+00,6.734835e-02,1.889728e-03,5.647545e+02,4.574145e+04,nostalgic
8.208455e+01,5.634669e+00,1.470929e+00,6.991776e-01,1.282149e+00,9.036186e-01,1.216469e-01,5.710564e+01,5.430800e+00,1.849674e+02,5.997499e-01,1.311943e-02,2.756063e-02,1.417170e-01,7.202191e-05,1.657899e-02,3.593480e+03,2.928975e-01,0.000000e+00,7.869507e-01,9.018515e-02,0.000000e+00,1.677710e-01,5.024863e-03,4.208413e+02,7.422826e+04,nostalgic
7.634156e+01,4.513758e+00,1.298688e+00,6.947704e-01,8.828165e-01,8.903327e-01,1.137200e-01,8.377773e+01,6.212875e+00,4.982003e+01,5.413341e-01,1.591542e-02,1.981781e-02,6.191173e-02,1.537267e-04,8.949934e-03,4.826577e+03,4.515600e-01,0.000000e+00,7.270306e-01,7.709887e-02,0.000000e+00,1.985893e-01,4.699892e-03,5.440419e+02,8.547501e+04,nostalgic
7.048435e+01,4.473986e+00,1.305230e+00,7.002667e-01,1.024541e+00,8.938176e-01,7.820087e-02,6.123191e+01,5.802751e+00,3.031495e+02,6.865129e-01,1.010603e-02,8.166588e-02,4.714481e-01,1.949448e-04,6.409193e-03,3.258066e+03,5.882651e-01,0.000000e+00,8.728362e-01,1.207784e-01,0.000000e+00,1.110671e-01,4.128210e-03,4.206613e+02,4.119678e+04,nostalgic
4.903801e+01,2.681669e+00,1.022294e+00,7.482485e-01,3.902585e-01,8.627408e-01,1.142186e-01,1.086682e+02,7.380207e+00,9.183184e+01,3.401352e-01,1.505705e-02,9.579445e-02,3.779042e-02,4.624372e-04,7.991243e-03,4.197079e+03,1.214381e+00,0.000000e+00,9.314248e-01,8.544785e-02,0.000000e+00,6.391522e-02,1.706046e-03,3.801684e+02,8.784018e+03,nostalgic
8.885039e+01,6.220261e+00,1.566595e+00,5.543433e-01,1.018363e+00,9.026443e-01,6.556887e-02,3.173588e+01,5.102792e+00,1.835791e+02,1.390587e+00,3.096711e-02,1.728970e-02,1.959073e-01,1.354234e-04,5.467897e-03,9.131786e+02,4.708299e-01,0.000000e+00,8.395473e-01,1.025419e-01,0.000000e+00,1.347974e-01,4.377483e-03,9.730030e+02,7.972328e+05,nostalgic
7.217335e+01,4.880401e+00,1.374076e+00,7.632583e-01,1.029236e+00,9.027161e-01,1.128934e-01,6.537017e+01,5.808719e+00,2.062827e+02,1.127577e+00,2.448075e-02,7.199508e-02,2.344643e-01,1.131030e-04,6.374168e-03,2.405980e+03,5.562345e-01,0.000000e+00,9.866844e-01,9.724698e-02,0.000000e+00,1.314703e-02,3.058093e-03,3.667553e+02,5.171762e+04,nostalgic
5.797261e+01,3.185564e+00,1.102469e+00,6.100245e-01,4.250211e-01,8.704867e-01,7.851790e-02,8.615623e+01,6.678225e+00,1.956898e+02,5.826372e-01,1.809277e-02,4.336553e-02,5.278261e-02,3.890114e-04,4.835567e-03,3.879190e+03,9.976675e-01,0.000000e+00,9.234354e-01,1.120803e-01,0.000000e+00,7.074955e-02,2.703886e-03,4.166789e+02,1.783807e+04,nostalgic
9.041005e+01,5.565103e+00,1.421877e+00,5.599537e-01,1.100174e+00,8.993563e-01,4.791525e-02,2.667250e+01,5.875621e+00,1.092795e+02,2.867795e-01,5.149877e-03,2.052759e-02,5.773347e-02,9.995258e-05,3.529342e-03,6.420211e+02,1.650843e-01,0.000000e+00,9.966711e-01,1.101749e-01,0.000000e+00,3.320024e-03,3.268841e-03,6.366326e+02,6.624420e+04,nostalgic
8.926841e+01,5.692113e+00,1.458618e+00,6.182839e-01,1.112858e+00,9.035452e-01,1.570211e-01,1.050794e+02,5.700501e+00,8.943328e+01,4.391148e-01,1.108213e-02,1.346280e-02,1.495404e-01,1.293919e-04,1.478188e-02,1.058217e+04,2.452969e-01,0.000000e+00,8.082557e-01,1.113882e-01,0.000000e+00,1.550817e-01,4.399218e-03,6.385537e+02,1.697530e+05,nostalgic
6.133011e+01,4.616378e+00,1.404465e+00,7.894582e-01,7.864295e-01,8.978980e-01,5.491159e-02,2.249888e+01,5.326287e+00,1.557838e+02,9.120840e-01,3.792079e-02,1.299727e-01,4.282671e-01,2.145903e-04,5.978106e-03,7.812474e+02,8.881809e-01,0.000000e+00,7.669774e-01,8.667099e-02,0.000000e+00,1.788422e-01,4.548499e-03,4.247563e+02,2.800420e+05,nostalgic
9.093359e+01,6.242480e+00,1.561792e+00,5.813977e-01,1.139520e+00,9.002035e-01,1.168659e-01,3.556275e+01,5.023829e+00,1.802550e+02,8.330921e-01,1.987931e-02,8.651203e-03,1.413643e-01,1.081036e-04,1.647019e-02,2.276024e+03,3.780085e-01,0.000000e+00,9.627164e-01,1.142894e-01,0.000000e+00,3.591747e-02,3.292683e-03,1.053673e+03,5.281026e+05,nostalgic
8.410877e+01,4.878312e+00,1.331734e+00,7.115147e-01,1.146195e+00,8.999150e-01,2.020778e-01,1.247101e+02,6.160053e+00,1.345812e+02,7.372649e-01,1.700945e-02,2.710115e-02,1.480745e-01,1.148189e-04,1.303569e-02,6.090526e+03,5.599789e-01,0.000000e+00,8.901465e-01,1.495208e-01,0.000000e+00,9.785088e-02,4.011804e-03,6.591963e+02,7.467317e+04,nostalgic
6.794062e+01,4.629351e+00,1.347301e+00,8.365110e-01,9.513365e-01,8.972204e-01,9.769362e-02,9.382027e+01,5.904164e+00,1.907658e+02,8.408843e-01,2.336201e-02,9.780942e-02,2.315020e-01,1.880077e-04,6.392567e-03,5.311126e+03,7.327590e-01,0.000000e+00,8.308921e-01,1.192688e-01,0.000000e+00,1.406040e-01,5.070156e-03,3.266114e+02,4.129187e+04,nostalgic
8.188851e+01,5.388598e+00,1.422042e+00,6.797804e-01,1.105182e+00,8.997904e-01,1.562019e-01,1.216589e+02,5.653671e+00,1.976046e+02,1.013068e+00,2.059033e-02,2.801345e-02,1.414817e-01,1.384615e-04,1.392833e-02,8.873649e+03,3.666955e-01,0.000000e+00,8.708389e-01,8.794380e-02,0.000000e+00,1.125535e-01,3.502184e-03,5.433046e+02,9.893800e+04,nostalgic
