% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {sad, high, groovy, happy, lonely, sexy, energetic, romantic, angry, sleepy, nostalgic, funny, jazzy, calm}


@data
6.991426e+01,4.719910e+00,1.376253e+00,7.699579e-01,7.151140e-01,8.806585e-01,5.557563e-02,5.400934e+01,5.513852e+00,3.848259e+02,1.295573e+00,4.077469e-02,2.050757e-01,1.340807e-01,3.892049e-04,4.029085e-03,4.166532e+03,1.227085e+00,0.000000e+00,9.194407e-01,1.390738e-01,0.000000e+00,7.411881e-02,3.330090e-03,6.713158e+02,4.907906e+05,sad
6.670983e+01,3.833259e+00,1.204170e+00,5.851277e-01,5.712051e-01,8.865481e-01,1.674975e-01,1.890131e+02,6.420621e+00,4.223770e+02,1.241579e+00,2.443488e-02,2.638695e-02,1.029132e-01,2.003624e-04,1.051623e-02,1.428777e+04,6.844475e-01,0.000000e+00,9.600533e-01,1.277697e-01,0.000000e+00,3.837655e-02,2.296137e-03,4.815801e+02,4.863568e+04,sad
6.157948e+01,4.118015e+00,1.348997e+00,4.629722e-01,3.552036e-01,8.544217e-01,6.713132e-02,7.213565e+01,4.637172e+00,4.746548e+02,1.326727e+00,1.849288e-02,2.265140e-02,3.742614e-02,3.691399e-04,3.740645e-03,3.148956e+03,4.226101e-01,0.000000e+00,6.784288e-01,1.187919e-01,0.000000e+00,2.183085e-01,7.051546e-03,6.846783e+02,5.080432e+04,sad
5.868635e+01,3.833611e+00,1.254310e+00,5.333446e-01,4.434393e-01,8.819352e-01,1.245409e-01,1.223629e+02,5.571587e+00,1.874829e+02,3.424784e-01,9.045010e-03,5.692400e-02,7.806305e-02,2.004323e-04,7.304541e-03,6.781020e+03,9.488390e-01,0.000000e+00,9.387483e-01,1.258872e-01,0.000000e+00,5.753821e-02,2.443499e-03,4.778652e+02,2.560711e+04,sad
7.188882e+01,3.953085e+00,1.178645e+00,9.205645e-01,8.071998e-01,8.654825e-01,8.557624e-02,7.744211e+01,7.214890e+00,1.114438e+03,2.249815e+00,3.393746e-02,2.508343e-01,2.201396e-01,6.513699e-04,8.868283e-03,2.603274e+03,1.586359e+00,0.000000e+00,5.872170e-01,9.167183e-02,0.000000e+00,2.425547e-01,6.571658e-03,3.589190e+02,4.007254e+04,sad
4.526798e+01,2.936316e+00,1.076913e+00,1.142572e+00,5.926523e-01,8.677810e-01,5.666807e-02,4.027171e+01,7.250110e+00,1.539535e+02,8.870188e-01,5.728211e-02,6.628396e-01,4.320634e-01,7.124855e-04,3.716344e-03,1.434520e+03,6.852372e+00,0.000000e+00,9.494008e-01,1.168726e-01,0.000000e+00,4.807093e-02,2.798933e-03,2.658175e+02,2.674412e+04,sad
1.186990e+02,6.520161e+00,1.433339e+00,6.945629e-01,1.794142e+00,8.970556e-01,1.416993e-01,1.829496e+02,6.747122e+00,1.898768e+03,4.055191e+00,3.342938e-02,9.512654e-02,8.929852e-01,3.169051e-04,9.455502e-03,1.599016e+04,1.883684e+00,0.000000e+00,9.840213e-01,1.541120e-01,0.000000e+00,1.573385e-02,1.498650e-03,5.602245e+02,1.736291e+05,sad
6.994309e+01,4.002016e+00,1.201608e+00,8.619054e-01,9.403713e-01,8.926861e-01,1.323742e-01,1.245691e+02,6.669986e+00,2.256944e+02,5.075698e-01,1.193379e-02,5.172197e-02,1.830076e-01,1.284130e-04,8.869500e-03,1.141023e+04,8.234701e-01,0.000000e+00,6.884154e-01,1.028814e-01,0.000000e+00,2.146425e-01,6.110459e-03,3.863658e+02,3.261336e+04,sad
8.571924e+01,5.862896e+00,1.550250e+00,5.355705e-01,6.801029e-01,8.840980e-01,1.220116e-01,6.586881e+01,4.831123e+00,2.346335e+02,1.436558e+00,3.218060e-02,1.759798e-02,3.849335e-02,1.616385e-04,1.307813e-02,4.095262e+03,6.251377e-01,0.000000e+00,7.043941e-01,1.232250e-01,0.000000e+00,2.083618e-01,6.814504e-03,1.048571e+03,5.776815e+05,sad
5.615585e+01,4.153700e+00,1.331875e+00,6.351486e-01,3.773472e-01,8.775494e-01,9.591735e-02,1.140268e+02,5.174972e+00,3.595947e+02,1.715790e+00,4.859280e-02,7.117096e-02,7.393543e-02,3.396349e-04,6.297029e-03,5.548566e+03,1.020177e+00,0.000000e+00,9.061252e-01,1.338932e-01,0.000000e+00,8.511902e-02,3.179417e-03,5.513947e+02,4.469716e+05,sad
7.102394e+01,4.168227e+00,1.249279e+00,6.539528e-01,6.077494e-01,8.778775e-01,1.100805e-01,1.370216e+02,6.464884e+00,2.743957e+02,1.561224e+00,4.533610e-02,7.461190e-02,9.107816e-02,4.632469e-04,1.201764e-02,2.179655e+04,1.546912e+00,0.000000e+00,7.583222e-01,1.010190e-01,0.000000e+00,1.833917e-01,4.636867e-03,5.324301e+02,1.550257e+05,sad
6.517330e+01,3.422836e+00,1.127020e+00,7.381048e-01,5.882671e-01,8.682267e-01,2.112920e-01,3.573762e+02,6.916975e+00,1.796422e+02,7.632836e-01,1.797394e-02,3.576056e-02,7.539184e-02,2.302757e-04,1.173216e-02,3.224206e+04,1.155636e+00,0.000000e+00,8.082557e-01,9.541799e-02,0.000000e+00,1.550817e-01,4.187817e-03,4.492091e+02,3.675973e+04,sad
6.066603e+01,3.632864e+00,1.185667e+00,8.318936e-01,5.734408e-01,8.731845e-01,5.167656e-02,5.162130e+01,6.406146e+00,3.820760e+02,7.377535e-01,2.136977e-02,1.674234e-01,1.127468e-01,3.104558e-04,4.497219e-03,4.704016e+03,1.639681e+00,0.000000e+00,8.908123e-01,1.153008e-01,0.000000e+00,9.733059e-02,2.796949e-03,4.025571e+02,8.540743e+04,sad
5.920972e+01,3.813899e+00,1.218252e+00,7.779001e-01,6.354836e-01,8.878592e-01,6.178387e-02,7.367067e+01,6.051846e+00,2.100022e+02,7.800639e-01,2.192325e-02,1.176410e-01,2.092831e-01,2.623977e-04,5.725803e-03,7.683858e+03,9.770994e-01,0.000000e+00,7.390146e-01,6.826095e-02,0.000000e+00,1.930005e-01,2.774689e-03,3.168775e+02,2.907298e+04,sad
1.028974e+02,7.375613e+00,1.699130e+00,4.999038e-01,9.313935e-01,8.918224e-01,1.675466e-01,7.993583e+01,4.620427e+00,1.304694e+02,1.337183e+00,2.789404e-02,4.473999e-03,3.475768e-02,1.295180e-04,2.599025e-02,1.142484e+04,2.986420e-01,0.000000e+00,9.747004e-01,1.304747e-01,0.000000e+00,2.467596e-02,2.793254e-03,1.728389e+03,5.990634e+05,sad
6.948446e+01,4.187568e+00,1.251894e+00,6.125115e-01,6.796633e-01,8.850371e-01,5.992513e-02,6.000738e+01,6.447853e+00,3.224345e+02,1.249320e+00,3.496250e-02,4.057800e-02,1.161544e-01,1.941965e-04,3.397858e-03,2.444460e+03,1.531700e+00,0.000000e+00,8.435419e-01,8.234344e-02,0.000000e+00,1.320669e-01,2.624635e-03,4.153768e+02,9.810933e+04,sad
5.658178e+01,2.837014e+00,1.035262e+00,6.654194e-01,4.620206e-01,8.297024e-01,5.816718e-02,7.079055e+01,7.441067e+00,2.372590e+02,7.445045e-01,1.844860e-02,3.741134e-02,4.469420e-02,5.245252e-04,2.186934e-03,2.201642e+03,8.229999e-01,0.000000e+00,9.394141e-01,1.455707e-01,0.000000e+00,5.695315e-02,2.856081e-03,3.834368e+02,3.110453e+03,sad
5.970812e+01,3.937046e+00,1.265860e+00,7.141206e-01,5.032426e-01,8.691630e-01,7.831710e-02,7.256228e+01,5.612521e+00,4.900171e+02,1.839309e+00,3.826621e-02,4.774910e-02,1.086340e-01,1.139448e-03,9.540762e-03,1.093920e+04,1.383981e+00,0.000000e+00,8.921438e-01,1.054699e-01,0.000000e+00,9.628734e-02,2.536355e-03,4.962645e+02,1.545946e+05,sad
7.780429e+01,4.024121e+00,1.167944e+00,8.167303e-01,1.369810e+00,8.725142e-01,1.351042e-01,1.027687e+02,7.477823e+00,4.811593e+02,7.887287e-01,1.433697e-02,6.740689e-02,5.282241e-01,9.677042e-04,8.832746e-03,4.490405e+03,2.918893e+00,0.000000e+00,8.861518e-01,1.323830e-01,0.000000e+00,1.009540e-01,4.503454e-03,3.479820e+02,1.017353e+04,sad
9.423460e+01,5.529560e+00,1.415524e+00,4.944924e-01,1.074513e+00,8.907748e-01,1.098605e-01,7.828185e+01,5.884750e+00,9.867217e+01,2.654749e-01,5.416640e-03,1.124032e-02,6.001043e-02,1.316800e-04,8.352580e-03,2.878889e+03,2.700608e-01,0.000000e+00,7.323569e-01,8.338431e-02,0.000000e+00,1.961409e-01,4.697114e-03,9.044459e+02,2.126609e+04,sad
8.842677e+01,5.226645e+00,1.349311e+00,7.773325e-01,1.721504e+00,8.946919e-01,1.504506e-01,9.949572e+01,6.514719e+00,7.439301e+02,2.232665e+00,3.837316e-02,1.312845e-01,7.134824e-01,1.690406e-04,1.813375e-02,9.668657e+03,2.493382e+00,0.000000e+00,9.400799e-01,1.287890e-01,0.000000e+00,5.636722e-02,3.010769e-03,4.619515e+02,1.518258e+05,sad
