@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute output {romantic,notromantic}

@data

0.052398,0.833293,1.387575,2.007744,0.417222,0.158046,0.031793,0.000102,0.464039,0.23156,0.184926,0.081421,0.268459,0.237781,0.331301,0.109509,0.141127,0.135581,0.121108,0.063854,0.272551,59.786416,59.456904,romantic
0.035849,1.629079,1.465162,2.430463,0.451394,0.14236,0.014271,0.000061,0.430903,0.211744,0.201172,0.07253,0.311034,0.244745,0.37031,0.135141,0.117032,0.12284,0.119063,0.05765,0.237805,26.561183,34.644781,romantic
0.034013,1.176877,1.497733,2.374761,0.400423,0.130366,0.025466,0.000395,0.391029,0.198025,0.202798,0.078413,0.47531,0.384293,0.433774,0.109506,0.135359,0.113188,0.114997,0.150977,0.207618,26.105901,17.139338,romantic
0.035258,0.823463,1.569135,2.577555,0.410659,0.130661,0.013176,0.000085,0.483281,0.243655,0.195217,0.104266,0.662462,0.405868,0.428356,0.129429,0.121319,0.112098,0.110245,0.069899,0.21449,0,13.510022,romantic
0.030856,1.631855,1.605895,2.304847,0.432135,0.111349,0.012761,0.000025,0.401076,0.20991,0.201684,0.076099,0.68666,0.555893,0.363362,0.147076,0.120386,0.089822,0.122722,0.11694,0.255138,0,7.230596,romantic
0.041903,1.478901,1.46928,2.434501,0.298246,0.145931,0.011848,0.000029,0.447741,0.221653,0.192773,0.076911,0.355731,0.250965,0.439649,0.114885,0.122612,0.101676,0.126461,0.066677,0.225418,12.025883,15.375594,romantic
0.047737,1.366328,1.438738,2.0754,0.429372,0.139184,0.040118,0.000021,0.44279,0.215763,0.188447,0.074217,0.527136,0.335089,0.310952,0.102294,0.110703,0.112063,0.095439,0.061674,0.2982,11.054887,14.004443,romantic
0.050896,0.663161,1.608192,2.583231,0.388281,0.123304,0.048189,0.000018,0.490707,0.250464,0.20792,0.089619,0.414791,0.326249,0.383823,0.156112,0.124228,0.129856,0.105613,0.087944,0.261558,0,8.674273,romantic
0.068949,1.141299,1.546073,2.462881,0.378327,0.170681,0.028586,0.000154,0.46007,0.228381,0.222092,0.082393,0.591025,0.426374,0.410962,0.124922,0.139422,0.147947,0.12347,0.059085,0.443928,16.566016,11.01271,romantic
