@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {romantic,notromantic}

@data

0.012779,1.467257,-6.431821,-0.390145,-4.092352,2.149197,0.002876,0.552026,4.557408,239,0.045573,0.000003,0.200416,-0.084868,0.001488,0.924377,0.00003,-0.000052,-0.155288,romantic
0.005507,1.050142,-3.118485,-0.249633,-0.965344,1.224,0.000917,0.586779,8.175799,1640,0.030463,-0.000005,-0.002748,-0.071365,-0.001985,0.918326,-0.000015,-0.000013,-0.257082,romantic
0.010816,2.883659,-0.247239,-0.733102,2.256777,5.750204,0.00214,0.988043,5.258323,1829,0.017421,0.000005,0.139541,0.181856,0.000216,1.116783,0.000042,-0.000037,0.097576,romantic
0.007944,1.397044,-1.822366,-0.358643,-3.272386,2.000365,0.000922,0.697688,5.393231,626,-0.091125,0.000013,-0.114427,0.305628,-0.003959,1.270128,-0.000028,0.00007,0.148715,romantic
0.004368,2.472404,-0.389297,-1.03323,-9.281378,3.674184,0.000625,0.486784,7.512211,667,-0.014428,0.000001,-0.390583,-0.056442,0.000514,0.981367,-0.000011,0.000082,0.514774,romantic
0.004301,1.968709,-2.681493,-0.61797,-5.132809,3.973821,0.000668,0.419031,4.708479,142,-0.116927,-0.000007,0.151694,-0.37284,-0.000196,1.169942,-0.000004,-0.000101,0.171041,romantic
0.006113,2.470227,-7.945247,-0.763233,-0.408409,2.563844,0.001151,0.618859,4.120018,1997,0.097179,0.000001,-0.440552,-0.140611,0.001564,1.21194,0.000054,0.000087,-0.475413,romantic
0.005585,2.523038,-5.781797,-0.848307,-5.055435,4.084623,0.000939,0.769926,4.855853,1602,-0.405637,0.000003,0.016338,-0.094422,-0.001362,1.190167,-0.000045,-0.000081,-0.025313,romantic
0.019674,0.684463,-6.947134,0.107587,-2.546096,0.829351,0.002923,0.781953,5.030263,1087,-0.021349,-0.000003,0.206096,-0.024169,0.001214,1.497419,0.000099,-0.000054,-0.123157,romantic
