% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {romantic,notromantic}


@data
8.021440e+01,5.127237e+00,1.387080e+00,7.187198e-01,1.031834e+00,9.024667e-01,2.147417e-01,1.355778e+02,5.717236e+00,4.006324e+02,1.841514e+00,3.414010e-02,2.894663e-02,2.453576e-01,1.016838e-04,1.899611e-02,1.506702e+04,7.508463e-01,0.000000e+00,8.262317e-01,1.087486e-01,0.000000e+00,1.436685e-01,5.127245e-03,5.831913e+02,1.342886e+05,romantic
7.209898e+01,4.195030e+00,1.234925e+00,7.797183e-01,9.253595e-01,8.929943e-01,9.666720e-02,9.003429e+01,6.622772e+00,1.605259e+02,6.083518e-01,1.437078e-02,9.185878e-02,1.905216e-01,1.794603e-04,7.611381e-03,5.062448e+03,6.593764e-01,0.000000e+00,9.966711e-01,9.979691e-02,0.000000e+00,3.320024e-03,1.761165e-03,3.847001e+02,3.043053e+04,romantic
5.617953e+01,3.503975e+00,1.166386e+00,8.065463e-01,5.574446e-01,8.768739e-01,8.893537e-02,1.334156e+02,6.541514e+00,2.082918e+02,9.916706e-01,3.967148e-02,1.670774e-01,1.899184e-01,2.912506e-04,6.474658e-03,1.569890e+04,2.143890e+00,0.000000e+00,9.820240e-01,9.813682e-02,0.000000e+00,1.766465e-02,2.321532e-03,3.777530e+02,2.126881e+05,romantic
6.201411e+01,3.684428e+00,1.197220e+00,7.804726e-01,5.778291e-01,8.735891e-01,6.254822e-02,4.393799e+01,6.456382e+00,3.495862e+02,4.358665e-01,9.261021e-03,1.673556e-01,1.096457e-01,3.161022e-04,5.943287e-03,2.257926e+03,1.105366e+00,0.000000e+00,8.894807e-01,1.022134e-01,0.000000e+00,9.837028e-02,3.563261e-03,4.092239e+02,4.552346e+04,romantic
7.188882e+01,3.953085e+00,1.178645e+00,9.205645e-01,8.071998e-01,8.654825e-01,8.557624e-02,7.744211e+01,7.214890e+00,1.114438e+03,2.249815e+00,3.393746e-02,2.508343e-01,2.201396e-01,6.513699e-04,8.868283e-03,2.603274e+03,1.586359e+00,0.000000e+00,5.872170e-01,9.167183e-02,0.000000e+00,2.425547e-01,6.571658e-03,3.589190e+02,4.007254e+04,romantic
5.868635e+01,3.833611e+00,1.254310e+00,5.333446e-01,4.434393e-01,8.819352e-01,1.245409e-01,1.223629e+02,5.571587e+00,1.874829e+02,3.424784e-01,9.045010e-03,5.692400e-02,7.806305e-02,2.004323e-04,7.304541e-03,6.781020e+03,9.488390e-01,0.000000e+00,9.387483e-01,1.258872e-01,0.000000e+00,5.753821e-02,2.443499e-03,4.778652e+02,2.560711e+04,romantic
7.178200e+01,4.927006e+00,1.398017e+00,7.651837e-01,9.126687e-01,8.981605e-01,8.495246e-02,4.396636e+01,5.550870e+00,4.543049e+02,1.321990e+00,2.960292e-02,4.308193e-02,2.677424e-01,1.482472e-04,6.818492e-03,1.928088e+03,1.434873e+00,0.000000e+00,9.141145e-01,1.045139e-01,0.000000e+00,7.856147e-02,3.388009e-03,5.263124e+02,2.668235e+05,romantic
5.866706e+01,3.782746e+00,1.239630e+00,8.418250e-01,5.695534e-01,8.748027e-01,7.134728e-02,6.096968e+01,6.108701e+00,3.797164e+02,1.419469e+00,6.057079e-02,2.476668e-01,9.837999e-02,3.896176e-04,4.915702e-03,2.691964e+03,2.029196e+00,0.000000e+00,9.094541e-01,1.406685e-01,0.000000e+00,8.240223e-02,2.978057e-03,5.533089e+02,4.841213e+05,romantic
6.628470e+01,4.693882e+00,1.412753e+00,5.621490e-01,4.479976e-01,8.778813e-01,4.470110e-02,1.957050e+01,4.676042e+00,6.475358e+02,2.037442e+00,3.122755e-02,6.141330e-02,8.312403e-02,3.045062e-04,6.733915e-03,7.961611e+02,6.730552e-01,0.000000e+00,2.862850e-01,4.223991e-02,0.000000e+00,2.044620e-01,4.948536e-03,7.575792e+02,1.608111e+05,romantic
5.073070e+01,3.869132e+00,1.333463e+00,7.458561e-01,4.830209e-01,8.870276e-01,1.127145e-01,1.281869e+02,5.035826e+00,5.705204e+02,1.736859e+00,6.239677e-02,1.114404e-01,2.782861e-01,2.201079e-04,7.618306e-03,9.045208e+03,2.620082e+00,0.000000e+00,5.765646e-01,7.627345e-02,0.000000e+00,2.443005e-01,5.471080e-03,6.681216e+02,6.099816e+05,romantic
4.805316e+01,2.888601e+00,1.065897e+00,9.741293e-01,4.185965e-01,8.565150e-01,5.831889e-02,4.232755e+01,6.736684e+00,4.985100e+02,8.402772e-01,2.279898e-02,4.039702e-01,1.118480e-01,6.709336e-04,4.712453e-03,1.910934e+03,2.219620e+00,0.000000e+00,6.830892e-01,9.259585e-02,0.000000e+00,2.166226e-01,5.252613e-03,3.494927e+02,2.530305e+04,romantic
7.242995e+01,3.875092e+00,1.179606e+00,7.293213e-01,9.177517e-01,8.898574e-01,2.822377e-01,3.322546e+02,6.889429e+00,3.586670e+02,7.273840e-01,1.108642e-02,2.519729e-02,2.416990e-01,2.566332e-04,2.129795e-02,2.767870e+04,9.108544e-01,0.000000e+00,9.920107e-01,1.536101e-01,0.000000e+00,7.930798e-03,1.641586e-03,4.094555e+02,1.235224e+04,romantic
9.350886e+01,5.946776e+00,1.500063e+00,5.459627e-01,9.140371e-01,8.953331e-01,1.445275e-01,6.076677e+01,5.255287e+00,1.192074e+02,4.279257e-01,7.577142e-03,1.298029e-02,8.616978e-02,1.253862e-04,1.691723e-02,2.614738e+03,2.649249e-01,0.000000e+00,9.540613e-01,8.782656e-02,0.000000e+00,4.385758e-02,2.325633e-03,1.029466e+03,1.338863e+05,romantic
8.945719e+01,6.577602e+00,1.640031e+00,5.540450e-01,9.812183e-01,9.000409e-01,1.636290e-01,7.820997e+01,4.613824e+00,3.375223e+02,1.049778e+00,1.928697e-02,8.290037e-03,1.549661e-01,1.110112e-04,1.701580e-02,5.539758e+03,5.916256e-01,0.000000e+00,9.434088e-01,1.025772e-01,0.000000e+00,5.342422e-02,2.975851e-03,1.304312e+03,7.134703e+05,romantic
5.024809e+01,2.954359e+00,1.037438e+00,1.064248e+00,5.330690e-01,8.553024e-01,4.009002e-02,5.851253e+01,7.654030e+00,2.772554e+02,9.028637e-01,3.556162e-02,2.870012e-01,6.230133e-02,6.052822e-04,2.463686e-03,2.028677e+03,2.570045e+00,0.000000e+00,9.893475e-01,1.351673e-01,0.000000e+00,1.054601e-02,1.435114e-03,2.608471e+02,1.762924e+04,romantic
5.562333e+01,3.732676e+00,1.214228e+00,9.894133e-01,6.122845e-01,8.851518e-01,5.263789e-02,3.840102e+01,6.133019e+00,2.053915e+02,9.533604e-01,2.831888e-02,1.582087e-01,1.693774e-01,3.142978e-04,4.038220e-03,1.076129e+03,1.319637e+00,0.000000e+00,9.127830e-01,9.192563e-02,0.000000e+00,7.966327e-02,2.687900e-03,2.870964e+02,4.849235e+04,romantic
8.282284e+01,5.688724e+00,1.506182e+00,6.378701e-01,1.002451e+00,8.974362e-01,1.078779e-01,5.146070e+01,5.182901e+00,6.434888e+01,2.840872e-01,4.921834e-03,1.944126e-02,1.509757e-01,7.330200e-05,1.140485e-02,2.330807e+03,9.262558e-02,0.000000e+00,9.513981e-01,1.347306e-01,0.000000e+00,4.627053e-02,2.013472e-03,8.629735e+02,1.323798e+05,romantic
6.362277e+01,4.027166e+00,1.240947e+00,8.138599e-01,8.137100e-01,8.946376e-01,1.368466e-01,1.336108e+02,6.174548e+00,9.799649e+01,4.677350e-01,1.218057e-02,6.570775e-02,1.331239e-01,1.843287e-04,8.307868e-03,9.548100e+03,4.268785e-01,0.000000e+00,9.181092e-01,1.235553e-01,0.000000e+00,7.523480e-02,3.148419e-03,2.743735e+02,2.099017e+04,romantic
7.141877e+01,4.351764e+00,1.262117e+00,7.900200e-01,7.342093e-01,8.779803e-01,6.328896e-02,8.691980e+01,6.507377e+00,3.486709e+02,1.245439e+00,2.822818e-02,1.196356e-01,2.317708e-01,3.763509e-04,2.847714e-03,3.377638e+03,1.220503e+00,0.000000e+00,9.720373e-01,1.266876e-01,0.000000e+00,2.719891e-02,1.382768e-03,3.485447e+02,4.274938e+04,romantic
9.564560e+01,5.682428e+00,1.429511e+00,6.228006e-01,9.772727e-01,8.850671e-01,1.519571e-01,1.342517e+02,5.942025e+00,7.960924e+02,2.181135e+00,3.080658e-02,3.707115e-02,1.503556e-01,3.379659e-04,1.377825e-02,1.150637e+04,7.203749e-01,0.000000e+00,5.512650e-01,8.012710e-02,0.000000e+00,2.475367e-01,6.332537e-03,6.952398e+02,2.808414e+05,romantic
6.582836e+01,5.513587e+00,1.575457e+00,6.926867e-01,8.432836e-01,8.982353e-01,9.092987e-02,5.276116e+01,4.547109e+00,2.356124e+02,8.828000e-01,2.255625e-02,7.939698e-02,2.973058e-01,2.024636e-04,9.068841e-03,3.400919e+03,5.497305e-01,0.000000e+00,8.948069e-01,1.187832e-01,0.000000e+00,9.419020e-02,3.510472e-03,6.840810e+02,5.224207e+05,romantic
4.986349e+01,3.143856e+00,1.103230e+00,1.030373e+00,4.952445e-01,8.714053e-01,5.775049e-02,5.935214e+01,6.958207e+00,2.134870e+02,8.863800e-01,3.302492e-02,1.557293e-01,1.032029e-01,5.557217e-04,3.943462e-03,3.838208e+03,1.812279e+00,0.000000e+00,9.860186e-01,1.125091e-01,0.000000e+00,1.379506e-02,1.018196e-03,2.809260e+02,7.230499e+04,romantic
6.471443e+01,3.992273e+00,1.260479e+00,6.096196e-01,5.352359e-01,8.778651e-01,9.591075e-02,9.509386e+01,5.841594e+00,3.872824e+02,8.439587e-01,2.246738e-02,5.315407e-02,1.128977e-01,3.941118e-04,7.021237e-03,3.955694e+03,1.115552e+00,0.000000e+00,9.300932e-01,1.102830e-01,0.000000e+00,6.506315e-02,2.396049e-03,5.465519e+02,1.760818e+05,romantic
7.615790e+01,5.253951e+00,1.437108e+00,6.366174e-01,8.951721e-01,8.899488e-01,6.971383e-02,4.995555e+01,5.364593e+00,2.574136e+02,9.306959e-01,1.809026e-02,7.477385e-02,2.304008e-01,2.268058e-04,7.218904e-03,3.567192e+03,4.581050e-01,0.000000e+00,9.287617e-01,9.773096e-02,0.000000e+00,6.620753e-02,2.752374e-03,5.693424e+02,1.219782e+05,romantic
6.245355e+01,4.031806e+00,1.219618e+00,1.143332e+00,8.361413e-01,8.896183e-01,9.207150e-02,4.764775e+01,6.471171e+00,1.240319e+03,3.623765e+00,5.316997e-02,1.454048e-01,4.058790e-01,3.141555e-04,1.724317e-02,2.538493e+03,1.306175e+00,0.000000e+00,6.724368e-01,9.265496e-02,0.000000e+00,2.204123e-01,4.999032e-03,2.394904e+02,3.437601e+05,romantic
6.139223e+01,3.519025e+00,1.178015e+00,5.409743e-01,4.112145e-01,8.731053e-01,1.912913e-01,2.489277e+02,6.107091e+00,1.979504e+02,7.826839e-01,2.084695e-02,3.047849e-02,2.958668e-02,2.076265e-04,1.106644e-02,2.612489e+04,8.605599e-01,0.000000e+00,8.195739e-01,9.239627e-02,0.000000e+00,1.479710e-01,3.957154e-03,5.028184e+02,2.605620e+04,romantic
5.309016e+01,4.535868e+00,1.487170e+00,4.782362e-01,2.483774e-01,8.704000e-01,5.926700e-02,6.553266e+01,3.839292e+00,3.265884e+02,1.623843e+00,3.601068e-02,1.582912e-02,2.387991e-02,3.500342e-04,3.311919e-03,2.369080e+03,3.466513e-01,0.000000e+00,6.398136e-01,8.265153e-02,0.000000e+00,2.306057e-01,5.744306e-03,8.531522e+02,5.951651e+05,romantic
9.397978e+01,5.842485e+00,1.470290e+00,5.663950e-01,1.098965e+00,8.958325e-01,1.129292e-01,7.037472e+01,5.559383e+00,6.151384e+02,1.403587e+00,1.807760e-02,2.456864e-02,3.306024e-01,2.026287e-04,1.275255e-02,4.211361e+03,8.988854e-01,0.000000e+00,9.320905e-01,1.207080e-01,0.000000e+00,6.333993e-02,3.187471e-03,9.121929e+02,2.734587e+05,romantic
7.587171e+01,4.964804e+00,1.376704e+00,7.454885e-01,9.874921e-01,8.995529e-01,1.543161e-01,1.477588e+02,5.741253e+00,2.995061e+02,1.405510e+00,3.092519e-02,5.289956e-02,1.975223e-01,1.250113e-04,1.064788e-02,1.095254e+04,5.944433e-01,0.000000e+00,9.134487e-01,1.411159e-01,0.000000e+00,7.911282e-02,3.230518e-03,5.493704e+02,2.307291e+05,romantic
6.742951e+01,5.000217e+00,1.458453e+00,6.677425e-01,6.020317e-01,8.927069e-01,6.424723e-02,3.065532e+01,4.877423e+00,3.502872e+02,9.762491e-01,2.194619e-02,5.749715e-02,7.315279e-02,2.881805e-04,5.390877e-03,8.842578e+02,6.873370e-01,0.000000e+00,9.680426e-01,1.168742e-01,0.000000e+00,3.095673e-02,2.399434e-03,7.129184e+02,2.324956e+05,romantic
5.797261e+01,3.185564e+00,1.102469e+00,6.100245e-01,4.250211e-01,8.704867e-01,7.851790e-02,8.615623e+01,6.678225e+00,1.956898e+02,5.826372e-01,1.809277e-02,4.336553e-02,5.278261e-02,3.890114e-04,4.835567e-03,3.879190e+03,9.976675e-01,0.000000e+00,9.234354e-01,1.120803e-01,0.000000e+00,7.074955e-02,2.703886e-03,4.166789e+02,1.783807e+04,romantic
8.219545e+01,5.170146e+00,1.392398e+00,6.252173e-01,1.008921e+00,9.023372e-01,1.818237e-01,1.009218e+02,5.681728e+00,8.944580e+01,4.370760e-01,8.826588e-03,8.219223e-03,8.199048e-02,8.776790e-05,1.698592e-02,6.745197e+03,1.952757e-01,0.000000e+00,9.014647e-01,9.318996e-02,0.000000e+00,8.888526e-02,2.266094e-03,5.932135e+02,3.539728e+04,romantic
