@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_E numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_PeriodicCentroid1 numeric
@attribute output {romantic,notromantic}

@data

0.040573,7.928543,0.000074,1.525572,2.889124,0.136556,0.015487,0.000042,2.566711,0.596095,0.52335,0.466312,0.477896,0.150517,0.147242,0.107442,0.56319,0.095291,11.201022,0.565248,1.003091,0.47332,romantic
0.058153,3.144425,0.000543,1.483902,2.599118,0.162501,0.032034,0.000516,2.217859,0.425775,0.23525,0.330819,0.374747,0.101793,0.103557,0.086882,0.176068,0.077586,56.515746,0.575547,1.003657,0.490374,romantic
0.042957,8.841732,0.00019,1.522411,2.776586,0.136001,0.011662,0.000165,2.630904,0.491257,0.492089,0.340974,0.319867,0.110093,0.114615,0.119381,0.245189,0.084663,35.950835,0.512982,1.004082,0.538079,romantic
0.025807,5.578469,0.000203,1.498246,2.722999,0.125316,0.016582,0.000156,2.275965,0.302662,0.257754,0.229054,0.358787,0.141073,0.14628,0.115021,0.184295,0.097223,21.434946,0.566802,1.005423,0.560745,romantic
0.027694,6.440132,0.000171,1.556854,2.597928,0.098032,0.012467,0.000116,2.087803,0.599024,0.283064,0.345957,0.397872,0.155196,0.14447,0.114309,0.382651,0.093808,15.030711,0.531532,1.00275,0.491186,romantic
0.054479,4.525482,0.000407,1.469314,2.931715,0.182441,0.027184,0.000751,1.519298,0.453186,0.36833,0.202454,0.39052,0.109512,0.083646,0.079913,0.170424,0.083279,27.466432,0.577472,1.004998,0.495713,romantic
0.089888,5.040511,0.000096,1.645274,3.175138,0.191371,0.037163,0.000038,2.681902,0.843638,0.532643,0.402143,0.350746,0.138557,0.143974,0.156398,0.363503,0.123971,11.970102,0.597945,1.002373,0.492284,romantic
0.050648,5.397384,0.000371,1.471976,2.554142,0.160038,0.023687,0.000198,2.38803,0.27318,0.363952,0.355202,0.392066,0.105944,0.13217,0.107954,0.1758,0.082918,42.991757,0.582294,1.004833,0.51222,romantic
0.038753,5.667946,0.000102,1.497361,2.667502,0.131668,0.030439,0.000235,2.003798,0.270793,0.250484,0.218625,0.31467,0.105888,0.090703,0.107895,0.215574,0.075537,20.235287,0.636314,1.008699,0.497018,romantic
0.050896,6.312058,0.000025,1.608192,2.906806,0.123304,0.048189,0.000018,2.34686,0.414791,0.326249,0.408578,0.383823,0.156112,0.124228,0.105613,0.261558,0.112072,8.674273,0.55933,1.002773,0.491541,romantic
0.02502,5.327814,0.000446,1.487187,2.738277,0.13183,0.010735,0.000572,2.102618,0.351203,0.409734,0.456596,0.30572,0.12323,0.129651,0.096447,0.140589,0.070579,35.810386,0.571561,1.003727,0.474895,romantic
0.038044,8.055471,0.000163,1.578716,2.791611,0.1319,0.01199,0.000152,3.273101,0.92249,0.876899,0.626304,0.36891,0.132865,0.126978,0.141693,0.344934,0.101373,17.982886,0.573884,1.002597,0.505149,romantic
0.055028,4.832506,0.000237,1.527316,2.454659,0.158898,0.037322,0.000242,2.56093,0.433051,0.278503,0.242777,0.3952,0.111881,0.097122,0.094748,0.182535,0.085035,26.868639,0.566267,1.003766,0.52228,romantic
0.04985,4.944009,0.000037,1.513645,2.661581,0.145944,0.032341,0.00007,2.645249,0.569534,0.283436,0.297839,0.401885,0.095257,0.103207,0.104889,0.270877,0.063392,23.630043,0.538594,1.006048,0.43353,romantic
0.064393,4.743445,0.000267,1.43859,2.705499,0.170891,0.024353,0.000195,2.425202,0.312048,0.210331,0.223157,0.334736,0.101549,0.122808,0.094629,0.146256,0.083885,59.482585,0.574226,1.004803,0.504189,romantic
0.041792,8.017489,0.000114,1.472058,2.602835,0.136654,0.015949,0.000138,2.549904,0.748934,0.538249,0.632399,0.419913,0.127673,0.141207,0.152511,0.29315,0.072997,11.702394,0.598801,1.002611,0.493607,romantic
0.062282,6.964735,0.000075,1.533296,2.650945,0.167093,0.015802,0.000074,3.436013,0.329764,0.533901,0.670839,0.335703,0.136322,0.14123,0.134192,0.232191,0.09759,20.781642,0.543115,1.003142,0.517389,romantic
0.058846,5.096214,0.000118,1.452916,2.97286,0.147358,0.044876,0.000282,2.920259,0.468046,0.338461,0.280056,0.364796,0.113071,0.109786,0.113969,0.240029,0.069123,46.569845,0.563377,1.006842,0.50875,romantic
0.022389,7.812137,0.0004,1.541452,2.991808,0.082967,0.007793,0.000171,1.883969,0.354958,0.395184,0.267251,0.444051,0.181974,0.180796,0.157095,0.215612,0.101572,14.15745,0.539271,1.003585,0.486269,romantic
0.02742,6.336355,0.000317,1.613274,2.493373,0.120445,0.012426,0.000187,2.375567,0.347523,0.348362,0.346702,0.412506,0.134313,0.160212,0.16637,0.219471,0.110784,19.833714,0.555726,1.003213,0.458717,romantic
0.047291,5.606417,0.000054,1.489116,2.621543,0.142607,0.019338,0.000038,2.371923,0.612362,0.644541,0.371661,0.396731,0.131421,0.194532,0.172835,0.359005,0.088368,14.525078,0.577122,1.002914,0.478937,romantic
0.064294,4.408454,0.000153,1.473527,2.609365,0.166462,0.021968,0.000179,2.371495,0.601089,0.385448,0.437541,0.45875,0.125033,0.116905,0.125466,0.229852,0.081214,16.857065,0.570438,1.002506,0.480446,romantic
0.035287,7.762594,0.000043,1.5099,2.628324,0.120293,0.015661,0.000035,2.560664,0.437878,0.473519,0.294369,0.359686,0.130614,0.119611,0.106509,0.18097,0.097302,13.477334,0.545003,1.002999,0.532513,romantic
0.030633,5.302648,0.000134,1.480507,2.659048,0.115316,0.018083,0.000119,2.744333,0.233432,0.300479,0.306057,0.278263,0.131149,0.108891,0.129515,0.209711,0.10148,46.006132,0.56354,1.0062,0.459483,romantic
