@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_E numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_PeriodicCentroid1 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.040573,7.928543,0.000074,1.525572,2.889124,0.136556,0.015487,0.000042,2.566711,0.596095,0.52335,0.466312,0.477896,0.150517,0.147242,0.107442,0.56319,0.095291,11.201022,0.565248,1.003091,0.47332,56.6866,3.302787,1.135893,0.683988,0.410492,0.853508,0.098048,78.8806,6.497687,505.9154,1.175525,0.025806,0.071253,0.06742,0.000669,0.011292,4729.115,1.936975,0,0.468043,0.057423,0,0.249145,0.004924,454.1977,36012.04
0.058153,3.144425,0.000543,1.483902,2.599118,0.162501,0.032034,0.000516,2.217859,0.425775,0.23525,0.330819,0.374747,0.101793,0.103557,0.086882,0.176068,0.077586,56.515746,0.575547,1.003657,0.490374,86.64714,5.84014,1.494759,0.567574,1.100437,0.905186,0.102877,57.12648,5.390428,86.26591,0.417337,0.010194,0.011036,0.096658,0.000073,0.007885,2044.408,0.211373,0,0.932091,0.121785,0,0.06334,0.003479,641.1748,121060
0.042957,8.841732,0.00019,1.522411,2.776586,0.136001,0.011662,0.000165,2.630904,0.491257,0.492089,0.340974,0.319867,0.110093,0.114615,0.119381,0.245189,0.084663,35.950835,0.512982,1.004082,0.538079,61.39223,3.519025,1.178015,0.540974,0.411215,0.873105,0.191291,248.9277,6.107091,197.9504,0.782684,0.020847,0.030478,0.029587,0.000208,0.011066,26124.89,0.86056,0,0.819574,0.092396,0,0.147971,0.003957,502.8184,26056.2
0.025807,5.578469,0.000203,1.498246,2.722999,0.125316,0.016582,0.000156,2.275965,0.302662,0.257754,0.229054,0.358787,0.141073,0.14628,0.115021,0.184295,0.097223,21.434946,0.566802,1.005423,0.560745,60.35212,4.03589,1.271521,0.745954,0.601359,0.896628,0.136215,133.5562,5.863801,167.5322,0.541555,0.013058,0.035777,0.116202,0.000362,0.007697,7184.64,0.570898,0,0.896139,0.088045,0,0.093136,0.003678,282.964,53632.75
0.027694,6.440132,0.000171,1.556854,2.597928,0.098032,0.012467,0.000116,2.087803,0.599024,0.283064,0.345957,0.397872,0.155196,0.14447,0.114309,0.382651,0.093808,15.030711,0.531532,1.00275,0.491186,56.66232,3.660302,1.182421,1.051953,0.533324,0.873009,0.05043,63.37554,6.279378,599.3174,1.700491,0.035919,0.261585,0.161184,0.000651,0.005696,3710.808,1.250157,0,0.667111,0.084789,0,0.222222,0.004514,315.0036,79456.32
0.054479,4.525482,0.000407,1.469314,2.931715,0.182441,0.027184,0.000751,1.519298,0.453186,0.36833,0.202454,0.39052,0.109512,0.083646,0.079913,0.170424,0.083279,27.466432,0.577472,1.004998,0.495713,80.94971,5.085072,1.38295,0.733375,1.064175,0.899348,0.062479,24.52263,5.721194,262.8599,0.79265,0.012993,0.070403,0.471569,0.000193,0.008454,689.1227,0.666737,0,0.693742,0.050863,0,0.212606,0.002769,530.9785,141714.4
0.089888,5.040511,0.000096,1.645274,3.175138,0.191371,0.037163,0.000038,2.681902,0.843638,0.532643,0.402143,0.350746,0.138557,0.143974,0.156398,0.363503,0.123971,11.970102,0.597945,1.002373,0.492284,71.99256,5.053371,1.466444,0.444295,0.409153,0.873099,0.046889,35.3736,4.620528,298.7948,1.251305,0.024913,0.020607,0.022771,0.000202,0.006979,910.0499,0.492743,0,0.719707,0.104195,0,0.201863,0.005637,1003.999,270195.2
0.050648,5.397384,0.000371,1.471976,2.554142,0.160038,0.023687,0.000198,2.38803,0.27318,0.363952,0.355202,0.392066,0.105944,0.13217,0.107954,0.1758,0.082918,42.991757,0.582294,1.004833,0.51222,79.52189,4.885944,1.350226,0.677326,0.842626,0.894592,0.086694,60.76431,5.945909,220.9169,0.679585,0.0158,0.04746,0.093862,0.000184,0.006659,3695.329,0.513484,0,0.984687,0.111246,0,0.015088,0.001915,563.2759,113926.4
0.038753,5.667946,0.000102,1.497361,2.667502,0.131668,0.030439,0.000235,2.003798,0.270793,0.250484,0.218625,0.31467,0.105888,0.090703,0.107895,0.215574,0.075537,20.235287,0.636314,1.008699,0.497018,67.9832,4.517482,1.329353,0.876823,0.952198,0.895918,0.107797,66.68266,6.00508,248.1766,0.932962,0.02462,0.08215,0.377063,0.000271,0.007439,2976.603,0.967863,0,0.911451,0.108634,0,0.080762,0.00347,430.47,230520.4
