@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[1]_kurtosis numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute output {romantic,notromantic}

@data

0.008606,0.007378,2.198016,-0.876838,-0.928849,5.299032,3.104263,-4.282171,2.539841,0.006029,0.000728,0.616735,5.619968,0.006481,3.919385,0.000013,-0.319519,0.444055,0.001802,0.000019,-0.000031,romantic
0.044712,0.018295,1.32155,-11.78542,-0.701893,4.710128,3.119155,-0.744791,2.252489,0.030686,0.004199,0.486616,4.030658,0.162297,3.764717,-0.000004,-0.118821,0.009691,-0.000758,0.000015,0.000009,romantic
0.015447,0.009413,1.12201,2.409938,-0.625701,2.929994,3.128213,-3.874331,3.542102,0.008987,0.001532,0.525069,6.288664,-0.13954,6.504955,0.000003,-0.136793,-0.086705,0.000646,-0.00001,0.000035,romantic
0.011539,0.008933,2.546686,-4.287832,-1.018,4.045211,3.348891,0.285507,4.456139,0.013095,0.001649,0.436397,4.175076,0.33763,5.000819,0.000005,0.129167,-0.17021,0.005503,-0.000007,0.000053,romantic
0.010308,0.009915,2.245033,-1.360643,-0.954529,4.671989,3.163776,-2.666475,4.482613,0.014459,0.001393,0.44445,5.456107,-0.111915,6.025454,0.000001,0.138945,-0.185085,0.00027,0.000026,-0.000069,romantic
0.016816,0.013242,1.413524,-9.075797,-0.068016,2.637112,3.749675,2.284997,0.821163,0.024716,0.002442,0.852557,5.067388,0.909932,5.630622,-0.000001,-0.176991,0.256411,-0.004434,-0.000013,-0.000009,romantic
0.017962,0.010085,0.667236,-7.294314,-0.780559,5.911646,3.447949,-4.168541,2.563989,0.006699,0.00111,0.49772,5.276731,-0.047904,4.189,-0.000001,0.065785,0.167737,0.001694,0.00006,-0.000119,romantic
0.029584,0.013934,0.895144,-7.112654,-0.091635,3.4732,2.967282,-0.636112,3.269626,0.015705,0.002495,0.481363,4.401071,0.029438,3.689557,-0.000001,-0.151099,-0.114917,0.001958,0.000066,0.000019,romantic
0.009779,0.008577,2.123266,-6.009667,-0.866719,4.219385,4.989606,-1.4835,3.920913,0.009818,0.001981,0.747903,5.161023,0.316807,3.711755,-0.000015,0.322639,0.216596,0.003715,-0.000381,0.000204,romantic
