@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute output {romantic,notromantic}

@data

1.135893,78.8806,0.071253,0.011292,romantic
1.494759,57.12648,0.011036,0.007885,romantic
1.178015,248.9277,0.030478,0.011066,romantic
1.271521,133.5562,0.035777,0.007697,romantic
1.182421,63.37554,0.261585,0.005696,romantic
1.38295,24.52263,0.070403,0.008454,romantic
1.466444,35.3736,0.020607,0.006979,romantic
1.350226,60.76431,0.04746,0.006659,romantic
1.329353,66.68266,0.08215,0.007439,romantic
1.23963,60.96968,0.247667,0.004916,romantic
1.240947,133.6108,0.065708,0.008308,romantic
1.210145,76.70727,0.046556,0.011503,romantic
1.399247,63.48364,0.057544,0.00998,romantic
1.370806,61.944,0.107635,0.008454,romantic
1.400256,94.98354,0.012848,0.012641,romantic
1.236954,147.3389,0.068711,0.010042,romantic
1.363741,121.1246,0.040889,0.006479,romantic
1.384453,66.51247,0.086715,0.010388,romantic
1.037438,58.51253,0.287001,0.002464,romantic
1.216978,163.3053,0.086368,0.009563,romantic
1.406358,41.1044,0.086641,0.007406,romantic
1.475545,62.01995,0.029774,0.006339,romantic
1.203771,166.3638,0.069138,0.006878,romantic
1.347301,93.82027,0.097809,0.006393,romantic
1.297576,33.43679,0.2855,0.007876,romantic
1.359669,104.8425,0.093664,0.006583,romantic
1.218314,99.35356,0.023427,0.006993,romantic
1.470929,57.10564,0.027561,0.016579,romantic
1.259995,117.2998,0.074194,0.007285,romantic
1.436267,49.5539,0.042781,0.007301,romantic
1.396513,123.8607,0.040257,0.00716,romantic
1.217435,84.28444,0.095202,0.00412,romantic
1.32968,145.2042,0.032353,0.013201,romantic
1.504573,97.29797,0.019802,0.018361,romantic
1.221728,63.91687,0.097396,0.003713,romantic
1.424437,32.87048,0.058251,0.012555,romantic
1.234925,90.03429,0.091859,0.007611,romantic
1.338633,109.7448,0.053326,0.006264,romantic
1.662661,88.27521,0.00297,0.014182,romantic
1.331247,73.08117,0.014403,0.004154,romantic
1.219987,104.5614,0.062137,0.007865,romantic
1.640031,78.20997,0.00829,0.017016,romantic
1.262879,119.8649,0.03454,0.011282,romantic
1.137002,192.0251,0.104617,0.005617,romantic
1.470731,48.53947,0.019578,0.005357,romantic
1.254745,42.12266,0.133001,0.004493,romantic
1.309802,58.60926,0.077914,0.003633,romantic
1.398017,43.96636,0.043082,0.006818,romantic
1.30383,141.5102,0.02256,0.011535,romantic
1.324396,39.04234,0.151282,0.008205,romantic
1.32322,32.00993,0.07962,0.007985,romantic
1.219869,73.03574,0.217667,0.004856,romantic
1.258167,69.87748,0.041549,0.009007,romantic
1.374076,65.37017,0.071995,0.006374,romantic
1.400553,80.02051,0.070815,0.004231,romantic
1.329875,114.4259,0.025875,0.008149,romantic
1.210506,98.0902,0.053374,0.009169,romantic
1.446314,40.58895,0.020419,0.002746,romantic
1.314218,81.16733,0.030622,0.006166,romantic
1.311406,83.46808,0.110623,0.006207,romantic
1.274118,98.03571,0.06446,0.009455,romantic
1.31287,42.35242,0.145169,0.00221,romantic
1.065897,42.32755,0.40397,0.004712,romantic
1.337502,136.8995,0.100773,0.00498,romantic
1.261491,31.2167,0.051989,0.006998,romantic
1.590405,21.23961,0.030822,0.007265,romantic
1.395792,89.0238,0.070898,0.009971,romantic
1.013773,63.3676,0.219306,0.002955,romantic
1.486667,37.20029,0.090499,0.005382,romantic
1.327304,54.6558,0.096726,0.003017,romantic
1.399315,141.2979,0.039714,0.007304,romantic
1.395664,43.65525,0.052969,0.006033,romantic
1.365756,29.51966,0.069601,0.009549,romantic
1.352049,83.69498,0.04802,0.003772,romantic
1.148567,101.0439,0.026463,0.002331,romantic
1.327559,57.62271,0.041585,0.006717,romantic
1.170552,127.9889,0.110709,0.00434,romantic
1.410796,125.3867,0.034074,0.012316,romantic
1.575457,52.76116,0.079397,0.009069,romantic
1.170016,79.17712,0.153618,0.002577,romantic
1.378963,49.23537,0.060556,0.006654,romantic
1.499299,45.997,0.038787,0.004569,romantic
1.112845,57.72443,0.158804,0.009442,romantic
1.502224,87.06844,0.019271,0.006142,romantic
1.232006,108.6698,0.035152,0.006737,romantic
1.429511,134.2517,0.037071,0.013778,romantic
1.214228,38.40102,0.158209,0.004038,romantic
1.251894,60.00738,0.040578,0.003398,romantic
1.353481,110.5758,0.036399,0.003893,romantic
1.557771,43.4197,0.02855,0.007155,romantic
1.388386,35.9064,0.065057,0.008571,romantic
1.394275,140.1274,0.187479,0.01404,romantic
1.259513,43.24458,0.048752,0.003839,romantic
1.131661,208.3121,0.031266,0.01692,romantic
1.36998,38.78767,0.067667,0.002597,romantic
1.301279,62.24895,0.050261,0.003767,romantic
1.477954,42.85577,0.083945,0.005553,romantic
1.41294,122.4381,0.011226,0.010422,romantic
1.254031,59.88974,0.121281,0.007085,romantic
1.458453,30.65532,0.057497,0.005391,romantic
1.416028,87.91311,0.03647,0.008506,romantic
1.592958,98.71905,0.005286,0.018116,romantic
1.221863,62.51124,0.222955,0.004772,romantic
1.500063,60.76677,0.01298,0.016917,romantic
1.412753,19.5705,0.061413,0.006734,romantic
1.467738,75.29558,0.020021,0.005674,romantic
1.48717,65.53266,0.015829,0.003312,romantic
1.37966,95.49109,0.047523,0.01154,romantic
1.117917,170.6964,0.132639,0.013489,romantic
1.203211,89.08819,0.107692,0.003099,romantic
1.19722,43.93799,0.167356,0.005943,romantic
1.443833,19.31623,0.105,0.004983,romantic
1.219618,47.64775,0.145405,0.017243,romantic
1.247352,67.82372,0.257877,0.005036,romantic
1.47029,70.37472,0.024569,0.012753,romantic
1.172517,33.39887,0.021824,0.006325,romantic
1.178645,77.44211,0.250834,0.008868,romantic
1.31588,29.55309,0.13128,0.006102,romantic
1.10323,59.35214,0.155729,0.003943,romantic
1.297478,53.96938,0.07096,0.003549,romantic
1.436208,29.05301,0.023401,0.004638,romantic
1.21717,75.52494,0.152336,0.005257,romantic
1.56648,50.40662,0.007429,0.00953,romantic
1.254922,100.4124,0.099277,0.00303,romantic
1.347703,35.07129,0.038181,0.01224,romantic
1.32274,82.3768,0.088457,0.005369,romantic
