@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_linregerrQ numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[5]_amean numeric
@attribute mfcc_sma[6]_amean numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[11]_linregc1 numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_amean numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_max numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_max numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_min numeric
@attribute mfcc_sma_de[7]_range numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_maxPos numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.009339,0.010245,0.000049,0.01555,-1.580272,-1.248569,-0.224708,-4.903703,-8.508703,-5.786126,0.000002,-4.366473,-4.181567,0.035379,0.037824,0.020866,48.3163,0.161775,-0.106572,0.000005,0.000936,1.248833,14.52817,5.740165,0.441566,5.666561,3.622113,0.660166,3.910857,2322,-0.214269,4.956913,0.936465,-4.56617,9.673083,1.102711,1.018703,0,1.140428,-0.001948,0.000016,-0.119469,0.000694,0.097497,616,6.164244,sad
0.027188,0.024296,0.000325,-5.984587,-6.852822,0.017079,0.480215,-9.209311,2.12449,-1.992737,-0.000135,-2.241856,-4.751052,0.06397,0.070642,0.048975,10.76505,0.154215,0.526944,-0.000001,0.003925,0.637288,8.958313,5.566835,0.893258,5.444026,3.837067,0.953683,3.447343,1573,-0.084324,3.713177,1.337959,-3.718645,8.678138,1.363698,1.177989,-0.00001,1.259559,0.002647,0.000128,-0.143141,0.001119,0.231521,600,7.894986,sad
0.022766,0.019114,0.000178,-4.233063,-3.6476,-0.248574,-0.085702,-5.513892,-2.381897,-13.44088,0.001706,-8.700942,-5.901454,0.065752,0.058496,0.03975,21.44619,0.150648,-0.493261,-0.000012,0.001719,0.218646,13.24079,9.067955,0.388587,8.233273,4.125507,0.421675,2.893107,2203,0.091579,4.04868,0.800243,-3.685468,7.324276,0.896412,0.847413,0.000003,0.849919,-0.004149,0.000046,-0.113959,0.00067,-0.082741,2042,8.120481,sad
0.00877,0.008641,0.000069,-3.463773,-3.033012,-0.989744,-0.490274,-3.201187,-2.263496,-0.065698,-0.000876,-4.202303,-7.427515,0.047276,0.039684,0.03696,12.04196,0.179853,0.512077,0,0.001442,0.456804,33.43301,8.992836,0.403712,8.364415,3.047074,0.478436,5.127972,1353,0.328058,4.654918,0.759109,-6.807452,10.8488,0.975949,0.915886,0.000003,0.85812,0.001372,0.000038,-0.143386,0.000696,-0.258604,2203,6.900111,sad
0.014731,0.010463,0.000207,-4.900765,-4.394814,-0.207499,-0.001652,-10.32404,-4.498062,-7.203754,-0.000676,-5.309041,-5.111084,0.05998,0.054682,0.053673,37.13085,0.162139,-0.175401,0.000012,0.001893,1.000374,31.54987,8.510232,0.523677,6.442436,3.930739,0.6623,4.324088,1278,-0.124214,5.504598,0.771275,-5.934066,11.07891,1.117992,0.882608,0,0.895553,0.002374,0.000094,-0.170789,0.001014,-0.416609,1696,6.351089,sad
0.002684,0.000883,0.000003,6.86176,6.838087,-0.051231,-0.115056,-4.999323,-9.123164,-13.61358,0.002505,-5.272917,-3.156268,0.027197,0.022795,0.006982,4.594674,0.23354,-0.075257,-0.000001,0.000282,2.546347,17.80243,5.829686,0.498161,4.618629,2.928998,0.462175,2.638578,2579,-0.087123,4.408751,0.716791,-6.171577,10.50092,0.779852,0.983098,0.000001,1.073737,0.002314,0.000002,-0.11219,0.000627,0.616351,1251,7.745383,sad
0.010249,0.006334,0.000033,-0.703532,-0.468298,-0.725404,0.16287,-4.730965,-5.986798,-4.804258,0.00127,-3.078544,-7.560249,0.047954,0.036235,0.032908,107.6221,0.1894,-0.182929,0.000003,0.001026,0.820298,25.47839,10.10109,0.338824,7.687175,2.831632,0.487357,2.965972,2148,-0.393605,5.542258,0.74201,-3.29299,7.534915,0.882964,0.978055,0.000004,0.734416,0.005676,0.000027,-0.137299,0.00078,0.310182,467,6.855805,sad
0.010091,0.012262,0.000033,5.81257,4.062107,-0.133267,-0.31628,-6.430412,-9.313536,-6.980263,0.002353,-12.75259,-2.121054,0.043735,0.046548,0.014729,7.548162,0.224541,0.725144,0,0.000698,0.162687,16.73251,12.97462,0.603554,6.34211,4.013139,0.708746,3.861073,462,0.051972,4.389824,1.288119,-5.164136,9.727325,1.715188,1.339365,-0.000002,1.513233,0.001208,0.000008,-0.102447,0.000574,-0.122924,2356,7.471384,sad
0.014651,0.012734,0.000094,-4.067922,-3.556501,0.06754,0.398923,-3.045833,0.936082,-8.30872,0.000401,-1.256611,-2.336617,0.054696,0.053599,0.035047,9.202234,0.15776,0.745176,0,0.002138,1.654497,10.43487,5.985283,0.692876,4.679293,3.217274,0.769935,3.124413,2369,0.156262,3.715095,0.822075,-4.166196,8.56015,1.229127,1.052771,-0.000002,1.001757,0.002038,0.000066,-0.111529,0.000669,-0.424855,464,18.02496,sad
