@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sad,notsad}

@data

51.80926,3.311112,1.146065,1.007969,0.5274,0.876026,0.052213,75.81034,6.151463,314.7426,0.597739,0.016261,0.127378,0.123339,0.000273,0.002925,4794.357,1.221237,0,0.932756,0.133877,0,0.062764,0.002495,326.3267,22438.6,sad
85.70442,5.32043,1.383063,0.708305,1.184142,0.896258,0.05577,52.0623,6.662409,314.9877,1.483905,0.043802,0.090785,0.267236,0.000228,0.003588,2049.409,1.37635,0,0.876831,0.064631,0,0.10807,0.001444,420.0102,100852,sad
77.14972,4.83655,1.353481,0.535596,0.583553,0.889605,0.080361,110.5758,5.862444,405.6582,1.310656,0.024801,0.036399,0.070313,0.000241,0.003893,9283.686,0.76884,0,0.952064,0.113133,0,0.045669,0.002218,547.6121,97516,sad
55.49446,3.52865,1.167388,0.864337,0.613635,0.865713,0.120195,127.9712,6.351703,362.2691,1.333085,0.028899,0.091281,0.250679,0.000689,0.012607,13496.54,0.987929,0,0.786285,0.100864,0,0.168153,0.003615,391.137,96344.3,sad
71.82804,4.57704,1.325353,0.729361,0.647629,0.884545,0.063008,83.69317,5.721067,626.8151,2.00331,0.036624,0.104797,0.155931,0.000218,0.003749,6015.114,1.122013,0,0.916112,0.130821,0,0.076902,0.002366,553.6899,319476.8,sad
44.63512,2.511394,0.978092,1.003257,0.509745,0.850223,0.092006,145.773,7.328512,424.9368,0.756055,0.021705,0.214258,0.239683,0.000852,0.008173,16467.86,4.220094,0,0.792277,0.109904,0,0.164684,0.004527,278.4424,3927.848,sad
59.78819,3.509987,1.168564,0.612096,0.440109,0.859195,0.089895,92.11612,6.592049,226.6486,0.476765,0.018642,0.081345,0.060465,0.000641,0.007278,3583.476,1.329246,0,0.887483,0.121459,0,0.099923,0.003041,440.9164,122202,sad
57.97261,3.185564,1.102469,0.610025,0.425021,0.870487,0.078518,86.15623,6.678225,195.6898,0.582637,0.018093,0.043366,0.052783,0.000389,0.004836,3879.19,0.997668,0,0.923435,0.11208,0,0.07075,0.002704,416.6789,17838.07,sad
75.21993,4.659546,1.312497,0.776454,1.095694,0.900061,0.10302,116.9336,6.304329,244.3274,1.029336,0.027854,0.06113,0.245293,0.000179,0.006222,8443.634,1.159797,0,0.904794,0.123601,0,0.0862,0.003941,371.3107,39903.07,sad
51.73104,3.151563,1.079172,0.928426,0.579442,0.87569,0.140277,155.2047,7.080297,566.0012,2.64357,0.071911,0.101048,0.24398,0.000415,0.012046,18107.48,2.504889,0,0.86285,0.103979,0,0.118419,0.003359,326.354,226228.4,sad
47.91346,2.793042,1.007947,1.08795,0.525997,0.859621,0.135607,204.0833,7.857524,491.2764,1.400765,0.049174,0.173797,0.1663,0.000801,0.006856,16880.68,3.101721,0,0.984021,0.140501,0,0.015734,0.002299,291.2874,78111.78,sad
80.29394,4.470264,1.232452,0.85527,1.129512,0.886174,0.087725,125.6861,7.177057,1283.541,2.939899,0.043567,0.052338,0.563808,0.000361,0.006159,13318.29,2.311722,0,0.943409,0.140677,0,0.053424,0.002248,380.2016,188484.6,sad
82.46617,4.911323,1.335947,0.576846,0.888143,0.89149,0.154022,168.8532,6.155882,302.4542,1.376834,0.029261,0.052334,0.144274,0.000269,0.011921,16787.09,0.475332,0,0.916778,0.109819,0,0.076347,0.002531,617.1582,217110.2,sad
73.07163,4.771192,1.346872,0.75514,0.860555,0.891907,0.068756,84.73969,6.132313,270.8476,0.983939,0.028248,0.129372,0.151816,0.000239,0.00407,5669.163,1.341388,0,0.975366,0.121827,0,0.024043,0.002771,359.0066,190167.3,sad
