@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_9 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_11 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_9 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute output {sad,notsad}

@data

0.050957,0.038833,0.068192,0.079716,6.228422,1.30219,0.370838,1.434756,4.612937,8.446332,0.484639,0.113008,0.245384,0.734278,1.379508,0.032218,0.000043,0.264604,0.421863,0.61976,0.225796,0.193666,0.194577,0.182174,0.173141,0.166448,0.170353,0.166719,0.037695,1.180791,0.475027,0.345195,0.24744,0.264707,0.356728,0.406789,0.111536,0.106511,0.035539,0.094033,0.140499,0.197325,0.259983,1243.759105,0.031124,0.02913,3.735289,0.69698,0.140178,0.188037,0.155813,0.028982,0.03355,0.031299,0.038088,0.054894,4397.156528,9.396578,1.002947,0.000876,sad
0.031721,0.021808,0.032471,0.079192,6.539954,1.257511,0.721857,1.512046,4.269742,7.796861,0.370724,0.099202,0.223235,0.720749,1.353228,0.008808,0.000183,0.27697,0.442209,0.530247,0.195637,0.225893,0.190748,0.199297,0.169553,0.170667,0.170058,0.164396,0.027831,1.222282,0.349094,0.243641,0.304866,0.254603,0.407628,0.332974,0.14126,0.092067,0.031418,0.089909,0.143699,0.185825,0.259864,1125.896698,0.007591,0.004493,4.213933,0.552442,0.11581,0.203835,0.148253,0.049633,0.037182,0.040138,0.031752,0.052996,8554.999763,14.870198,1.002817,0.000822,sad
0.049614,0.034933,0.05838,0.081083,6.018448,2.275072,0.196564,1.391372,3.812474,6.389321,0.397357,0.118028,0.205794,0.772474,1.386492,0.020805,0.000118,0.271551,0.412434,0.530152,0.214699,0.18352,0.186655,0.179386,0.177899,0.166539,0.160849,0.150892,0.029806,1.204723,0.449709,0.38901,0.303288,0.339184,0.267142,0.427071,0.151348,0.166815,0.042575,0.091314,0.142418,0.197182,0.265925,195.682888,0.028239,0.027187,4.018515,0.562117,0.118863,0.17146,0.16355,0.036407,0.043007,0.037379,0.026444,0.058618,7221.640081,15.758169,1.002897,0.000841,sad
0.075519,0.056497,0.107394,0.086454,4.992771,1.315524,0.592758,1.53484,3.809988,5.515756,0.420904,0.125561,0.25186,0.778236,1.406511,0.051552,0.000336,0.300121,0.467445,0.605013,0.224934,0.230942,0.207426,0.209087,0.193976,0.202246,0.173183,0.163257,0.032945,1.084049,0.290951,0.297719,0.201127,0.250051,0.31597,0.345044,0.112453,0.097488,0.039361,0.102187,0.143703,0.196915,0.257391,1523.318636,0.026102,0.02555,3.703886,0.454932,0.116453,0.154698,0.118853,0.036479,0.032153,0.030322,0.031534,0.050371,10614.829227,90.260708,1.008949,0.001301,sad
0.040485,0.039265,0.061585,0.084364,10.333412,1.229771,-0.300603,1.449744,5.169552,5.275334,0.230356,0.133098,0.187462,0.631533,1.227566,0.009501,0.000087,0.263091,0.397625,0.54142,0.220819,0.180092,0.135851,0.151676,0.143416,0.147168,0.145733,0.153291,0.023689,1.469486,0.427943,0.309111,0.322937,0.352829,0.343244,0.535684,0.13017,0.089302,0.044751,0.072956,0.133479,0.193978,0.258007,12490.810858,0.004714,0.005212,5.214388,0.624587,0.127552,0.173634,0.171047,0.046844,0.071195,0.060645,0.042213,0.054622,5993.483088,15.869933,1.002793,0.000878,sad
0.062887,0.0366,0.105188,0.078643,4.764235,0.788129,0.061872,1.505165,4.324552,7.258839,0.456564,0.152593,0.288147,0.756022,1.381017,0.016425,0.000049,0.29428,0.464485,0.499248,0.208991,0.199286,0.20017,0.196255,0.176129,0.173518,0.167419,0.16154,0.030986,0.901228,0.470153,0.371203,0.356965,0.268867,0.225929,0.290832,0.103078,0.134893,0.040792,0.090848,0.144696,0.204063,0.263748,525.929873,0.011306,0.008459,4.084044,0.370321,0.108547,0.140135,0.158113,0.031216,0.026864,0.032746,0.017238,0.056986,6499.865674,18.301363,1.002945,0.000837,sad
0.080806,0.054113,0.148809,0.088821,4.863762,1.120407,0.139632,1.488213,4.330262,6.97717,0.361499,0.14874,0.259443,0.782838,1.384078,0.047692,0.000224,0.292559,0.438852,0.594478,0.2232,0.207183,0.209786,0.209021,0.184591,0.183958,0.182028,0.178863,0.043443,0.957617,0.29205,0.276838,0.192131,0.227341,0.289775,0.420119,0.091689,0.083166,0.037269,0.09495,0.141822,0.192745,0.263828,414.323119,0.024434,0.023403,3.678517,0.327449,0.115116,0.143016,0.147563,0.034435,0.034344,0.020791,0.03051,0.054301,9102.305083,21.152227,1.005457,0.001005,sad
0.058578,0.04104,0.082206,0.077195,6.632119,2.472128,-0.773462,1.277671,3.841232,6.78409,0.507727,0.139224,0.259524,0.695208,1.224045,0.01331,0.000188,0.211469,0.387366,0.530628,0.193151,0.176016,0.188033,0.172056,0.152423,0.160267,0.154629,0.146762,0.023275,1.280345,0.387312,0.389288,0.362474,0.336356,0.363602,0.401169,0.10678,0.123317,0.047687,0.08408,0.130885,0.177936,0.274781,11898.969675,0.011079,0.010611,3.775522,0.534464,0.180427,0.184309,0.156342,0.035873,0.03877,0.042825,0.041174,0.050599,9999.493211,23.493133,1.002481,0.00082,sad
0.051103,0.035134,0.063674,0.081817,6.510292,1.496012,0.618279,1.528534,4.724543,7.131993,0.433504,0.136468,0.26649,0.702764,1.339098,0.013452,0.000406,0.294231,0.435534,0.549219,0.224435,0.216463,0.215137,0.202012,0.190203,0.17328,0.168764,0.164037,0.024388,1.015182,0.257076,0.366672,0.234822,0.248001,0.296006,0.332774,0.114279,0.111869,0.039204,0.087721,0.138466,0.193181,0.263862,7346.6066,0.009368,0.006394,3.733353,0.600693,0.106126,0.123018,0.148504,0.042267,0.030877,0.031164,0.040372,0.046165,11854.241287,57.452417,1.005057,0.001065,sad
