@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_9 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_6 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_11 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LPCC_9 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sad,notsad}

@data
0.050957,0.038833,0.068192,0.079716,6.228422,1.30219,0.370838,1.434756,4.612937,8.446332,0.484639,0.113008,0.245384,0.734278,1.379508,0.032218,0.000043,0.264604,0.421863,0.61976,0.225796,0.193666,0.194577,0.182174,0.173141,0.166448,0.170353,0.166719,0.037695,1.180791,0.475027,0.345195,0.24744,0.264707,0.356728,0.406789,0.111536,0.106511,0.035539,0.094033,0.140499,0.197325,0.259983,1243.759105,0.031124,0.02913,3.735289,0.69698,0.140178,0.188037,0.155813,0.028982,0.03355,0.031299,0.038088,0.054894,4397.156528,9.396578,1.002947,0.000876,60.57558,3.984983,1.252092,0.845142,0.632431,0.879925,0.041603,65.77167,6.161642,334.1771,1.548082,0.051898,0.173882,0.136879,0.000355,0.001682,3195.144,1.970208,0,0.892144,0.12513,0,0.096287,0.002987,425.5361,217981.3,sad
0.031721,0.021808,0.032471,0.079192,6.539954,1.257511,0.721857,1.512046,4.269742,7.796861,0.370724,0.099202,0.223235,0.720749,1.353228,0.008808,0.000183,0.27697,0.442209,0.530247,0.195637,0.225893,0.190748,0.199297,0.169553,0.170667,0.170058,0.164396,0.027831,1.222282,0.349094,0.243641,0.304866,0.254603,0.407628,0.332974,0.14126,0.092067,0.031418,0.089909,0.143699,0.185825,0.259864,1125.896698,0.007591,0.004493,4.213933,0.552442,0.11581,0.203835,0.148253,0.049633,0.037182,0.040138,0.031752,0.052996,8554.999763,14.870198,1.002817,0.000822,56.19776,3.469495,1.140379,1.125461,0.750886,0.879465,0.045603,63.49095,6.928069,93.0899,0.448922,0.019811,0.190324,0.057725,0.00019,0.001493,1959.708,1.391506,0,0.973369,0.13028,0,0.025939,0.001869,249.082,12759.49,sad
0.049614,0.034933,0.05838,0.081083,6.018448,2.275072,0.196564,1.391372,3.812474,6.389321,0.397357,0.118028,0.205794,0.772474,1.386492,0.020805,0.000118,0.271551,0.412434,0.530152,0.214699,0.18352,0.186655,0.179386,0.177899,0.166539,0.160849,0.150892,0.029806,1.204723,0.449709,0.38901,0.303288,0.339184,0.267142,0.427071,0.151348,0.166815,0.042575,0.091314,0.142418,0.197182,0.265925,195.682888,0.028239,0.027187,4.018515,0.562117,0.118863,0.17146,0.16355,0.036407,0.043007,0.037379,0.026444,0.058618,7221.640081,15.758169,1.002897,0.000841,68.58876,4.250746,1.257639,0.846899,0.851642,0.882004,0.096779,74.8112,6.508675,396.1291,0.980544,0.026781,0.122741,0.198613,0.000305,0.007826,5698.647,1.581624,0,0.912117,0.11137,0,0.080213,0.002661,389.0908,125165.9,sad
0.075519,0.056497,0.107394,0.086454,4.992771,1.315524,0.592758,1.53484,3.809988,5.515756,0.420904,0.125561,0.25186,0.778236,1.406511,0.051552,0.000336,0.300121,0.467445,0.605013,0.224934,0.230942,0.207426,0.209087,0.193976,0.202246,0.173183,0.163257,0.032945,1.084049,0.290951,0.297719,0.201127,0.250051,0.31597,0.345044,0.112453,0.097488,0.039361,0.102187,0.143703,0.196915,0.257391,1523.318636,0.026102,0.02555,3.703886,0.454932,0.116453,0.154698,0.118853,0.036479,0.032153,0.030322,0.031534,0.050371,10614.829227,90.260708,1.008949,0.001301,69.95655,5.222377,1.478536,0.74447,0.831857,0.888808,0.061826,37.99405,4.956841,444.3104,2.514541,0.056812,0.133905,0.453586,0.000361,0.007731,1560.036,1.401955,0,0.89747,0.130445,0,0.092079,0.004219,600.4154,356908.6,sad
0.040485,0.039265,0.061585,0.084364,10.333412,1.229771,-0.300603,1.449744,5.169552,5.275334,0.230356,0.133098,0.187462,0.631533,1.227566,0.009501,0.000087,0.263091,0.397625,0.54142,0.220819,0.180092,0.135851,0.151676,0.143416,0.147168,0.145733,0.153291,0.023689,1.469486,0.427943,0.309111,0.322937,0.352829,0.343244,0.535684,0.13017,0.089302,0.044751,0.072956,0.133479,0.193978,0.258007,12490.810858,0.004714,0.005212,5.214388,0.624587,0.127552,0.173634,0.171047,0.046844,0.071195,0.060645,0.042213,0.054622,5993.483088,15.869933,1.002793,0.000878,56.70247,2.724938,0.982214,0.728427,0.434024,0.851869,0.040456,59.24251,8.028365,693.5154,0.917911,0.022222,0.238653,0.076077,0.000449,0.001716,2385.576,1.042009,0,0.892144,0.108636,0,0.096287,0.002958,433.8612,48483.68,sad
0.062887,0.0366,0.105188,0.078643,4.764235,0.788129,0.061872,1.505165,4.324552,7.258839,0.456564,0.152593,0.288147,0.756022,1.381017,0.016425,0.000049,0.29428,0.464485,0.499248,0.208991,0.199286,0.20017,0.196255,0.176129,0.173518,0.167419,0.16154,0.030986,0.901228,0.470153,0.371203,0.356965,0.268867,0.225929,0.290832,0.103078,0.134893,0.040792,0.090848,0.144696,0.204063,0.263748,525.929873,0.011306,0.008459,4.084044,0.370321,0.108547,0.140135,0.158113,0.031216,0.026864,0.032746,0.017238,0.056986,6499.865674,18.301363,1.002945,0.000837,77.03246,4.87233,1.352539,0.789858,1.035793,0.897133,0.115064,77.36339,6.028241,109.1271,0.538852,0.017176,0.111448,0.167727,0.000172,0.008409,3660.704,0.952278,0,0.716378,0.069851,0,0.203316,0.004308,395.9019,48074.74,sad
0.080806,0.054113,0.148809,0.088821,4.863762,1.120407,0.139632,1.488213,4.330262,6.97717,0.361499,0.14874,0.259443,0.782838,1.384078,0.047692,0.000224,0.292559,0.438852,0.594478,0.2232,0.207183,0.209786,0.209021,0.184591,0.183958,0.182028,0.178863,0.043443,0.957617,0.29205,0.276838,0.192131,0.227341,0.289775,0.420119,0.091689,0.083166,0.037269,0.09495,0.141822,0.192745,0.263828,414.323119,0.024434,0.023403,3.678517,0.327449,0.115116,0.143016,0.147563,0.034435,0.034344,0.020791,0.03051,0.054301,9102.305083,21.152227,1.005457,0.001005,73.03155,5.104457,1.43174,0.583286,0.659669,0.889504,0.072277,40.44073,5.296201,339.4245,1.983152,0.044126,0.036165,0.118508,0.000232,0.006391,1202.637,0.797628,0,0.414115,0.063219,0,0.242785,0.006672,604.5674,336018.8,sad
0.058578,0.04104,0.082206,0.077195,6.632119,2.472128,-0.773462,1.277671,3.841232,6.78409,0.507727,0.139224,0.259524,0.695208,1.224045,0.01331,0.000188,0.211469,0.387366,0.530628,0.193151,0.176016,0.188033,0.172056,0.152423,0.160267,0.154629,0.146762,0.023275,1.280345,0.387312,0.389288,0.362474,0.336356,0.363602,0.401169,0.10678,0.123317,0.047687,0.08408,0.130885,0.177936,0.274781,11898.969675,0.011079,0.010611,3.775522,0.534464,0.180427,0.184309,0.156342,0.035873,0.03877,0.042825,0.041174,0.050599,9999.493211,23.493133,1.002481,0.00082,67.86614,4.234877,1.27639,0.596904,0.579631,0.892921,0.14996,201.2975,5.858495,135.524,0.853877,0.028166,0.029084,0.040662,0.000145,0.010313,15819.51,0.931428,0,0.882823,0.106401,0,0.103516,0.002787,457.8982,68060.3,sad
0.051103,0.035134,0.063674,0.081817,6.510292,1.496012,0.618279,1.528534,4.724543,7.131993,0.433504,0.136468,0.26649,0.702764,1.339098,0.013452,0.000406,0.294231,0.435534,0.549219,0.224435,0.216463,0.215137,0.202012,0.190203,0.17328,0.168764,0.164037,0.024388,1.015182,0.257076,0.366672,0.234822,0.248001,0.296006,0.332774,0.114279,0.111869,0.039204,0.087721,0.138466,0.193181,0.263862,7346.6066,0.009368,0.006394,3.733353,0.600693,0.106126,0.123018,0.148504,0.042267,0.030877,0.031164,0.040372,0.046165,11854.241287,57.452417,1.005057,0.001065,78.77666,4.423405,1.245802,0.742165,1.068521,0.895943,0.129676,124.507,6.771834,313.546,0.983022,0.019796,0.063824,0.319148,0.00016,0.011306,12397.24,0.73299,0,0.881491,0.1141,0,0.104534,0.003757,424.3789,36260.35,sad
0.067081,0.048011,0.094106,0.078488,6.129711,0.350572,0.409054,1.476516,4.677952,5.575091,0.441441,0.159382,0.274901,0.722415,1.396039,0.023211,0.00009,0.286614,0.413758,0.612325,0.201046,0.201987,0.203779,0.194399,0.17229,0.166995,0.16455,0.160559,0.030317,0.870195,0.309801,0.237586,0.261647,0.21394,0.241104,0.422013,0.116197,0.126415,0.035208,0.086096,0.141884,0.195614,0.257065,208.230051,0.018106,0.016167,3.656438,0.429218,0.126518,0.150918,0.177436,0.033316,0.037842,0.029591,0.026783,0.050151,8343.794681,15.062678,1.00373,0.000969,73.93706,4.464074,1.295255,0.692655,0.8396,0.894524,0.113906,106.1846,6.202352,247.576,0.783676,0.018462,0.047466,0.134292,0.000236,0.007787,8780.792,0.657735,0,0.913449,0.127037,0,0.079113,0.003084,525.8284,89159.7,sad
