@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregerrQ numeric
@attribute mfcc_sma[1]_max numeric
@attribute mfcc_sma[1]_min numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[5]_amean numeric
@attribute mfcc_sma[5]_skewness numeric
@attribute mfcc_sma[7]_amean numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_amean numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_minPos numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_range numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[9]_range numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.008219,0.00007,7.070364,-25.86033,-3.274284,-3.11422,-1.033795,-2.754281,-0.420345,-1.271135,0.050265,0.052513,0.053177,0.158552,0.431316,-0.089518,-0.000004,0.001433,0.722518,32.80436,1962,-0.589402,7.664609,5.982476,0.699371,0.935273,5.39672,1.210797,4.717788,11.31895,1.289181,9.606522,1.187587,0.00287,0.972997,-0.123822,0.000652,7.36476,sad
0.011376,0.000029,8.424563,-16.28477,-1.89536,-1.416961,-0.38259,2.070823,-0.011992,1.079377,0.031838,0.030138,0.018661,0.161941,0.462308,0.47557,0.000002,0.000723,1.202791,9.907071,2107,-0.734172,9.040596,4.354354,0.53819,0.586283,4.374645,0.757763,3.566134,7.787237,0.949527,7.628438,1.028869,0.004024,0.891766,-0.114973,0.000729,7.243977,sad
0.013567,0.000109,9.978482,-21.02977,-4.108553,-3.049122,0.205354,-5.909646,-0.800428,-2.208396,0.048977,0.05363,0.040836,0.150153,0.47719,0.513277,0.000003,0.00177,2.075865,43.0224,1073,-1.486586,9.468226,7.034531,0.579416,0.629667,4.458759,0.815935,3.946723,9.612897,1.044312,10.45005,1.021414,0.002623,0.774939,-0.130057,0.000615,10.28016,sad
0.02588,0.000625,4.656893,-26.21259,-8.565042,-7.128654,-0.336806,-7.207686,-0.096359,-6.872405,0.072377,0.065892,0.06755,0.138155,0.448076,0.580029,0.000011,0.006111,0.973897,8.125055,354,-0.695213,4.467347,4.401358,0.828336,1.37152,6.048848,1.169384,3.852404,9.360303,1.345189,11.14183,1.269296,0.00083,1.161002,-0.162028,0.001405,6.824046,sad
0.015046,0.000155,13.99169,-5.4104,7.360001,8.464542,-0.885763,-6.154737,-0.016963,-7.347338,0.039485,0.035847,0.018897,0.195456,0.631401,-0.259043,0.000003,0.000725,1.926998,22.32195,2561,0.096348,7.417881,16.11639,0.412944,0.479252,5.031493,0.68943,4.029398,7.592612,0.870718,9.142094,0.769864,-0.003932,0.758351,-0.086447,0.000402,13.08647,sad
0.010172,0.000016,3.381805,-15.94426,-6.714179,-8.214574,0.18604,-1.251421,0.136382,1.084841,0.059371,0.063947,0.034554,0.172146,0.391094,0.8198,0.000001,0.00071,1.143304,6.235943,15,-0.95317,5.954085,4.762799,0.439801,0.536683,3.581146,0.732019,3.159775,6.384851,0.917106,7.846763,0.92588,0.003714,0.907983,-0.156383,0.000709,9.638321,sad
0.022612,0.000383,3.457162,-22.45798,-7.274083,-8.281871,-0.444695,-1.37418,0.309189,-1.513341,0.079892,0.088103,0.065382,0.142997,0.405473,0.535395,-0.000001,0.004352,0.947914,7.225935,1291,-1.22884,5.69378,4.310926,0.849004,1.084025,3.874722,1.069119,3.59483,9.320425,1.322186,10.08093,1.509538,-0.001841,1.27953,-0.131177,0.001252,6.822897,sad
0.022156,0.000106,10.20167,-18.1182,-1.587236,-0.312644,-0.26027,-0.110829,0.078883,-0.379292,0.058633,0.056382,0.03429,0.163877,0.460915,0.509573,0.000003,0.001323,1.789686,35.26286,2198,-1.696981,16.45899,12.86784,0.345679,0.442444,6.190958,0.505608,5.438822,6.912127,0.64041,6.451857,0.645646,0.000398,0.543667,-0.08191,0.000382,10.70628,sad
0.02411,0.000143,15.37918,-16.51046,-2.814707,-0.901982,0.662977,-2.134345,-0.20338,-1.800464,0.055542,0.039974,0.025533,0.131503,0.450972,0.166248,0.000004,0.001594,1.098038,9.251594,2095,-1.856113,9.414956,6.324735,0.503151,0.578514,4.030587,0.753488,3.311861,7.283067,0.911778,7.328089,0.999262,-0.001125,0.912861,-0.138344,0.000877,8.765805,sad
0.015667,0.00009,5.097483,-17.79178,-5.247497,-4.713015,-0.302897,-2.517975,-0.174331,-1.397604,0.065723,0.063064,0.037371,0.144507,0.432296,0.574179,0.000003,0.001512,0.732162,8.206982,1594,-0.892999,5.124181,5.253335,0.420555,0.444754,3.54806,0.893187,4.403985,8.04574,0.920159,7.966486,0.971522,0.002333,0.84416,-0.128268,0.00087,9.180783,sad
0.033135,0.000339,4.559429,-19.78329,-5.83631,-5.204628,-0.517869,-3.527358,-0.28434,-4.463311,0.068207,0.066566,0.044756,0.12665,0.316466,1.199624,-0.000001,0.004206,0.665486,8.591859,277,-0.90983,4.622903,4.895617,0.80239,0.894674,4.871063,0.916848,3.919087,8.352779,1.056845,9.46465,0.968589,0.001455,0.870152,-0.129114,0.000757,19.2112,sad
0.021678,0.000522,10.8476,-22.09337,-2.499614,-0.443916,-0.513787,-3.822591,0.747943,-7.262881,0.064243,0.049343,0.069261,0.176995,0.48004,0.198996,0.000005,0.004096,-0.110244,25.93273,1599,-0.927862,9.171005,8.905015,0.827485,0.913044,5.520204,0.832898,4.922928,8.217281,0.903998,8.608556,0.976593,0.003034,0.701602,-0.159577,0.00101,6.626057,sad
0.018611,0.000396,6.511038,-22.27321,-4.954941,-5.093038,-0.372924,-1.185473,-0.732904,-2.080227,0.038052,0.035035,0.031114,0.134894,0.445589,0.311719,0.000002,0.002134,1.01236,12.99077,666,-1.403288,8.881054,7.538374,0.616162,0.542437,6.283413,1.084202,5.211075,9.379725,0.871937,9.103859,0.998811,0.000892,0.752496,-0.147736,0.000904,9.510612,sad
0.02214,0.00008,8.110332,-13.81829,-0.844931,-0.527669,-0.666646,-8.461125,-0.081242,-6.2448,0.057411,0.051273,0.021401,0.161069,0.452212,0.190736,0.000003,0.001338,0.860046,12.46591,552,-0.832436,12.0839,9.12592,0.430043,0.396996,3.458726,0.633695,3.349558,6.434467,0.835031,6.062766,0.788089,0.00051,0.758687,-0.086667,0.000684,8.192939,sad
0.031093,0.000116,3.617922,-10.48194,-2.738552,-1.610305,-0.39722,-5.941986,0.43597,-2.573178,0.072543,0.073822,0.018391,0.172463,0.581569,0.248185,-0.000005,0.00152,0.605016,4.219846,837,-0.917947,3.928007,3.423178,0.594863,1.091538,3.296636,1.057414,3.222065,6.858011,1.148848,7.166856,1.061069,-0.001049,0.783754,-0.141992,0.001123,5.394416,sad
