@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sad,notsad}

@data

3.984983,1.252092,0.632431,0.879925,65.77167,6.161642,0.001682,3195.144,0.002987,425.5361,217981.3,sad
3.469495,1.140379,0.750886,0.879465,63.49095,6.928069,0.001493,1959.708,0.001869,249.082,12759.49,sad
4.250746,1.257639,0.851642,0.882004,74.8112,6.508675,0.007826,5698.647,0.002661,389.0908,125165.9,sad
5.222377,1.478536,0.831857,0.888808,37.99405,4.956841,0.007731,1560.036,0.004219,600.4154,356908.6,sad
2.724938,0.982214,0.434024,0.851869,59.24251,8.028365,0.001716,2385.576,0.002958,433.8612,48483.68,sad
4.87233,1.352539,1.035793,0.897133,77.36339,6.028241,0.008409,3660.704,0.004308,395.9019,48074.74,sad
5.104457,1.43174,0.659669,0.889504,40.44073,5.296201,0.006391,1202.637,0.006672,604.5674,336018.8,sad
4.234877,1.27639,0.579631,0.892921,201.2975,5.858495,0.010313,15819.51,0.002787,457.8982,68060.3,sad
4.423405,1.245802,1.068521,0.895943,124.507,6.771834,0.011306,12397.24,0.003757,424.3789,36260.35,sad
4.464074,1.295255,0.8396,0.894524,106.1846,6.202352,0.007787,8780.792,0.003084,525.8284,89159.7,sad
4.817291,1.360777,1.042218,0.901674,106.9541,5.919968,0.009749,8771.987,0.005133,481.8562,111735.6,sad
4.535266,1.302354,0.701716,0.885009,148.2561,6.201025,0.007057,14558.64,0.00206,576.4744,414919.5,sad
3.632242,1.247352,0.353633,0.873672,67.82372,5.325188,0.005036,5346.422,0.001746,299.6803,61367.43,sad
4.393562,1.215364,1.137925,0.884575,134.8527,7.399958,0.007994,7801.843,0.002304,506.8586,24207.99,sad
4.468424,1.272313,1.166113,0.889042,127.7906,6.439064,0.008971,6664.889,0.005235,588.4475,35880.89,sad
4.625608,1.320645,1.068876,0.898568,82.69798,6.069397,0.012555,6655.13,0.004046,534.8967,271870.1,sad
5.687533,1.470731,0.875798,0.891488,48.53947,5.308292,0.005357,1666.779,0.003769,784.2737,253207.3,sad
3.201492,1.137929,0.441032,0.875446,139.1119,6.302743,0.010645,6933.167,0.003051,423.4803,50242.28,sad
4.545057,1.308047,0.958651,0.910517,92.92323,5.998062,0.010976,3641.237,0.003454,278.1684,7101.07,sad
4.217147,1.365261,0.548788,0.890249,49.23406,5.344937,0.006721,1374.13,0.002348,162.0736,6039.235,sad
4.871829,1.327632,0.987965,0.897432,105.9197,5.999283,0.011137,4556.826,0.003097,513.3583,54979.1,sad
4.337265,1.256977,0.66435,0.887835,86.04478,6.245695,0.006513,2997.702,0.002409,381.3835,15262.63,sad
4.409358,1.291977,0.910063,0.897101,152.6959,6.090663,0.009448,10707.27,0.002989,341.2848,25832.82,sad
4.243939,1.383114,0.340104,0.871794,52.55852,4.96588,0.004333,2040.4,0.002472,756.4047,1052831,sad
3.708865,1.22392,0.409766,0.883704,178.9636,5.682582,0.010776,19260.05,0.002327,428.0892,30828.83,sad
4.898056,1.34276,0.816878,0.89016,41.55774,5.971204,0.009693,1287.622,0.003366,661.3788,149692.3,sad
2.128183,0.869517,0.59975,0.867254,402.0101,9.402473,0.011681,21571.49,0.001975,258.8229,4742.664,sad
3.754473,1.166526,1.046618,0.88468,15.87767,6.907124,0.003219,522.28,0.00346,304.1052,188838.6,sad
5.004609,1.396947,0.844801,0.900345,164.1917,5.603972,0.008162,12362.68,0.001722,511.9566,86225.43,sad
2.634637,1.051033,0.168843,0.819325,49.54148,6.916341,0.000589,1201.733,0.002501,160.0114,1695.39,sad
5.244412,1.433432,1.012044,0.894927,51.01553,5.488026,0.01208,7851.133,0.002843,384.6033,184109.4,sad
4.452947,1.359669,0.622534,0.895271,104.8425,5.336399,0.006583,8022.2,0.00389,385.9735,177971.6,sad
3.938195,1.36998,0.251052,0.884072,38.78767,4.450454,0.002597,1569.98,0.006079,382.278,93319.65,sad
4.468514,1.288177,0.978859,0.899878,58.4349,6.103737,0.011182,3113.676,0.002077,350.5529,31859.08,sad
2.984852,1.011926,0.919502,0.8785,43.99398,8.243007,0.009194,897.292,0.001992,338.095,6082.805,sad
5.047443,1.412728,0.931174,0.906505,101.7446,5.544864,0.007897,6291.54,0.003237,430.4666,112104.2,sad
4.811941,1.350998,0.922092,0.892919,55.17731,6.103016,0.004311,1956.648,0.002954,378.1739,183075.6,sad
3.464862,1.199285,0.348708,0.863462,155.4891,5.653036,0.012038,16788.43,0.003593,551.6549,49811.61,sad
4.654403,1.325004,0.849486,0.901549,64.58993,6.053816,0.005899,3135.297,0.003057,465.5076,64408.16,sad
3.676231,1.191685,0.630766,0.879769,112.264,6.457677,0.008104,6265.623,0.005809,527.4302,71101.39,sad
3.988365,1.234877,0.629722,0.885736,119.2397,6.490606,0.007102,9504.811,0.001567,395.0667,86322.79,sad
3.261086,1.109579,0.665339,0.867491,83.58888,7.073717,0.003514,4230.204,0.001913,214.1276,15174.79,sad
3.476244,1.042794,0.902933,0.874206,127.4336,8.916043,0.007405,9396.051,0.000948,198.0882,26709.55,sad
3.947284,1.116138,0.920467,0.839763,68.4449,7.595104,0.010278,2981.626,0.004025,375.4302,69983.49,sad
4.967338,1.395457,0.922829,0.8998,37.11245,5.371402,0.004475,2033.818,0.00341,539.6394,121105.5,sad
5.085821,1.434358,0.808993,0.894397,84.61675,5.172617,0.014257,4269.09,0.004967,686.8024,186957.9,sad
4.249444,1.231497,1.264423,0.898848,38.84975,6.680009,0.007735,1928.183,0.005675,349.1433,28761.65,sad
3.732676,1.214228,0.612285,0.885152,38.40102,6.133019,0.004038,1076.129,0.002688,287.0964,48492.35,sad
3.823058,1.157069,0.871854,0.885775,108.471,7.043759,0.009991,6646.117,0.003334,274.23,22231.56,sad
2.368874,0.923202,0.452468,0.829084,59.75738,9.221183,0.004479,1064.083,0.001554,171.8573,2837.169,sad
6.605201,1.640716,0.815986,0.858301,58.09771,4.8229,0.003887,1921.084,0.005474,1272.514,858798.3,sad
5.54438,1.398452,0.991326,0.88984,106.0662,5.93235,0.011451,7243.745,0.001919,628.6741,470868.6,sad
3.852242,1.213817,0.61125,0.88878,115.5705,6.339677,0.004321,5389.716,0.003699,338.1276,6609.467,sad
4.505174,1.349551,0.775876,0.890541,81.70352,5.622205,0.005665,6194.889,0.005991,364.9806,162965.6,sad
3.292925,1.096223,0.646586,0.861598,102.9457,7.384708,0.004521,6772.996,0.00323,316.8213,51822.32,sad
4.438278,1.29176,0.877955,0.891624,115.3069,6.354704,0.007654,10142.37,0.003667,318.3152,128181.5,sad
3.0633,1.086142,0.458379,0.867438,222.9461,6.975616,0.008332,17856.22,0.004841,392.6566,32002.46,sad
3.759377,1.206695,0.524207,0.869605,79.75022,6.262537,0.003182,6387.762,0.006096,411.5353,17845.65,sad
3.915234,1.217538,0.699716,0.885568,123.8549,6.303259,0.008353,8627.943,0.005213,370.2638,94918.48,sad
3.849267,1.218526,0.666675,0.892368,105.2851,6.208247,0.006364,5564.909,0.003012,387.148,257640.5,sad
5.680699,1.357487,1.583236,0.894134,113.1211,6.663537,0.014472,7200.27,0.003543,684.3498,91509.44,sad
4.669872,1.417784,0.35957,0.86172,59.04394,4.766635,0.004779,2721.669,0.003189,886.6485,115277.3,sad
4.772296,1.463426,0.355257,0.86477,63.58064,4.440531,0.007565,5141.602,0.005176,704.4632,242676,sad
2.864393,1.058535,0.480504,0.853698,117.1213,7.095306,0.007731,8183.448,0.005346,342.0633,22591.43,sad
4.430229,1.301279,0.905247,0.890254,62.24895,6.119209,0.003767,3266.492,0.003672,453.5491,82179.54,sad
4.535868,1.48717,0.248377,0.8704,65.53266,3.839292,0.003312,2369.08,0.005744,853.1522,595165.1,sad
4.123166,1.251902,0.594599,0.87392,133.8619,6.013605,0.00579,9921.446,0.002578,595.3739,92562.35,sad
4.149692,1.324362,0.514167,0.893195,102.8876,5.557161,0.005078,4864.767,0.002575,286.565,67878.39,sad
3.739837,1.236954,0.356839,0.876172,147.3389,5.627464,0.010042,10095.49,0.002941,487.7793,64414.23,sad
3.46418,1.180466,0.402955,0.886615,175.8224,5.839859,0.012094,14264.85,0.003708,493.7405,82064.78,sad
4.22647,1.254922,0.801526,0.88908,100.4124,6.511076,0.00303,7975.815,0.001273,241.9865,17581.63,sad
4.168227,1.249279,0.607749,0.877878,137.0216,6.464884,0.012018,21796.55,0.004637,532.4301,155025.7,sad
4.537359,1.291746,0.832962,0.890291,54.76244,6.36055,0.002696,1711.447,0.002406,491.8027,171347.7,sad
4.967357,1.270327,1.375487,0.88727,76.67051,7.279932,0.006265,5594.835,0.00127,442.8685,203036.7,sad
4.391582,1.359846,0.740251,0.896792,68.43577,5.14719,0.007097,2334.241,0.005973,474.5242,95628.33,sad
4.546028,1.348898,0.714187,0.887846,129.7347,5.574574,0.01477,15332.5,0.002768,599.3216,190185.6,sad
4.978166,1.320599,0.971313,0.889078,118.2279,6.425215,0.006542,11438.61,0.001449,583.2039,130842.9,sad
5.085072,1.38295,1.064175,0.899348,24.52263,5.721194,0.008454,689.1227,0.002769,530.9785,141714.4,sad
2.811514,1.026385,0.575815,0.858603,219.709,7.665655,0.012064,14058.32,0.001395,411.1086,116545.6,sad
5.242656,1.399685,1.103025,0.901967,71.58337,5.640102,0.009704,3894.03,0.004001,645.4176,68398.98,sad
3.173446,1.04492,0.952904,0.866227,109.4342,8.29326,0.006134,16689.55,0.003558,219.5102,30436.17,sad
3.670616,1.185904,0.663165,0.869454,39.03445,6.609619,0.003617,1236.441,0.004935,465.0232,88737.63,sad
4.986771,1.419272,0.78002,0.881235,15.12826,5.107225,0.004839,350.1369,0.004125,601.4663,180520.1,sad
3.812855,1.267859,0.3148,0.863083,52.37533,5.555024,0.002921,1822.149,0.00189,519.0216,183029.5,sad
6.228139,1.524392,1.299351,0.899846,55.26812,5.294494,0.015687,2524.236,0.003275,922.7867,111607.3,sad
4.962348,1.372217,0.72818,0.894097,34.17953,5.823538,0.004623,1084.634,0.002445,651.1419,121730.7,sad
4.443405,1.314588,0.636456,0.903026,208.1821,5.870163,0.008417,16329.39,0.003084,321.4409,32123.92,sad
2.793042,1.007947,0.525997,0.859621,204.0833,7.857524,0.006856,16880.68,0.002299,291.2874,78111.78,sad
3.901751,1.25727,0.757169,0.882133,105.3069,5.851418,0.009186,4917.124,0.004471,425.8834,72290.83,sad
3.088839,1.125602,0.264697,0.860705,104.5067,5.852855,0.003053,5920.864,0.005286,512.4772,87162.05,sad
4.097144,1.284184,0.687168,0.896251,88.09513,5.810778,0.011299,7286.231,0.002256,271.8633,55840.23,sad
6.468941,1.523781,1.228699,0.901877,79.89612,5.651344,0.009576,3435.004,0.00253,836.5396,103277,sad
5.096738,1.398313,1.016187,0.904636,99.38645,5.569764,0.007668,4804.463,0.00398,518.2098,57158.54,sad
3.873003,1.247035,0.46091,0.884275,179.8106,5.65673,0.010866,15257.25,0.005761,432.7793,89573.85,sad
3.236305,1.057793,0.99416,0.879797,187.2993,7.974176,0.008062,16546.47,0.002537,273.1789,7210.186,sad
4.582468,1.433125,0.406967,0.870227,29.69462,4.599552,0.005069,620.2783,0.00723,716.7937,546491.2,sad
3.349912,1.111825,0.695533,0.885843,98.24827,6.935206,0.005506,2460.107,0.002899,223.1218,10706.03,sad
3.410799,1.160717,0.456276,0.876222,111.1545,6.112182,0.005291,3030.959,0.002643,435.9925,266389.5,sad
3.341186,1.125835,0.625015,0.876726,115.8003,6.83486,0.007131,9085.544,0.006132,270.4752,46283.54,sad
5.397415,1.362613,1.154518,0.887998,158.9579,6.658392,0.007606,8174.057,0.003063,593.6802,36942.72,sad
4.584971,1.318291,1.079385,0.890831,38.126,6.197438,0.005821,1310.562,0.002636,514.044,417321.4,sad
4.880401,1.374076,1.029236,0.902716,65.37017,5.808719,0.006374,2405.98,0.003058,366.7553,51717.62,sad
5.449645,1.410963,1.427881,0.901888,48.26757,5.89474,0.012496,1492.503,0.002503,630.5596,56804.82,sad
3.926304,1.278628,0.522357,0.882455,104.0603,5.413398,0.014056,7509.956,0.002908,495.0388,69335.16,sad
5.252561,1.399311,0.986265,0.897557,204.0549,5.755716,0.012785,23138.58,0.004214,560.2271,120553.6,sad
4.273861,1.262879,1.066842,0.898347,119.8649,6.492361,0.011282,9353.986,0.004058,410.1105,22074.78,sad
6.073966,1.435054,1.421381,0.898893,72.37328,6.178459,0.009365,4255.586,0.004841,873.637,57680.22,sad
5.735426,1.455542,1.238569,0.908762,65.82016,5.763129,0.00974,3242.572,0.003194,620.0043,151819,sad
5.78451,1.501275,0.879343,0.89622,87.55855,5.124471,0.00861,5272.99,0.003158,900.7963,718972.6,sad
5.915581,1.510514,1.051714,0.899165,58.89357,5.449308,0.00651,1888.646,0.002296,1040.794,541593.4,sad
2.920462,1.091269,0.453843,0.855138,106.4732,6.697657,0.005224,11185.35,0.00423,382.4966,26782.4,sad
4.338181,1.264693,0.944046,0.894569,102.0024,6.294202,0.007949,6325.255,0.003927,408.6252,67916.44,sad
3.734238,1.17931,0.505125,0.880721,124.1063,6.723058,0.003026,3682.796,0.004393,439.3078,77836.27,sad
3.599152,1.252714,0.311713,0.855901,93.78432,5.317229,0.003974,4485.514,0.005106,543.935,191515.4,sad
5.627474,1.481219,1.104668,0.896475,39.50292,5.281649,0.019383,2204.152,0.00387,761.4804,162517.8,sad
4.809858,1.33921,1.040953,0.897629,94.53046,6.107773,0.006558,5797.591,0.001509,483.3574,114931.8,sad
3.803,1.227163,0.762851,0.891362,77.6349,6.29124,0.014679,7680.9,0.001678,255.0802,34497.77,sad
3.732678,1.289969,0.20155,0.86254,73.61492,4.484893,0.006659,4479.319,0.003274,731.3445,259682,sad
3.740333,1.272432,0.372601,0.868153,25.43293,5.306367,0.006302,811.8359,0.003697,163.707,30381.6,sad
4.305074,1.287742,0.567318,0.887481,126.1811,5.822543,0.008997,8732.594,0.002954,605.8563,250017,sad
4.339674,1.252582,0.745821,0.889253,80.32098,6.419342,0.014388,6759.594,0.005334,478.3732,151764.1,sad
2.749841,0.960879,0.819874,0.863239,45.76253,9.502726,0.002988,1410.513,0.004559,295.3088,8331.127,sad
3.516683,1.189278,0.480069,0.876677,103.0054,6.218816,0.006621,4843.028,0.002485,388.3999,240270.3,sad
3.448691,1.160088,0.694428,0.884466,166.1819,6.63795,0.007136,7646.28,0.004066,255.8751,4833.377,sad
4.56163,1.23964,0.705776,0.882365,121.0405,7.20248,0.005905,7217.679,0.000128,548.3677,61140.56,sad
2.97992,1.040575,0.730301,0.879042,130.3817,7.320188,0.004924,7597.048,0.003198,197.586,8389.917,sad
5.168523,1.368755,0.99981,0.901569,79.70494,5.8541,0.013934,4272.771,0.003409,685.1524,62149.4,sad
4.916553,1.358712,1.165894,0.896538,44.92,6.010823,0.009509,3935.791,0.004766,338.741,63246.26,sad
3.782746,1.23963,0.569553,0.874803,60.96968,6.108701,0.004916,2691.964,0.002978,553.3089,484121.3,sad
4.083944,1.249448,0.898682,0.897013,91.16395,6.156857,0.007252,6751.677,0.002316,262.6872,24281.8,sad
5.478957,1.447184,0.87366,0.889435,117.2151,5.453921,0.007136,9655.352,0.003411,864.8926,328044.4,sad
4.249051,1.275059,0.649262,0.884293,160.5431,6.055914,0.008474,11543.71,0.003147,587.7484,76481.7,sad
4.300582,1.236469,0.751653,0.877376,194.3668,6.838033,0.021373,24381.75,0.004425,555.1334,65692.3,sad
4.614956,1.312358,1.130669,0.905698,99.33734,6.191357,0.01239,5188.051,0.002407,364.6798,31165.29,sad
3.587026,1.173391,0.723938,0.874104,58.88771,6.600222,0.003627,2653.325,0.001243,286.8578,53153.14,sad
4.820955,1.361374,0.901761,0.890249,96.83379,5.499496,0.017888,5692.216,0.00273,651.0555,111469.1,sad
3.818139,1.20055,0.70369,0.86985,83.80338,6.675805,0.003549,4103.055,0.002012,375.0366,45230.62,sad
2.921466,1.017903,0.571086,0.855234,190.6958,8.17858,0.012626,16459.69,0.002967,374.7656,18488.19,sad
4.460188,1.357732,0.586157,0.885763,62.36436,5.408779,0.0069,3284.328,0.004653,630.7932,331120.6,sad
4.509779,1.28149,0.862255,0.884067,87.56451,6.473534,0.01536,9913.45,0.003188,672.643,81339.36,sad
4.642903,1.327559,0.925552,0.900155,57.62271,5.889014,0.006717,2982.61,0.006496,373.3269,45311.8,sad
3.966386,1.202309,0.746029,0.889801,140.4171,6.638214,0.00802,11819.83,0.001338,419.4605,47648.47,sad
4.629351,1.347301,0.951337,0.89722,93.82027,5.904164,0.006393,5311.126,0.00507,326.6114,41291.87,sad
4.57704,1.325353,0.647629,0.884545,83.69317,5.721067,0.003749,6015.114,0.002366,553.6899,319476.8,sad
