% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {sad,notsad}


@data
6.057558e+01,3.984983e+00,1.252092e+00,8.451418e-01,6.324306e-01,8.799252e-01,4.160321e-02,6.577167e+01,6.161642e+00,3.341771e+02,1.548082e+00,5.189761e-02,1.738819e-01,1.368793e-01,3.554409e-04,1.682252e-03,3.195144e+03,1.970208e+00,0.000000e+00,8.921438e-01,1.251296e-01,0.000000e+00,9.628734e-02,2.987443e-03,4.255361e+02,2.179813e+05,sad
5.619776e+01,3.469495e+00,1.140379e+00,1.125461e+00,7.508857e-01,8.794646e-01,4.560256e-02,6.349095e+01,6.928069e+00,9.308990e+01,4.489218e-01,1.981122e-02,1.903236e-01,5.772481e-02,1.903705e-04,1.492940e-03,1.959708e+03,1.391506e+00,0.000000e+00,9.733688e-01,1.302798e-01,0.000000e+00,2.593921e-02,1.869403e-03,2.490820e+02,1.275949e+04,sad
6.858876e+01,4.250746e+00,1.257639e+00,8.468991e-01,8.516420e-01,8.820038e-01,9.677863e-02,7.481120e+01,6.508675e+00,3.961291e+02,9.805439e-01,2.678114e-02,1.227405e-01,1.986128e-01,3.050758e-04,7.826196e-03,5.698647e+03,1.581624e+00,0.000000e+00,9.121172e-01,1.113703e-01,0.000000e+00,8.021284e-02,2.660743e-03,3.890908e+02,1.251659e+05,sad
6.995655e+01,5.222377e+00,1.478536e+00,7.444700e-01,8.318573e-01,8.888084e-01,6.182555e-02,3.799405e+01,4.956841e+00,4.443104e+02,2.514541e+00,5.681211e-02,1.339053e-01,4.535856e-01,3.610212e-04,7.731402e-03,1.560036e+03,1.401955e+00,0.000000e+00,8.974700e-01,1.304454e-01,0.000000e+00,9.207887e-02,4.218829e-03,6.004154e+02,3.569086e+05,sad
5.670247e+01,2.724938e+00,9.822136e-01,7.284268e-01,4.340242e-01,8.518689e-01,4.045578e-02,5.924251e+01,8.028365e+00,6.935154e+02,9.179113e-01,2.222154e-02,2.386526e-01,7.607720e-02,4.492257e-04,1.715542e-03,2.385576e+03,1.042009e+00,0.000000e+00,8.921438e-01,1.086355e-01,0.000000e+00,9.628734e-02,2.958013e-03,4.338612e+02,4.848368e+04,sad
7.703246e+01,4.872330e+00,1.352539e+00,7.898578e-01,1.035793e+00,8.971329e-01,1.150638e-01,7.736339e+01,6.028241e+00,1.091271e+02,5.388517e-01,1.717611e-02,1.114475e-01,1.677266e-01,1.715544e-04,8.408933e-03,3.660704e+03,9.522776e-01,0.000000e+00,7.163782e-01,6.985078e-02,0.000000e+00,2.033159e-01,4.307604e-03,3.959019e+02,4.807474e+04,sad
7.303155e+01,5.104457e+00,1.431740e+00,5.832857e-01,6.596689e-01,8.895038e-01,7.227653e-02,4.044073e+01,5.296201e+00,3.394245e+02,1.983152e+00,4.412611e-02,3.616484e-02,1.185084e-01,2.322149e-04,6.391342e-03,1.202637e+03,7.976275e-01,0.000000e+00,4.141145e-01,6.321867e-02,0.000000e+00,2.427853e-01,6.672041e-03,6.045674e+02,3.360188e+05,sad
6.786614e+01,4.234877e+00,1.276390e+00,5.969044e-01,5.796310e-01,8.929211e-01,1.499603e-01,2.012975e+02,5.858495e+00,1.355240e+02,8.538771e-01,2.816578e-02,2.908432e-02,4.066189e-02,1.447118e-04,1.031327e-02,1.581951e+04,9.314278e-01,0.000000e+00,8.828229e-01,1.064005e-01,0.000000e+00,1.035155e-01,2.786554e-03,4.578982e+02,6.806030e+04,sad
7.877666e+01,4.423405e+00,1.245802e+00,7.421652e-01,1.068521e+00,8.959431e-01,1.296757e-01,1.245070e+02,6.771834e+00,3.135460e+02,9.830218e-01,1.979622e-02,6.382383e-02,3.191484e-01,1.600317e-04,1.130566e-02,1.239724e+04,7.329900e-01,0.000000e+00,8.814913e-01,1.141001e-01,0.000000e+00,1.045340e-01,3.756806e-03,4.243789e+02,3.626035e+04,sad
7.393706e+01,4.464074e+00,1.295255e+00,6.926554e-01,8.396000e-01,8.945241e-01,1.139057e-01,1.061846e+02,6.202352e+00,2.475760e+02,7.836760e-01,1.846200e-02,4.746604e-02,1.342924e-01,2.362353e-04,7.787346e-03,8.780792e+03,6.577345e-01,0.000000e+00,9.134487e-01,1.270368e-01,0.000000e+00,7.911282e-02,3.084118e-03,5.258284e+02,8.915970e+04,sad
