@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_4 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicSpread2 numeric
@attribute BeatHisto_NumMax numeric

@data

-0.109346,-0.027576,0.000178,0.000275,4.429987,0.425501,0.458146,0.530614,0.618739,2.061073,36.768778,0.000172,0.956546,0.747912,2.820567,0.173853,0.15332,0.053528,0.067484,0.030568,0.08751,0.11765,0.048208,0.008747,0.21863,1.004643,0.001033,0.278643,0.006241
-0.190961,-0.094695,0.000325,0.000427,6.868282,0.443734,0.373527,0.378631,0.237701,2.078331,8.133544,0.000576,0.836421,0.791691,4.359614,0.178657,0.140854,0.046198,0.047691,0.10122,0.135741,0.092161,0.088872,0.005305,0.213783,1.007162,0.001303,0.24923,0.011149
0.259972,0.29028,0.000111,0.00015,5.097284,0.470844,0.459292,0.415937,0.431919,2.133284,5.630104,0.000088,0.653105,0.835794,2.959761,0.170454,0.148101,0.032137,0.050899,0.036614,0.082631,0.072818,0.063349,0.00436,0.212393,1.00396,0.000942,0.277196,0.001722
0.209774,-0.10286,0.000317,0.000391,7.626162,0.43613,0.37681,0.383946,0.465442,2.135667,18.160501,0.000417,0.707237,0.743416,3.441888,0.199538,0.159157,0.063682,0.058387,0.053731,0.087369,0.093091,0.066017,0.008917,0.216567,1.007082,0.001296,0.305201,0.017395
0.047825,0.096586,0.000378,0.000484,5.187522,0.505395,0.473193,0.430366,0.203747,1.985226,52.158583,0.0004,0.845932,0.865777,9.304721,0.217972,0.170242,0.053091,0.06851,0.060514,0.108938,0.063173,0.079356,0.008444,0.179058,1.007274,0.001408,0.267126,0.012462
-0.056742,-0.150289,0.000945,0.001392,6.372858,0.310588,0.371083,0.365457,0.390899,2.139107,3.277874,0.001175,0.786471,0.760751,3.508064,0.192569,0.159255,0.047834,0.0688,0.091656,0.146113,0.059169,0.07164,0.004694,0.216458,1.005905,0.001174,0.281994,0.010855
0.043856,0.036875,0.000076,0.000103,7.520664,0.322397,0.28457,0.36214,0.394416,2.094063,18.94386,0.000109,0.670158,0.71001,5.334433,0.179283,0.156527,0.037195,0.040601,0.096812,0.139008,0.086691,0.101384,0.006854,0.212049,1.014699,0.001819,0.266519,0.026264
0.560358,0.56861,0.000577,0.000679,6.736665,0.307764,0.328488,0.352552,0.301465,2.093363,14.467684,0.000553,0.855587,0.781356,4.278183,0.178492,0.163039,0.04657,0.05315,0.047778,0.114585,0.099742,0.097444,0.004389,0.210265,1.005366,0.000927,0.293514,0.010766
0.252061,-0.260449,0.000347,0.000468,4.997659,0.321245,0.455529,0.488805,0.484287,2.109851,14.646037,0.000245,0.766797,0.818921,2.987713,0.176368,0.148033,0.049248,0.053528,0.157566,0.124915,0.091119,0.172345,0.009163,0.217598,1.006791,0.001249,0.304124,0.005837
