@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_4 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_7 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicSpread2 numeric
@attribute BeatHisto_NumMax numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

-0.109346,-0.027576,0.000178,0.000275,4.429987,0.425501,0.458146,0.530614,0.618739,2.061073,36.768778,0.000172,0.956546,0.747912,2.820567,0.173853,0.15332,0.053528,0.067484,0.030568,0.08751,0.11765,0.048208,0.008747,0.21863,1.004643,0.001033,0.278643,0.006241,51.13893,3.156323,1.085551,0.909073,0.516046,0.861541,0.027772,30.22013,6.892251,402.8114,2.450957,0.073157,0.118565,0.155109,0.000607,0.002937,1496.588,2.946905,0,0.919441,0.114526,0,0.074119,0.00244,394.9388,124636.9
-0.190961,-0.094695,0.000325,0.000427,6.868282,0.443734,0.373527,0.378631,0.237701,2.078331,8.133544,0.000576,0.836421,0.791691,4.359614,0.178657,0.140854,0.046198,0.047691,0.10122,0.135741,0.092161,0.088872,0.005305,0.213783,1.007162,0.001303,0.24923,0.011149,80.1544,5.756409,1.547735,0.642674,0.89737,0.895486,0.094455,28.48885,4.710793,421.602,0.925546,0.017186,0.040368,0.365832,0.000184,0.020097,2174.379,0.863684,0,0.455393,0.056171,0,0.248175,0.005266,858.6912,523135.6
0.259972,0.29028,0.000111,0.00015,5.097284,0.470844,0.459292,0.415937,0.431919,2.133284,5.630104,0.000088,0.653105,0.835794,2.959761,0.170454,0.148101,0.032137,0.050899,0.036614,0.082631,0.072818,0.063349,0.00436,0.212393,1.00396,0.000942,0.277196,0.001722,74.09533,4.781268,1.346699,0.956226,1.155763,0.900375,0.148874,91.101,6.027197,285.0711,1.052877,0.022879,0.115449,0.194014,0.000136,0.015531,9433.221,0.556123,0,0.973369,0.11957,0,0.025939,0.002906,452.3448,119107.9
0.209774,-0.10286,0.000317,0.000391,7.626162,0.43613,0.37681,0.383946,0.465442,2.135667,18.160501,0.000417,0.707237,0.743416,3.441888,0.199538,0.159157,0.063682,0.058387,0.053731,0.087369,0.093091,0.066017,0.008917,0.216567,1.007082,0.001296,0.305201,0.017395,67.01638,4.431634,1.306466,0.863435,1.011653,0.889564,0.087725,79.19437,5.800821,466.5761,1.90747,0.049301,0.159283,0.46553,0.000469,0.008813,11821.26,1.297575,0,0.902796,0.119022,0,0.087814,0.003305,539.6957,485278.6
0.047825,0.096586,0.000378,0.000484,5.187522,0.505395,0.473193,0.430366,0.203747,1.985226,52.158583,0.0004,0.845932,0.865777,9.304721,0.217972,0.170242,0.053091,0.06851,0.060514,0.108938,0.063173,0.079356,0.008444,0.179058,1.007274,0.001408,0.267126,0.012462,79.11515,5.655114,1.509349,0.595867,0.959604,0.893311,0.117331,51.1195,4.926614,326.7604,1.295938,0.023621,0.022769,0.309305,0.000245,0.025009,9120.524,0.551945,0,0.836218,0.092818,0,0.137048,0.003939,732.9669,321893.5
-0.056742,-0.150289,0.000945,0.001392,6.372858,0.310588,0.371083,0.365457,0.390899,2.139107,3.277874,0.001175,0.786471,0.760751,3.508064,0.192569,0.159255,0.047834,0.0688,0.091656,0.146113,0.059169,0.07164,0.004694,0.216458,1.005905,0.001174,0.281994,0.010855,70.4265,5.639668,1.603133,0.640088,0.692214,0.895951,0.053515,9.098803,4.431195,138.5061,0.910418,0.037692,0.080255,0.280643,0.000128,0.009815,206.8381,0.944004,0,0.23968,0.028416,0,0.182355,0.003391,923.7693,887553.3
0.043856,0.036875,0.000076,0.000103,7.520664,0.322397,0.28457,0.36214,0.394416,2.094063,18.94386,0.000109,0.670158,0.71001,5.334433,0.179283,0.156527,0.037195,0.040601,0.096812,0.139008,0.086691,0.101384,0.006854,0.212049,1.014699,0.001819,0.266519,0.026264,63.5801,4.268913,1.313858,0.654615,0.669686,0.892746,0.116039,98.63588,5.500593,255.3821,0.641416,0.011998,0.060797,0.244593,0.000315,0.012408,9322.252,0.645809,0,0.961385,0.109136,0,0.037149,0.002845,434.2232,104816.5
0.560358,0.56861,0.000577,0.000679,6.736665,0.307764,0.328488,0.352552,0.301465,2.093363,14.467684,0.000553,0.855587,0.781356,4.278183,0.178492,0.163039,0.04657,0.05315,0.047778,0.114585,0.099742,0.097444,0.004389,0.210265,1.005366,0.000927,0.293514,0.010766,75.0358,4.748577,1.345923,0.594917,0.759566,0.89248,0.058757,57.10997,5.822604,250.8142,0.897416,0.023191,0.056448,0.15321,0.000139,0.003877,4136.339,0.92186,0,0.687084,0.074609,0,0.215143,0.003808,484.5067,96472.38
0.252061,-0.260449,0.000347,0.000468,4.997659,0.321245,0.455529,0.488805,0.484287,2.109851,14.646037,0.000245,0.766797,0.818921,2.987713,0.176368,0.148033,0.049248,0.053528,0.157566,0.124915,0.091119,0.172345,0.009163,0.217598,1.006791,0.001249,0.304124,0.005837,58.27608,3.544749,1.149181,0.884762,0.658484,0.875249,0.048975,41.36333,6.792003,466.0667,1.511386,0.036352,0.0959,0.283946,0.00093,0.005095,2274.029,1.537404,0,0.844874,0.077385,0,0.13115,0.002345,280.6258,45356.52
