@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[12]_min numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_min numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_skewness numeric
@attribute F0_sma_amean numeric
@attribute mfcc_sma_de[3]_min numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[4]_max numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_min numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {sexy,notsexy}

@data

-0.88655,-1.561464,0.75764,25.85206,7.001352,-10.80285,-8.102765,2.969488,-26.74312,-3.841017,-3.174018,0.009679,0.174581,0.302217,148.561,-4.450249,9.643779,3.512328,-0.289806,-3.835897,0.000074,0.073803,sexy
-0.433011,-5.464583,-2.491874,8.381162,20.35564,0.208658,4.406433,2.998681,-16.32362,-1.702059,-4.331357,0.012099,0.15216,1.100443,33.48902,-3.127693,8.707818,5.626466,0.429342,-6.742464,0.00015,0.030393,sexy
-0.083705,1.392081,1.907526,9.231278,22.27789,4.029215,-5.327088,3.341599,-17.13946,-1.772863,-1.818862,0.012099,0.145301,0.647095,21.87497,-2.870866,6.790641,4.342952,-0.513796,-6.001541,0.00011,-0.325528,sexy
-0.606653,-2.516394,-3.912263,27.50551,14.78393,2.284637,-3.567499,2.791117,-20.0981,-4.990828,-3.033731,0.00726,0.141056,0.679836,73.7502,-5.079929,10.13435,5.214272,0.091851,-5.176981,0.000162,-0.448019,sexy
0.396895,-3.282072,-0.796983,20.37147,19.48939,2.317094,6.063888,3.687116,-14.80955,0.041463,0.87741,0.00484,0.141074,1.460396,41.44157,-4.603811,9.025346,6.221848,-0.244048,-6.786948,0.000279,-0.513649,sexy
-1.043352,-0.296009,-1.3902,9.833553,30.0593,5.994423,-0.202226,3.11416,-24.19321,-3.517885,-7.11665,0.004235,0.113635,1.138618,18.48604,-4.748301,8.915418,5.714177,-0.212218,-6.279531,0.000359,-0.41227,sexy
0.139436,-4.932471,-5.185941,20.05395,25.30675,-4.019636,4.104397,2.995091,-12.20786,2.870131,2.970909,0.00605,0.140451,0.268247,123.1396,-6.313309,9.243376,4.529277,-1.010902,-5.340488,0.000053,-0.794962,sexy
-0.222495,-3.280732,-1.659427,15.67831,17.41663,2.517737,0.784935,3.175517,-17.32257,-1.56732,0.261182,0.00484,0.145283,0.072627,145.4476,-3.150964,6.996488,3.163658,0.233883,-4.50212,0.000068,-0.303539,sexy
-0.516776,0.424658,-5.088239,20.1054,23.93077,-1.334408,-1.591771,3.376794,-20.87749,-0.698056,-0.58261,0.005445,0.132079,0.328071,63.17506,-5.058641,10.01617,3.775335,-0.950835,-5.985628,0.000033,-0.317079,sexy
