@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_13 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_17 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_20 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_14 numeric
@attribute Mean_Acc1000_Mean_Mem40_LPCC_7 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_21 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_11 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_A numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_G# numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_NumMax numeric

@data

0.128055,0.000102,4.805336,6.254433,6.71491,8.448413,0.422722,0.397693,0.39581,2.085942,-266.806074,0.650652,1.05235,3.665224,0.243319,0.242672,0.218908,0.172257,0.034088,0.047065,0.064762,0.072237,0.028434,0.000019,0.102903,0.087551,0.085039,0.012908,0.000035,0.000027,0.154553,0.215038,1.00549,0.001283,0.006298
-0.000991,0.000311,4.909174,6.155967,5.428326,7.732313,0.360574,0.34648,0.392904,2.128828,-447.994517,0.629803,0.833483,3.432966,0.247814,0.237199,0.207444,0.180434,0.039195,0.074578,0.079555,0.099557,0.056081,0.000233,0.091552,0.099013,0.046032,0.010186,0.000312,0.000219,0.156987,0.215035,1.008176,0.001746,0.009757
0.652301,0.000119,5.709043,9.246586,7.831912,10.353281,0.33188,0.273227,0.220458,2.101672,-387.67048,0.56928,0.843658,4.767952,0.227625,0.195405,0.173629,0.143898,0.029518,0.036869,0.061093,0.092582,0.047726,0.000084,0.0991,0.073562,0.051447,0.006292,0.00006,0.000058,0.14827,0.211284,1.00304,0.000918,0.002076
0.125158,0.000527,4.443643,6.114137,5.96947,8.293394,0.450003,0.432711,0.404039,2.127515,-103.798529,0.551372,0.789289,3.058073,0.224629,0.215303,0.182118,0.145212,0.040383,0.043179,0.054624,0.07231,0.034567,0.000066,0.08465,0.105318,0.071398,0.00738,0.000074,0.000057,0.158572,0.21498,1.009744,0.001494,0.022042
0.219401,0.000387,5.739812,7.799231,6.857734,8.502009,0.417628,0.375106,0.333754,2.103933,-195.728433,0.498301,0.665999,3.671374,0.235254,0.202744,0.201648,0.165611,0.043949,0.066039,0.067674,0.074581,0.078099,0.000158,0.09015,0.098904,0.122321,0.008369,0.000116,0.000095,0.155282,0.215064,1.005473,0.000973,0.003605
0.204181,0.000727,4.544052,5.39337,6.258571,9.139951,0.418609,0.425617,0.42489,2.095509,-158.096485,0.665671,0.784752,3.708648,0.224936,0.238284,0.19392,0.155788,0.038239,0.039639,0.051839,0.073059,0.050633,0.000151,0.1026,0.095461,0.065494,0.004536,0.000378,0.00033,0.150077,0.214872,1.004279,0.001023,0.004057
-0.255439,0.000169,5.436715,6.184957,7.107382,7.976628,0.377516,0.388009,0.406674,2.156445,-163.867231,0.697969,0.930343,4.127435,0.266367,0.2648,0.24112,0.193582,0.050585,0.076689,0.103014,0.098789,0.055599,0.000037,0.088406,0.17774,0.062326,0.02687,0.000038,0.000036,0.152852,0.215074,1.008429,0.001747,0.012423
0.252061,0.000468,4.181469,4.997659,5.905378,6.990783,0.321245,0.455529,0.488805,2.109851,-290.789638,0.560908,0.818921,2.987713,0.219191,0.199424,0.192791,0.148033,0.040224,0.049248,0.053528,0.066506,0.157566,0.00015,0.124915,0.091119,0.172345,0.009163,0.000089,0.000093,0.154367,0.217598,1.006791,0.001249,0.005837
0.067799,0.000258,5.451462,6.706782,7.390884,8.946066,0.325262,0.294347,0.305976,2.053648,-636.871448,0.580332,0.87175,3.811366,0.230832,0.217829,0.190979,0.161867,0.048487,0.049471,0.063141,0.084692,0.064346,0.000051,0.102382,0.09424,0.068734,0.007681,0.000099,0.000092,0.144788,0.21464,1.005459,0.001298,0.007404
0.198438,0.000659,4.7647,6.382358,8.775917,8.665085,0.341638,0.360173,0.347501,2.05379,-886.273849,0.662866,0.793514,4.45238,0.228204,0.23383,0.193328,0.135319,0.041702,0.053043,0.058052,0.086014,0.062896,0.000199,0.12877,0.069891,0.10181,0.008291,0.000356,0.000292,0.145969,0.209995,1.006191,0.001208,0.013886
0.015173,0.000112,4.821541,6.837315,7.073966,10.643288,0.386739,0.408588,0.340073,2.102811,-509.428753,0.620093,0.880945,4.342939,0.219952,0.225168,0.199819,0.148233,0.040091,0.050069,0.057341,0.103011,0.065953,0.000062,0.135318,0.095266,0.037611,0.005338,0.00013,0.000071,0.155095,0.212722,1.004251,0.001002,0.003729
0.240562,0.000988,4.052596,4.884987,5.703334,7.233893,0.492133,0.469485,0.478147,2.209206,-23.035774,0.689245,0.841597,2.644724,0.243876,0.239588,0.189412,0.144879,0.032743,0.091246,0.082151,0.085407,0.034951,0.000186,0.112745,0.070176,0.062953,0.0138,0.00018,0.000156,0.165133,0.218056,1.010005,0.001342,0.016996
-0.042276,0.000183,4.825334,6.867987,5.459384,5.095331,0.269973,0.338637,0.38899,2.111245,-1028.923715,0.449945,0.69677,2.685034,0.220819,0.180092,0.143416,0.145874,0.023689,0.023642,0.041653,0.074378,0.028606,0.000117,0.122197,0.183618,0.009432,0.007825,0.000089,0.00006,0.160135,0.216728,1.002793,0.000878,0
0.075765,0.000422,4.341189,5.633154,8.287474,9.392565,0.404055,0.406799,0.401739,2.115803,-79.075247,0.5716,0.712587,3.829007,0.221362,0.219284,0.171885,0.161878,0.037277,0.046639,0.058689,0.064592,0.049765,0.000108,0.130096,0.083373,0.063168,0.003652,0.000128,0.000156,0.155519,0.214355,1.005333,0.001004,0.004146
0.004911,0.000245,5.775298,8.138108,9.769027,10.942723,0.257254,0.265273,0.279461,2.087438,-250.158517,0.543344,0.958987,4.868937,0.221072,0.203001,0.186263,0.138941,0.038132,0.052479,0.045905,0.071599,0.072062,0.000342,0.135052,0.118858,0.035664,0.005563,0.000189,0.000203,0.144472,0.210513,1.002916,0.00086,0.002017
0.059875,0.000441,4.373937,5.629547,6.428627,9.363428,0.433178,0.459993,0.430846,2.141867,-45.524587,0.546187,0.717422,3.490982,0.219522,0.221316,0.18437,0.131529,0.038311,0.04279,0.050173,0.06171,0.03041,0.000148,0.111986,0.070516,0.041147,0.005049,0.000199,0.000094,0.155078,0.216144,1.003957,0.00099,0.003469
-0.058021,0.00045,4.696495,5.078642,6.778746,7.677665,0.403767,0.412532,0.430589,2.131913,-133.443567,0.540864,0.801355,2.950108,0.230853,0.209238,0.176173,0.147367,0.022677,0.048655,0.046895,0.07144,0.012462,0.000136,0.11819,0.077067,0.036365,0.005064,0.00009,0.000087,0.154389,0.216738,1.005745,0.000982,0.002981
0.33589,0.000476,5.043207,6.86801,7.825488,8.150095,0.350539,0.388896,0.372047,2.144916,-65.090186,0.564225,0.668763,2.877631,0.212892,0.208218,0.182836,0.1347,0.042119,0.048947,0.061691,0.09565,0.07598,0.000153,0.102051,0.094676,0.110901,0.007267,0.000305,0.000267,0.158797,0.209872,1.007356,0.001355,0.017353
