@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[4]_amean numeric
@attribute mfcc_sma[5]_max numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_max numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_min numeric
@attribute F0_sma_amean numeric
@attribute F0_sma_skewness numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[4]_range numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_min numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_range numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute output {sexy,notsexy}

@data

0.295641,23.28132,2.446285,0.287572,20.49817,0.208847,14.23894,15.59169,-1.954488,22.42267,-1.596834,3.118766,-2.868666,-2.077671,0.00484,0.025898,0.149016,63.74953,1.42967,10.53823,8.890174,9.39217,0.022684,-6.26061,3.670996,8.988781,0.000046,-0.163883,sexy
0.413549,23.57356,-4.263958,-0.73284,21.85333,-0.312626,19.38768,15.99925,-4.217145,18.87574,-2.293726,4.403344,-0.561942,0.907825,0.007864,0.059136,0.126423,72.85242,1.416719,14.12726,11.55895,12.70235,0.124358,-8.575708,5.455279,10.39364,0.000179,-0.180077,sexy
-0.207499,12.3589,-4.135737,-0.001652,13.40891,-5.780754,4.780926,16.18739,-5.849096,13.97838,-7.203754,3.141765,-5.709536,-5.111084,0.014519,0.053673,0.162139,143.0648,0.402291,7.573931,7.23016,8.351759,-0.251615,-3.852914,4.399008,11.07891,0.000094,-0.170789,sexy
0.691542,5.43662,-2.592509,-0.245748,15.29027,-2.193351,15.5852,13.1556,1.832489,19.48724,0.629435,3.435235,1.060434,2.253262,0.004235,0.052333,0.130691,63.99492,1.871507,8.346176,9.467886,8.129838,-0.032871,-4.112824,4.068201,9.114611,0.000128,-0.171887,sexy
-0.313332,18.65842,3.232477,-0.401061,23.13374,2.871001,16.98525,23.10253,3.692086,17.05868,-1.464225,2.656371,0.182947,-0.094275,0.00605,0.046516,0.117542,88.35921,1.407736,8.084259,9.705896,8.878684,-0.18783,-6.224188,4.178343,9.914764,0.000113,-0.13346,sexy
-0.2883,12.09127,-3.732402,0.251076,16.77522,-0.073013,13.77719,17.03208,2.148342,14.39926,0.618154,2.957939,0.310601,1.038348,0.005445,0.044896,0.115661,74.64779,1.20388,7.881034,7.765713,7.603072,-0.217126,-4.822767,3.471714,8.940067,0.000101,-0.175429,sexy
0.573599,18.97792,4.884583,0.179453,21.17732,-8.295874,37.65581,13.43211,-2.117017,27.37821,-0.872394,3.439528,-1.315248,-1.410892,0.00363,0.075413,0.081463,186.2242,0.056246,11.98011,12.13018,12.05024,0.057495,-6.105267,4.442949,12.73155,0.000323,-0.205255,sexy
-0.516776,20.45997,-5.088239,-0.312769,20.1054,4.024243,27.26065,23.93077,-1.334408,22.4439,-1.591771,3.376794,-0.698056,-0.58261,0.005445,0.029842,0.132079,63.17506,1.907825,11.47594,10.01617,9.300365,-0.950835,-5.985628,4.81441,10.32854,0.000033,-0.165953,sexy
0.197721,18.35382,-0.069889,0.169471,23.52663,-4.677637,26.46415,20.60538,1.815401,23.09283,0.244894,2.99546,-0.783707,-1.744054,0.005445,0.05734,0.129879,147.182,0.501928,10.14818,12.62466,10.70228,0.140107,-5.942148,4.351164,9.946579,0.000094,-0.176934,sexy
