@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Volume numeric
@attribute mean_Complex_Tonal numeric
@attribute std_SpectralCentroid numeric
@attribute output {sexy,notsexy}

@data

0.849902,0.047408,21.97851,0.233099,998.6509,0.11036,36792.39,sexy
0.779904,0.050245,30.30431,3.539508,2341.251,0.125903,297266.8,sexy
0.729361,0.063008,83.69317,0.155931,6015.114,0.130821,319476.8,sexy
0.572686,0.083138,35.79339,0.464173,2059.05,0.076057,211444.6,sexy
0.831692,0.038985,26.73874,0.297539,1224.56,0.086732,175176,sexy
0.688958,0.063218,25.1993,0.243293,1344.725,0.105007,168745.4,sexy
0.596339,0.026398,9.686629,0.471375,241.0077,0.043482,492781.7,sexy
0.884762,0.048975,41.36333,0.283946,2274.029,0.077385,45356.52,sexy
0.573833,0.079263,58.14189,0.254455,4935.639,0.097942,268293.5,sexy
0.580432,0.038046,35.25223,0.13848,1562.66,0.093034,99164.65,sexy
0.599667,0.102779,45.39151,0.736951,4143.758,0.097149,373186.6,sexy
0.800973,0.075166,41.86048,0.438986,2471.677,0.098658,150959,sexy
0.728427,0.040456,59.24251,0.076077,2385.576,0.108636,48483.68,sexy
0.815748,0.062948,34.63769,0.246291,1588.89,0.106362,249757.1,sexy
0.539863,0.101819,77.91722,0.114181,7265.684,0.101232,380354.5,sexy
0.788695,0.068813,34.76049,0.18199,1413.99,0.114533,267190.7,sexy
0.822937,0.077897,57.86196,0.11047,2902.375,0.117584,112549.6,sexy
0.733252,0.114497,104.8425,0.244348,8022.2,0.071211,177971.6,sexy
0.693574,0.100439,40.19302,0.346784,1790.921,0.067909,110581.5,sexy
0.562759,0.073101,45.997,0.326145,1784.492,0.060492,224720.1,sexy
0.687445,0.057523,8.753585,0.305169,242.8254,0.041978,587392.9,sexy
0.786353,0.120929,49.72443,0.269905,1234.195,0.094064,33170.01,sexy
0.482749,0.12263,45.72392,0.145795,1402.906,0.143344,311859.7,sexy
0.938257,0.04168,31.71769,0.132744,2863.706,0.100287,65856.13,sexy
0.654615,0.116039,98.63588,0.244593,9322.252,0.109136,104816.5,sexy
0.759177,0.030989,8.38335,0.239006,320.8086,0.068459,220497.8,sexy
0.836511,0.097694,93.82027,0.231502,5311.126,0.119269,41291.87,sexy
0.68926,0.119635,48.17831,0.093385,7554.61,0.108489,172889.1,sexy
0.982444,0.037955,15.53977,0.373323,408.0181,0.103288,336926.7,sexy
0.696723,0.064479,34.28577,0.526992,1553.799,0.09542,307490.9,sexy
0.556342,0.081711,26.84272,0.296356,1017.431,0.078035,146637.1,sexy
0.885888,0.071232,34.48238,0.080569,1203.015,0.097688,27268.48,sexy
0.652675,0.075276,11.53888,0.663663,434.3514,0.125151,724105.9,sexy
0.777333,0.150451,99.49572,0.713482,9668.657,0.128789,151825.8,sexy
0.580738,0.058115,15.99134,0.646896,387.8395,0.134292,336810.4,sexy
0.646648,0.081004,35.98466,0.144231,2698.061,0.119474,114403.2,sexy
1.217669,0.089715,72.47553,0.084265,1606.593,0.109387,15743.56,sexy
0.586733,0.114124,48.98869,0.151841,3065.986,0.1218,141423.5,sexy
0.720684,0.122317,98.24827,0.065387,2460.107,0.09339,10706.03,sexy
0.641344,0.141014,57.37513,0.582986,3289.824,0.106701,358228.7,sexy
0.552533,0.085873,60.9462,0.22955,2201.742,0.094096,170178.5,sexy
0.946379,0.085396,55.08501,0.504645,4160.777,0.126318,230426.3,sexy
0.662422,0.075664,25.66266,0.357498,2320.162,0.117245,128815.1,sexy
0.532319,0.121411,132.9527,0.217341,9169.747,0.070869,158496,sexy
0.944531,0.037043,23.8825,0.315158,555.0087,0.093156,28610.14,sexy
0.650693,0.091253,20.68446,0.239909,645.9675,0.094082,284465.9,sexy
0.596231,0.107198,85.46199,0.425422,6110.308,0.099826,225601.6,sexy
0.890756,0.059352,42.12266,0.248418,1862.621,0.093548,53101.46,sexy
0.678343,0.132647,65.68799,0.179035,4632.945,0.093302,188537.2,sexy
0.609049,0.117063,75.29558,0.169997,2167.824,0.093842,75446.61,sexy
0.626563,0.061128,15.82205,0.397372,1103.993,0.088213,501422.3,sexy
0.52418,0.083876,30.85644,0.081636,791.4716,0.077335,125989,sexy
0.482749,0.12263,45.72392,0.145795,1402.906,0.143344,311859.7,sexy
1.143048,0.067122,59.75738,0.212327,1064.083,0.080577,2837.169,sexy
0.744629,0.112168,49.38931,0.092735,3022.533,0.146199,33042.07,sexy
0.819607,0.061868,33.39887,0.142566,1889.235,0.087118,63769.56,sexy
0.658074,0.176515,114.0976,0.791711,17448.28,0.091408,100929.8,sexy
0.594917,0.058757,57.10997,0.15321,4136.339,0.074609,96472.38,sexy
0.555154,0.113487,93.90036,2.264413,11974.42,0.127013,414381.9,sexy
0.78202,0.095025,49.5447,0.064532,1867.776,0.073207,36058.09,sexy
0.683096,0.04794,10.22121,0.408655,270.8933,0.103585,918838.6,sexy
0.681334,0.081108,39.08897,0.085762,954.5178,0.056822,56453.59,sexy
0.699178,0.121647,57.10564,0.141717,3593.48,0.090185,74228.26,sexy
0.510373,0.097675,42.31866,0.09235,1378.859,0.108911,1077384,sexy
0.593732,0.176289,67.94584,0.327281,5879.163,0.136185,333154,sexy
0.683318,0.04768,7.523502,0.237032,151.2596,0.09663,931114.9,sexy
0.682366,0.04624,9.154281,0.3592,332.2092,0.116187,827365.8,sexy
1.051821,0.10509,107.9064,0.493122,8975.376,0.125602,11312.7,sexy
0.671282,0.070427,50.35895,0.095026,2058.281,0.087461,37289.9,sexy
0.882144,0.08288,27.20376,1.117195,2455.437,0.093259,474606.6,sexy
0.83397,0.07254,29.51966,0.264603,1094.5,0.114546,125957.5,sexy
0.784848,0.121051,87.13383,0.615674,4259.414,0.085113,114937.6,sexy
0.570135,0.062906,69.0103,0.077089,4650.598,0.105884,470593.5,sexy
