% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {sexy,notsexy}


@data
6.535186e+01,4.156690e+00,1.263663e+00,8.499022e-01,8.426999e-01,8.938427e-01,4.740830e-02,2.197851e+01,6.114048e+00,2.872550e+02,7.399955e-01,1.630483e-02,9.876023e-02,2.330985e-01,2.051654e-04,5.222579e-03,9.986509e+02,8.824440e-01,0.000000e+00,8.122503e-01,1.103598e-01,0.000000e+00,1.526013e-01,4.557784e-03,3.457262e+02,3.679239e+04,sexy
1.529257e+02,8.243353e+00,1.520510e+00,7.799035e-01,3.036085e+00,8.846187e-01,5.024488e-02,3.030431e+01,7.424224e+00,5.975598e+03,1.516677e+01,7.958304e-02,1.951086e-01,3.539508e+00,9.129624e-04,6.288028e-03,2.341251e+03,5.581272e+00,0.000000e+00,8.901465e-01,1.259032e-01,0.000000e+00,9.785088e-02,3.647332e-03,5.982125e+02,2.972668e+05,sexy
7.182804e+01,4.577040e+00,1.325353e+00,7.293612e-01,6.476291e-01,8.845448e-01,6.300849e-02,8.369317e+01,5.721067e+00,6.268151e+02,2.003310e+00,3.662372e-02,1.047970e-01,1.559308e-01,2.184375e-04,3.749196e-03,6.015114e+03,1.122013e+00,0.000000e+00,9.161119e-01,1.308213e-01,0.000000e+00,7.690213e-02,2.365597e-03,5.536899e+02,3.194768e+05,sexy
8.129356e+01,5.800343e+00,1.525520e+00,5.726862e-01,9.998526e-01,8.990018e-01,8.313837e-02,3.579339e+01,4.851061e+00,2.496877e+02,9.182918e-01,1.225509e-02,2.258969e-02,4.641733e-01,1.576021e-04,9.238683e-03,2.059050e+03,2.463643e-01,0.000000e+00,7.876165e-01,7.605693e-02,0.000000e+00,1.673882e-01,4.089682e-03,7.653797e+02,2.114446e+05,sexy
6.083692e+01,4.119936e+00,1.271171e+00,8.316920e-01,6.631783e-01,8.820395e-01,3.898486e-02,2.673874e+01,5.973247e+00,2.783140e+02,1.112724e+00,3.951901e-02,2.329282e-01,2.975387e-01,4.176045e-04,4.731871e-03,1.224560e+03,2.184597e+00,0.000000e+00,9.354194e-01,8.673186e-02,0.000000e+00,6.045016e-02,1.910302e-03,3.605821e+02,1.751760e+05,sexy
7.402580e+01,5.086431e+00,1.423825e+00,6.889581e-01,8.967629e-01,9.017227e-01,6.321843e-02,2.519930e+01,5.275215e+00,1.951064e+02,6.796993e-01,1.828344e-02,4.936438e-02,2.432931e-01,2.129894e-04,7.043492e-03,1.344725e+03,5.165204e-01,0.000000e+00,9.700399e-01,1.050072e-01,0.000000e+00,2.908181e-02,3.557783e-03,5.641138e+02,1.687454e+05,sexy
6.724670e+01,5.239132e+00,1.502835e+00,5.963388e-01,6.597148e-01,8.774015e-01,2.639791e-02,9.686629e+00,4.784480e+00,4.209099e+02,2.511075e+00,7.625627e-02,1.044983e-01,4.713746e-01,7.594299e-04,3.887604e-03,2.410077e+02,2.124741e+00,0.000000e+00,3.282290e-01,4.348161e-02,0.000000e+00,2.206416e-01,4.943627e-03,8.151798e+02,4.927817e+05,sexy
5.827608e+01,3.544749e+00,1.149181e+00,8.847618e-01,6.584842e-01,8.752485e-01,4.897524e-02,4.136333e+01,6.792003e+00,4.660667e+02,1.511386e+00,3.635199e-02,9.589995e-02,2.839463e-01,9.296294e-04,5.095366e-03,2.274029e+03,1.537404e+00,0.000000e+00,8.448735e-01,7.738519e-02,0.000000e+00,1.311496e-01,2.345499e-03,2.806258e+02,4.535652e+04,sexy
7.237758e+01,5.133602e+00,1.425987e+00,5.738326e-01,7.529772e-01,8.863975e-01,7.926329e-02,5.814189e+01,5.178414e+00,4.752251e+02,2.313040e+00,4.308006e-02,8.083638e-02,2.544553e-01,2.606928e-04,9.084842e-03,4.935639e+03,6.045906e-01,0.000000e+00,8.501997e-01,9.794159e-02,0.000000e+00,1.274450e-01,3.454235e-03,6.603595e+02,2.682935e+05,sexy
6.588336e+01,4.301569e+00,1.294458e+00,5.804322e-01,5.477688e-01,8.787380e-01,3.804558e-02,3.525223e+01,5.762383e+00,3.992395e+02,1.165299e+00,3.068337e-02,5.571765e-02,1.384798e-01,3.943285e-04,4.327788e-03,1.562660e+03,1.446961e+00,0.000000e+00,9.533955e-01,9.303379e-02,0.000000e+00,4.446215e-02,1.977791e-03,4.078473e+02,9.916465e+04,sexy
9.329960e+01,5.970347e+00,1.493186e+00,5.996666e-01,1.051099e+00,8.884598e-01,1.027791e-01,4.539151e+01,5.435485e+00,9.374971e+02,2.877023e+00,4.726669e-02,8.009796e-02,7.369508e-01,3.026916e-04,2.432492e-02,4.143758e+03,1.718081e+00,0.000000e+00,7.929427e-01,9.714884e-02,0.000000e+00,1.642939e-01,4.113840e-03,9.433942e+02,3.731866e+05,sexy
7.030323e+01,5.159765e+00,1.451400e+00,8.009732e-01,1.026072e+00,8.963679e-01,7.516603e-02,4.186048e+01,5.452721e+00,3.011659e+02,1.322021e+00,3.131983e-02,1.147513e-01,4.389863e-01,2.972491e-04,6.832823e-03,2.471677e+03,8.953597e-01,0.000000e+00,7.982690e-01,9.865751e-02,0.000000e+00,1.611429e-01,4.582024e-03,4.098483e+02,1.509590e+05,sexy
5.670247e+01,2.724938e+00,9.822136e-01,7.284268e-01,4.340242e-01,8.518689e-01,4.045578e-02,5.924251e+01,8.028365e+00,6.935154e+02,9.179113e-01,2.222154e-02,2.386526e-01,7.607720e-02,4.492257e-04,1.715542e-03,2.385576e+03,1.042009e+00,0.000000e+00,8.921438e-01,1.086355e-01,0.000000e+00,9.628734e-02,2.958013e-03,4.338612e+02,4.848368e+04,sexy
