@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_minPos numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[6]_maxPos numeric
@attribute mfcc_sma[6]_minPos numeric
@attribute mfcc_sma[7]_maxPos numeric
@attribute mfcc_sma[7]_skewness numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute F0_sma_maxPos numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_amean numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_max numeric
@attribute mfcc_sma_de[8]_skewness numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[9]_max numeric
@attribute mfcc_sma_de[11]_maxPos numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_minPos numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_stddev numeric
@attribute output {sleepy,notsleepy}

@data

0.016418,0.01243,0.012795,3.376241,-7.40882,-1.124184,1104,2.219951,1548,2609,2635,0.059629,1.156928,-1.995598,-10.86014,0.047798,0.040422,1936,0.019054,-0.000002,6.334922,-0.000002,0.408882,4.323894,-0.0255,0.663946,3.037096,0.033021,3.211334,4.16543,2936,3.41907,6.353113,2062,0.618209,0.786265,0.000026,0.000059,0.085901,0.000291,0.017057,sleepy
0.011376,0.01095,0.00541,1.213284,-1.89536,-0.38259,892,3.151713,789,1818,1468,-0.134752,-4.411965,-2.516013,-3.932082,0.031838,0.030138,1133,0.005065,0.000002,4.354354,0.000006,-0.163508,4.374645,0.228253,0.757763,3.702145,0.003102,3.174663,3.475818,398,3.316566,7.250356,2939,0.891766,0.944357,0.000018,0.000016,0.14558,0.000729,0.027,sleepy
0.011376,0.01095,0.00541,1.213284,-1.89536,-0.38259,892,3.151713,789,1818,1468,-0.134752,-4.411965,-2.516013,-3.932082,0.031838,0.030138,1133,0.005065,0.000002,4.354354,0.000006,-0.163508,4.374645,0.228253,0.757763,3.702145,0.003102,3.174663,3.475818,398,3.316566,7.250356,2939,0.891766,0.944357,0.000018,0.000016,0.14558,0.000729,0.027,sleepy
0.007484,0.00705,0.006991,1.558306,-2.752801,-0.250581,1146,-2.111125,2606,52,2875,-0.179024,-14.64456,-3.165606,6.145952,0.050985,0.066908,128,0.009454,-0.000001,6.267423,0.000007,-0.219399,6.857224,0.269865,1.527089,11.35221,-0.147059,4.351213,4.548801,1650,3.416167,10.50094,1133,1.439444,1.199807,0.000066,0.000027,0.13528,0.001024,0.031996,sleepy
0.007484,0.00705,0.006991,1.558306,-2.752801,-0.250581,1146,-2.111125,2606,52,2875,-0.179024,-14.64456,-3.165606,6.145952,0.050985,0.066908,128,0.009454,-0.000001,6.267423,0.000007,-0.219399,6.857224,0.269865,1.527089,11.35221,-0.147059,4.351213,4.548801,1650,3.416167,10.50094,1133,1.439444,1.199807,0.000066,0.000027,0.13528,0.001024,0.031996,sleepy
0.025467,0.027267,0.018458,2.074507,-5.110014,0.193857,2958,0.043134,2282,279,2464,-0.155946,-4.279339,-1.072213,-7.841188,0.05784,0.069172,159,0.024607,-0.00001,4.683159,-0.000007,-0.124604,3.626351,0.131019,0.887893,5.722131,0.065372,3.841394,5.677044,388,4.50314,8.355862,2306,0.977254,0.988565,-0.000022,0.000082,0.148859,0.000665,0.025786,sleepy
0.018631,0.022297,0.013175,1.625444,2.500121,-0.654764,1225,-7.739232,592,49,130,-0.410678,-0.314307,2.094883,0.971338,0.053863,0.059248,295,0.018814,0.000002,5.190449,0.000004,-0.169428,4.879375,-0.036353,0.891427,3.384347,-0.124611,3.717389,4.501894,328,4.177287,7.673123,700,0.900295,0.948849,0.000002,0.000026,0.156926,0.000821,0.028651,sleepy
0.00829,0.008955,0.005425,4.11992,-1.45081,-1.272227,2978,-5.590516,747,1956,659,-0.122369,-5.579046,-10.21481,-4.617293,0.054367,0.056213,2878,0.009816,-0.000001,7.158008,0.000001,-0.047121,4.077494,0.089851,1.221332,5.53374,0.046323,3.638249,4.671189,846,3.488158,7.620149,291,0.845295,0.919421,0.00002,0.000059,0.144949,0.000827,0.028759,sleepy
0.012518,0.009622,0.009286,1.51716,-2.651603,-0.678869,534,-1.959269,823,582,2883,-0.01084,-1.670523,-1.446,1.290653,0.052243,0.066528,581,0.013536,0.000013,9.103948,-0.000001,-0.342193,5.810688,0.138975,1.022324,6.893435,0.157032,4.547342,3.594329,2924,4.006973,8.425749,1280,0.945558,0.972412,-0.000169,0.000076,0.140638,0.000747,0.027324,sleepy
0.012393,0.014587,0.009597,1.608113,-5.743386,-0.278358,1157,5.368331,2229,1148,323,-0.2053,-6.364461,-2.034926,-0.422484,0.038765,0.046358,1152,0.013678,0.000004,6.650566,-0.000006,-0.092813,4.324078,-0.071803,0.877355,4.63548,0.186018,4.130045,3.964855,231,3.954744,7.804317,1388,0.833761,0.913106,0.000014,0.000054,0.12936,0.000827,0.02875,sleepy
0.025329,0.016632,0.016936,1.281157,1.146976,-0.948475,2091,2.193295,493,1932,1059,0.117879,-1.693503,-1.920877,-9.522751,0.056884,0.049038,2564,0.017505,0.000007,6.976021,0.000008,0.010374,4.916513,-0.048797,0.993285,4.712814,0.181463,3.986651,4.390625,326,4.023166,11.14293,2967,1.136854,1.066242,0.000026,0.000058,0.154181,0.000905,0.03008,sleepy
0.003191,0.002549,0.001448,1.271623,5.800787,0.020584,385,0.694406,407,2340,1490,0.019958,-3.463797,-3.992376,-9.460018,0.032568,0.037746,1601,0.001043,0.000001,7.782989,0,0.270963,3.600602,-0.039261,0.903665,4.354098,-0.029492,3.358455,3.685702,2199,3.167652,6.092881,1295,0.697278,0.835032,0.000025,0.000006,0.078158,0.000532,0.02307,sleepy
0.003191,0.002549,0.001448,1.271623,5.800787,0.020584,385,0.694406,407,2340,1490,0.019958,-3.463797,-3.992376,-9.460018,0.032568,0.037746,1601,0.001043,0.000001,7.782989,0,0.270963,3.600602,-0.039261,0.903665,4.354098,-0.029492,3.358455,3.685702,2199,3.167652,6.092881,1295,0.697278,0.835032,0.000025,0.000006,0.078158,0.000532,0.02307,sleepy
