@relation arff_file/psysound.arff

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sleepy,notsleepy}

@data

60.80998,4.433932,1.350549,0.794546,0.622049,0.895166,0.114891,117.3873,5.40355,181.1251,0.97343,0.024677,0.066977,0.138979,0.00023,0.014755,8911.563,0.672213,0,0.789614,0.099333,0,0.166235,0.004089,321.4041,121954.2,sleepy
56.19776,3.469495,1.140379,1.125461,0.750886,0.879465,0.045603,63.49095,6.928069,93.0899,0.448922,0.019811,0.190324,0.057725,0.00019,0.001493,1959.708,1.391506,0,0.973369,0.13028,0,0.025939,0.001869,249.082,12759.49,sleepy
56.19776,3.469495,1.140379,1.125461,0.750886,0.879465,0.045603,63.49095,6.928069,93.0899,0.448922,0.019811,0.190324,0.057725,0.00019,0.001493,1959.708,1.391506,0,0.973369,0.13028,0,0.025939,0.001869,249.082,12759.49,sleepy
47.75312,3.233505,1.193431,0.794203,0.623097,0.845728,0.025447,13.54842,5.802824,541.2486,0.65334,0.022621,0.22656,0.748433,0.001352,0.004749,356.28,4.304971,0,0.930093,0.106844,0,0.065063,0.003196,455.2472,119860.6,sleepy
47.75312,3.233505,1.193431,0.794203,0.623097,0.845728,0.025447,13.54842,5.802824,541.2486,0.65334,0.022621,0.22656,0.748433,0.001352,0.004749,356.28,4.304971,0,0.930093,0.106844,0,0.065063,0.003196,455.2472,119860.6,sleepy
69.87737,4.521906,1.306716,0.823671,0.881522,0.892217,0.095474,94.46307,6.066654,294.223,1.513959,0.039129,0.105969,0.195682,0.000248,0.006317,5680.475,1.418931,0,0.943409,0.140434,0,0.053424,0.002714,441.0572,187957.2,sleepy
59.26512,3.336989,1.128257,0.608187,0.417287,0.870703,0.077867,85.22949,6.650772,285.6897,1.080652,0.025413,0.040207,0.085207,0.000476,0.005841,5360.724,0.762815,0,0.973369,0.078309,0,0.025939,0.000651,466.4191,50834.19,sleepy
59.58588,3.806905,1.249064,0.58515,0.4321,0.873301,0.049327,42.91168,5.61071,132.0714,0.913562,0.030291,0.046501,0.027095,0.000341,0.004138,1111.445,0.779687,0,0.779627,0.106573,0,0.171923,0.004366,491.8223,92015.46,sleepy
71.93905,4.419672,1.297478,0.580957,0.648124,0.867734,0.050775,53.96938,6.60891,408.3875,1.733874,0.044898,0.07096,0.377636,0.000806,0.003549,1520.829,2.253939,0,0.894807,0.087215,0,0.09419,0.002332,448.7897,226426,sleepy
52.63709,4.016548,1.297807,0.852388,0.476392,0.88517,0.063387,77.19077,5.386122,232.9659,1.066045,0.032945,0.202192,0.163761,0.000299,0.004888,4215.099,1.237318,0,0.771638,0.074292,0,0.17633,0.003052,281.0201,56331.48,sleepy
65.50271,3.815542,1.203591,0.659604,0.585362,0.865371,0.087882,69.94482,6.796708,258.1823,0.945581,0.032039,0.124481,0.138439,0.000548,0.007815,1973.544,1.203518,0,0.728362,0.072073,0,0.197983,0.003903,483.6849,106210.7,sleepy
57.97492,2.749841,0.960879,0.925721,0.819874,0.863239,0.049134,45.76253,9.502726,117.1488,0.644084,0.028015,0.050572,0.091031,0.000482,0.002988,1410.513,8.937987,0,0.736352,0.101939,0,0.194267,0.004559,295.3088,8331.127,sleepy
57.97492,2.749841,0.960879,0.925721,0.819874,0.863239,0.049134,45.76253,9.502726,117.1488,0.644084,0.028015,0.050572,0.091031,0.000482,0.002988,1410.513,8.937987,0,0.736352,0.101939,0,0.194267,0.004559,295.3088,8331.127,sleepy
57.85852,3.762275,1.200214,0.957699,0.69081,0.889724,0.104398,95.06823,6.309042,212.1817,1.072982,0.027421,0.043617,0.194073,0.000263,0.012931,10010.77,0.88337,0,0.992676,0.087543,0,0.007275,0.001325,224.4957,98633.11,sleepy
57.85852,3.762275,1.200214,0.957699,0.69081,0.889724,0.104398,95.06823,6.309042,212.1817,1.072982,0.027421,0.043617,0.194073,0.000263,0.012931,10010.77,0.88337,0,0.992676,0.087543,0,0.007275,0.001325,224.4957,98633.11,sleepy
57.85852,3.762275,1.200214,0.957699,0.69081,0.889724,0.104398,95.06823,6.309042,212.1817,1.072982,0.027421,0.043617,0.194073,0.000263,0.012931,10010.77,0.88337,0,0.992676,0.087543,0,0.007275,0.001325,224.4957,98633.11,sleepy
65.26555,4.882851,1.432771,0.836528,0.686081,0.897703,0.124868,123.8775,5.220046,322.076,0.954537,0.026351,0.10171,0.126035,0.000234,0.009088,9995.804,1.007537,0,0.818242,0.101831,0,0.148821,0.004632,509.2475,359737.8,sleepy
65.26555,4.882851,1.432771,0.836528,0.686081,0.897703,0.124868,123.8775,5.220046,322.076,0.954537,0.026351,0.10171,0.126035,0.000234,0.009088,9995.804,1.007537,0,0.818242,0.101831,0,0.148821,0.004632,509.2475,359737.8,sleepy
48.64332,2.679823,1.00561,1.089238,0.604553,0.8816,0.108948,98.31427,7.699399,44.63042,0.259014,0.013006,0.086842,0.037709,0.000221,0.006806,5612.303,0.880021,0,0.821571,0.095378,0,0.14669,0.003768,254.5754,3957.932,sleepy
68.13174,4.418307,1.300731,0.699422,0.715286,0.893781,0.17521,165.4781,5.748399,299.3801,1.324291,0.027309,0.060363,0.263977,0.000154,0.010622,10847.97,0.933525,0,0.908123,0.096477,0,0.083492,0.002352,438.3566,170658.9,sleepy
61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6,sleepy
54.59943,3.686093,1.20736,0.62822,0.31633,0.861804,0.040935,39.54133,6.283993,345.5881,1.645562,0.065523,0.094979,0.054494,0.000718,0.00351,1851.771,2.697834,0,0.593209,0.078547,0,0.241473,0.004561,405.784,61014.18,sleepy
97.45518,6.605201,1.640716,0.389393,0.815986,0.858301,0.061885,58.09771,4.8229,384.1403,1.59914,0.035595,0.031656,0.175741,0.000994,0.003887,1921.084,1.142628,0,0.829561,0.141165,0,0.141484,0.005474,1272.514,858798.3,sleepy
97.45518,6.605201,1.640716,0.389393,0.815986,0.858301,0.061885,58.09771,4.8229,384.1403,1.59914,0.035595,0.031656,0.175741,0.000994,0.003887,1921.084,1.142628,0,0.829561,0.141165,0,0.141484,0.005474,1272.514,858798.3,sleepy
83.22591,4.901288,1.335278,0.60982,0.671885,0.8623,0.041922,51.71152,6.383721,1051.036,2.977135,0.058979,0.105416,0.0856,0.000763,0.003043,2701.538,1.547366,0,0.960053,0.129539,0,0.038377,0.002321,567.1882,276564.9,sleepy
