@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F# numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowMidBPMRatio numeric
@attribute BeatHisto_MeanACR numeric
@attribute output {sleepy,notsleepy}

@data

0.070955,0.050111,-53.923173,5.69163,1.508348,0.594088,0.399815,0.000053,0.643917,0.417306,0.127798,0.521265,0.454467,0.433863,0.429541,0.031943,0.034555,0.202746,0.247328,0.282503,0.478704,0.114493,3.606307,0.119644,0.041523,0.040019,0.143844,20.446283,0.507795,0.571831,sleepy
0.049238,0.040023,-53.250354,9.014159,2.323282,-0.33417,0.032732,0.000126,0.703433,0.436484,0.132986,0.382615,0.375949,0.362297,0.331418,0.016185,0.013085,0.178997,0.261838,0.300778,0.464828,0.112218,4.321413,0.106533,0.039714,0.046191,0.149543,11.528698,0.708163,0.592006,sleepy
0.048612,0.040355,-54.205418,8.048545,1.590946,0.203677,0.661,0.000265,0.544883,0.285751,0.137543,0.696441,0.477626,0.453836,0.460977,0.035474,0.018005,0.198925,0.35827,0.305901,0.583447,0.141086,3.937668,0.143861,0.055796,0.052482,0.146926,13.175171,0.773585,0.566176,sleepy
0.016344,0.01338,-69.166041,5.655232,2.477272,1.366499,0.726168,0.000014,0.402112,0.543964,0.056906,0.322626,0.319184,0.431201,0.473315,0.008632,0.003721,0.248384,0.455523,0.381583,0.563243,0.159719,6.208039,0.151189,0.081662,0.060679,0.165385,3.731903,0.669811,0.556717,sleepy
0.017268,0.009245,-55.626095,5.301577,2.05904,1.056129,0.371754,0.000399,0.621027,0.50728,0.065998,0.421415,0.371315,0.422245,0.460516,0.017239,0.005471,0.181841,0.271216,0.289852,0.329417,0.118762,4.178991,0.148206,0.026357,0.032316,0.156836,12.399627,0.596195,0.535515,sleepy
0.040086,0.026298,-49.518583,6.990649,1.366362,0.442673,-0.239389,0.000498,0.641976,0.309707,0.135465,0.55918,0.659056,0.425421,0.449646,0.020713,0.007729,0.225879,0.275314,0.327279,0.612463,0.111574,3.632345,0.115459,0.046728,0.044871,0.154463,30.17052,0.75,0.538629,sleepy
0.053756,0.040102,-50.758412,7.771823,1.324871,0.746051,0.409386,0.000469,0.572432,0.420325,0.142625,0.570951,0.569186,0.441692,0.371946,0.031338,0.020697,0.186992,0.272369,0.308659,0.576635,0.116194,3.912912,0.12529,0.026824,0.041201,0.165223,17.533638,0.950495,0.575714,sleepy
0.04796,0.029013,-51.192686,4.377099,2.444898,0.745544,0.390918,0.000313,0.629498,0.495516,0.09937,0.424153,0.42675,0.388804,0.421802,0.026236,0.020437,0.229731,0.321396,0.374306,0.720725,0.13694,3.712664,0.116007,0.042331,0.045204,0.161875,45.981278,0.61596,0.56217,sleepy
0.021491,0.016864,-59.300625,8.046756,2.82409,0.932688,0.022274,0.000123,0.627722,0.406365,0.079277,0.528204,0.454826,0.42391,0.454914,0.020385,0.006985,0.218769,0.271765,0.367592,0.724796,0.142502,4.510378,0.156556,0.050423,0.045924,0.156268,11.080472,0.615044,0.545721,sleepy
