@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_F# numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowMidBPMRatio numeric
@attribute BeatHisto_MeanACR numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.070955,0.050111,-53.923173,5.69163,1.508348,0.594088,0.399815,0.000053,0.643917,0.417306,0.127798,0.521265,0.454467,0.433863,0.429541,0.031943,0.034555,0.202746,0.247328,0.282503,0.478704,0.114493,3.606307,0.119644,0.041523,0.040019,0.143844,20.446283,0.507795,0.571831,69.75436,4.399948,1.281401,0.724986,0.828275,0.889461,0.111219,127.5115,6.291316,351.3404,2.14237,0.061454,0.071125,0.283429,0.000393,0.01141,15763.56,1.806246,0,0.92743,0.117046,0,0.067348,0.002605,510.5562,336362.3
0.049238,0.040023,-53.250354,9.014159,2.323282,-0.33417,0.032732,0.000126,0.703433,0.436484,0.132986,0.382615,0.375949,0.362297,0.331418,0.016185,0.013085,0.178997,0.261838,0.300778,0.464828,0.112218,4.321413,0.106533,0.039714,0.046191,0.149543,11.528698,0.708163,0.592006,65.1733,3.422836,1.12702,0.738105,0.588267,0.868227,0.211292,357.3762,6.916975,179.6422,0.763284,0.017974,0.035761,0.075392,0.00023,0.011732,32242.06,1.155636,0,0.808256,0.095418,0,0.155082,0.004188,449.2091,36759.73
0.048612,0.040355,-54.205418,8.048545,1.590946,0.203677,0.661,0.000265,0.544883,0.285751,0.137543,0.696441,0.477626,0.453836,0.460977,0.035474,0.018005,0.198925,0.35827,0.305901,0.583447,0.141086,3.937668,0.143861,0.055796,0.052482,0.146926,13.175171,0.773585,0.566176,54.399,3.166447,1.11985,0.727557,0.5115,0.854201,0.063337,101.0294,6.784627,227.5372,0.711839,0.027491,0.297346,0.173226,0.000859,0.00404,9769.369,3.794354,0,0.928762,0.133701,0,0.066208,0.002507,444.6114,110072.1
0.016344,0.01338,-69.166041,5.655232,2.477272,1.366499,0.726168,0.000014,0.402112,0.543964,0.056906,0.322626,0.319184,0.431201,0.473315,0.008632,0.003721,0.248384,0.455523,0.381583,0.563243,0.159719,6.208039,0.151189,0.081662,0.060679,0.165385,3.731903,0.669811,0.556717,32.76063,2.634637,1.051033,1.173196,0.168843,0.819325,0.020026,49.54148,6.916341,65.9741,0.10899,0.022499,0.171337,0.041716,0.001332,0.000589,1201.733,4.77777,0,0.693076,0.054129,0,0.212863,0.002501,160.0114,1695.39
0.017268,0.009245,-55.626095,5.301577,2.05904,1.056129,0.371754,0.000399,0.621027,0.50728,0.065998,0.421415,0.371315,0.422245,0.460516,0.017239,0.005471,0.181841,0.271216,0.289852,0.329417,0.118762,4.178991,0.148206,0.026357,0.032316,0.156836,12.399627,0.596195,0.535515,56.8675,3.505503,1.142268,1.212451,0.999652,0.891154,0.057481,28.50299,6.938778,70.6293,0.193469,0.010322,0.050522,0.103137,0.000346,0.006897,459.2089,1.122512,0,0.631824,0.065249,0,0.232777,0.004522,112.1605,2092.604
0.040086,0.026298,-49.518583,6.990649,1.366362,0.442673,-0.239389,0.000498,0.641976,0.309707,0.135465,0.55918,0.659056,0.425421,0.449646,0.020713,0.007729,0.225879,0.275314,0.327279,0.612463,0.111574,3.632345,0.115459,0.046728,0.044871,0.154463,30.17052,0.75,0.538629,69.41359,3.939501,1.19045,0.525862,0.696922,0.886827,0.07102,84.52229,7.026138,91.75266,0.587504,0.017717,0.045404,0.111354,0.000233,0.003565,3388.85,0.857318,0,0.984021,0.093704,0,0.015734,0.001606,316.2226,29129.09
0.053756,0.040102,-50.758412,7.771823,1.324871,0.746051,0.409386,0.000469,0.572432,0.420325,0.142625,0.570951,0.569186,0.441692,0.371946,0.031338,0.020697,0.186992,0.272369,0.308659,0.576635,0.116194,3.912912,0.12529,0.026824,0.041201,0.165223,17.533638,0.950495,0.575714,65.50271,3.815542,1.203591,0.659604,0.585362,0.865371,0.087882,69.94482,6.796708,258.1823,0.945581,0.032039,0.124481,0.138439,0.000548,0.007815,1973.544,1.203518,0,0.728362,0.072073,0,0.197983,0.003903,483.6849,106210.7
0.04796,0.029013,-51.192686,4.377099,2.444898,0.745544,0.390918,0.000313,0.629498,0.495516,0.09937,0.424153,0.42675,0.388804,0.421802,0.026236,0.020437,0.229731,0.321396,0.374306,0.720725,0.13694,3.712664,0.116007,0.042331,0.045204,0.161875,45.981278,0.61596,0.56217,60.80998,4.433932,1.350549,0.794546,0.622049,0.895166,0.114891,117.3873,5.40355,181.1251,0.97343,0.024677,0.066977,0.138979,0.00023,0.014755,8911.563,0.672213,0,0.789614,0.099333,0,0.166235,0.004089,321.4041,121954.2
0.021491,0.016864,-59.300625,8.046756,2.82409,0.932688,0.022274,0.000123,0.627722,0.406365,0.079277,0.528204,0.454826,0.42391,0.454914,0.020385,0.006985,0.218769,0.271765,0.367592,0.724796,0.142502,4.510378,0.156556,0.050423,0.045924,0.156268,11.080472,0.615044,0.545721,46.89519,2.587787,0.96711,1.119779,0.494862,0.858859,0.055152,49.73011,8.048029,146.1436,0.231961,0.010592,0.259415,0.124107,0.000456,0.004056,1936.274,1.949684,0,0.938748,0.092919,0,0.057538,0.001539,190.3703,8226.166
0.055864,0.045566,-51.991565,9.329662,0.612999,0.611101,-0.003179,0.000116,0.654629,0.408902,0.143573,0.523254,0.441436,0.416339,0.394853,0.019843,0.012042,0.191775,0.258057,0.315492,0.680352,0.137722,4.09464,0.115326,0.040458,0.043531,0.149229,0,0,0.545052,73.67857,3.817027,1.175163,0.69448,0.667231,0.870861,0.129426,117.4049,6.953131,363.8829,1.450428,0.031752,0.019961,0.072967,0.000388,0.009692,7802.059,1.410826,0,0.564581,0.088964,0,0.245993,0.006756,512.3695,34775.7
0.04529,0.028407,-51.153273,5.307704,2.314573,0.397557,0.395281,0.000293,0.626666,0.381858,0.104949,0.47462,0.388522,0.362803,0.375649,0.019236,0.021568,0.181983,0.318991,0.324828,0.427323,0.159043,4.066026,0.132714,0.041243,0.051777,0.15342,16.141636,0.810748,0.586042,70.37328,4.354219,1.256842,0.900834,1.046601,0.895298,0.16681,204.1397,6.589581,119.2201,1.096062,0.030336,0.071113,0.148995,0.000146,0.015638,15109.27,0.625136,0,0.895473,0.132943,0,0.093664,0.003328,298.6182,163553.2
0.051294,0.032876,-45.282616,5.379965,0.699598,0.101933,0.310877,0.001091,0.611533,0.363614,0.161441,0.424982,0.424365,0.427628,0.379274,0.022976,0.017044,0.189659,0.302789,0.258628,0.595262,0.129286,3.50347,0.126336,0.028104,0.039915,0.162009,42.588077,0.622727,0.579591,70.01175,4.39538,1.30263,0.699865,0.823815,0.892587,0.078568,60.28162,6.063278,101.0438,0.270787,0.006562,0.065722,0.063069,0.00023,0.006855,2426.051,0.249735,0,0.953396,0.095325,0,0.044462,0.001637,349.2742,26072.77
0.05138,0.037179,-56.804543,7.677727,0.908859,0.482926,0.548491,0.000014,0.616934,0.371661,0.152736,0.428779,0.451165,0.433734,0.390537,0.022459,0.00833,0.206393,0.333186,0.300652,0.575153,0.141577,4.343322,0.118884,0.039652,0.045587,0.153287,9.230656,0.981132,0.574221,72.23859,3.848143,1.174402,0.722457,0.898339,0.889546,0.302029,389.1488,6.901945,376.651,0.764467,0.01124,0.02369,0.240022,0.000241,0.023908,35905.2,0.882446,0,0.994674,0.153693,0,0.005301,0.001569,412.4481,12589.71
0.045697,0.026902,-51.041921,5.875236,0.842928,0.688316,0.379447,0.000472,0.582838,0.399412,0.114435,0.506185,0.446545,0.419196,0.441351,0.023852,0.014446,0.191878,0.319607,0.351699,0.582039,0.126172,4.191984,0.130933,0.051149,0.043254,0.155159,45.910755,0.751515,0.552116,55.63099,4.149692,1.324362,0.809074,0.514167,0.893195,0.094255,102.8876,5.557161,163.8877,0.946959,0.033055,0.143394,0.247187,0.000185,0.005078,4864.767,0.856001,0,0.969374,0.098453,0,0.029708,0.002575,286.565,67878.39
