@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_max numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[8]_skewness numeric
@attribute mfcc_sma_de[8]_kurtosis numeric
@attribute mfcc_sma_de[11]_min numeric
@attribute mfcc_sma_de[11]_maxPos numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute mfcc_sma_de[12]_minPos numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {sleepy,notsleepy}

@data

0.008993,0.010423,-3.665466,-5.384874,-1.612285,-3.098185,3.741778,-5.21082,0.063198,13.12509,0.009183,0.000002,12.35192,0.000002,0.856766,4.17573,5.291423,4.074305,1.190035,0.272126,4.527739,-4.818202,556,4.222217,3.937174,2116,0.814886,0.902725,-0.000151,0.000127,0.011268,0.87456,0.112126,0.000734,2455,sleepy
0.010451,0.006833,2.903564,3.069446,-8.786421,-10.66925,2.914072,-5.360193,0.049073,27.73126,0.009976,0.000001,73.68008,0.000001,0.322556,6.809039,5.249584,4.21562,0.742239,-0.04828,4.832624,-3.442125,1335,3.623394,3.045515,2919,0.457389,0.676324,0.000012,0.000012,0.003513,-0.353636,0.081408,0.000374,2894,sleepy
0.013364,0.014534,1.561661,1.464592,-4.378227,-4.411404,2.904533,-5.178482,0.046977,35.74771,0.024283,0.000004,57.8754,-0.000012,0.827086,4.766851,5.538549,7.400854,0.972322,0.240197,4.106898,-5.218616,2468,6.031135,3.809314,1934,0.766413,0.875453,-0.000029,0.000044,0.006607,-0.446445,0.090864,0.000515,1238,sleepy
0.001216,0.0012,-2.723324,-2.314201,13.79008,16.77232,3.318714,-4.648882,0.016393,11.44809,0.001664,0,148.3005,0.000004,0.200109,8.09612,5.090229,4.439646,0.573763,0.181947,4.187138,-3.112554,1445,3.926809,2.871204,1816,0.551066,0.742339,0.000013,0.000001,0.001221,0.761966,0.140578,0.000307,139,sleepy
0.006334,0.004297,-3.028918,-5.294141,2.167809,2.150455,2.919495,-0.988453,0.01638,17.58344,0.005976,0,17.14789,-0.000002,0.431815,3.800351,3.536526,3.346075,0.741438,-0.054831,3.247278,-3.873162,472,3.451216,3.111953,1968,0.715432,0.845832,-0.000009,0.000009,0.002918,0.366178,0.14192,0.000423,2078,sleepy
0.019063,0.015357,-1.659672,0.822942,-1.259745,-1.244572,2.503488,-3.106014,0.042,44.37745,0.01392,0.000002,22.34584,-0.000007,0.357011,4.189463,3.811481,4.50586,0.958409,-0.065338,3.526411,-3.278405,1722,3.660449,4.276316,485,0.948787,0.974059,-0.000019,0.000026,0.005101,0.028963,0.118795,0.000592,1107,sleepy
0.025329,0.016632,1.146976,2.314604,-0.930126,2.193295,2.936344,-9.522751,0.056884,23.99134,0.017505,0.000006,13.51432,0.000008,0.753325,4.916513,4.336532,4.712814,1.216563,0.181463,3.986651,-4.648817,326,4.023166,6.11892,2967,1.136854,1.066242,0.000026,0.000058,0.007638,-0.349711,0.154181,0.000905,1359,sleepy
0.016418,0.01243,-7.40882,-6.968699,1.899917,2.219951,3.0589,-10.86014,0.047798,18.84938,0.019054,0.000006,19.04904,-0.000002,0.392762,4.323894,3.475281,3.037096,0.841961,0.033021,3.211334,-2.894321,2936,3.41907,3.614088,2062,0.618209,0.786265,0.000026,0.000059,0.007706,1.011631,0.085901,0.000291,868,sleepy
0.004834,0.003705,4.298515,3.881312,1.859911,4.112556,3.027825,0.706957,0.020417,5.330966,0.004243,0,14.62088,-0.000003,0.607721,4.242512,3.981002,4.500905,1.278533,0.026225,3.785027,-3.707316,580,3.486468,3.168285,2668,0.865891,0.930533,-0.000003,0.000004,0.002031,-0.095941,0.115679,0.000821,818,sleepy
