@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sleepy,notsleepy}

@data

4.399948,1.281401,0.724986,0.828275,127.5115,6.291316,0.000393,15763.56,1.806246,0.002605,510.5562,336362.3,sleepy
3.422836,1.12702,0.738105,0.588267,357.3762,6.916975,0.00023,32242.06,1.155636,0.004188,449.2091,36759.73,sleepy
3.166447,1.11985,0.727557,0.5115,101.0294,6.784627,0.000859,9769.369,3.794354,0.002507,444.6114,110072.1,sleepy
2.634637,1.051033,1.173196,0.168843,49.54148,6.916341,0.001332,1201.733,4.77777,0.002501,160.0114,1695.39,sleepy
3.505503,1.142268,1.212451,0.999652,28.50299,6.938778,0.000346,459.2089,1.122512,0.004522,112.1605,2092.604,sleepy
3.939501,1.19045,0.525862,0.696922,84.52229,7.026138,0.000233,3388.85,0.857318,0.001606,316.2226,29129.09,sleepy
3.815542,1.203591,0.659604,0.585362,69.94482,6.796708,0.000548,1973.544,1.203518,0.003903,483.6849,106210.7,sleepy
4.433932,1.350549,0.794546,0.622049,117.3873,5.40355,0.00023,8911.563,0.672213,0.004089,321.4041,121954.2,sleepy
2.587787,0.96711,1.119779,0.494862,49.73011,8.048029,0.000456,1936.274,1.949684,0.001539,190.3703,8226.166,sleepy
3.817027,1.175163,0.69448,0.667231,117.4049,6.953131,0.000388,7802.059,1.410826,0.006756,512.3695,34775.7,sleepy
4.354219,1.256842,0.900834,1.046601,204.1397,6.589581,0.000146,15109.27,0.625136,0.003328,298.6182,163553.2,sleepy
4.39538,1.30263,0.699865,0.823815,60.28162,6.063278,0.00023,2426.051,0.249735,0.001637,349.2742,26072.77,sleepy
3.848143,1.174402,0.722457,0.898339,389.1488,6.901945,0.000241,35905.2,0.882446,0.001569,412.4481,12589.71,sleepy
4.149692,1.324362,0.809074,0.514167,102.8876,5.557161,0.000185,4864.767,0.856001,0.002575,286.565,67878.39,sleepy
5.627781,1.499705,0.625979,0.909571,117.7178,5.010329,0.000263,11734.88,0.771196,0.004161,754.9798,704772.8,sleepy
2.679823,1.00561,1.089238,0.604553,98.31427,7.699399,0.000221,5612.303,0.880021,0.003768,254.5754,3957.932,sleepy
4.535868,1.48717,0.478236,0.248377,65.53266,3.839292,0.00035,2369.08,0.346651,0.005744,853.1522,595165.1,sleepy
4.429964,1.295875,0.780563,0.799877,90.08653,6.136477,0.000187,3758.844,0.638865,0.001959,366.5995,34666.82,sleepy
4.400262,1.265009,0.812879,1.053175,119.223,6.45701,0.000183,11400.73,0.361788,0.00352,387.4467,9165.09,sleepy
3.349862,1.140421,1.042389,0.587232,71.79997,6.744048,0.000491,2761.972,2.314763,0.00339,244.1164,29868.42,sleepy
3.994681,1.287206,0.844246,0.777369,23.8622,5.448826,0.000796,656.5668,1.708702,0.004379,606.5364,426031.9,sleepy
4.250746,1.257639,0.846899,0.851642,74.8112,6.508675,0.000305,5698.647,1.581624,0.002661,389.0908,125165.9,sleepy
3.123169,1.04815,0.897417,0.623334,69.83909,8.086623,0.000619,2495.484,5.498868,0.002177,253.749,80045.23,sleepy
4.623529,1.375121,0.848838,0.584361,80.23886,5.319217,0.000481,3494.07,1.62379,0.002206,572.7493,511834.1,sleepy
3.474258,1.155927,0.64935,0.499404,73.02709,6.519572,0.000661,4183.406,1.76856,0.004198,402.4468,36423.12,sleepy
2.765838,1.171583,0.782015,0.270467,91.84317,4.92648,0.001294,13377.19,6.080771,0.004908,562.233,192515.4,sleepy
3.834434,1.222971,0.83225,0.746074,137.8829,6.439735,0.000138,4989.007,0.833528,0.003688,244.2134,7439.165,sleepy
3.249671,1.069854,1.087895,0.775526,87.5453,7.716287,0.000358,6985.223,1.104575,0.003714,310.9227,56175.88,sleepy
3.185564,1.102469,0.610025,0.425021,86.15623,6.678225,0.000389,3879.19,0.997668,0.002704,416.6789,17838.07,sleepy
4.452947,1.359669,0.733252,0.622534,104.8425,5.336399,0.000178,8022.2,0.701093,0.00389,385.9735,177971.6,sleepy
4.289406,1.214071,0.608973,0.722235,187.0024,7.187244,0.00016,11260.26,1.732187,0.000654,358.1641,76871.97,sleepy
4.603392,1.360617,0.53308,0.613439,146.2867,5.417031,0.000334,7769.744,0.719464,0.00347,669.6684,87530.75,sleepy
4.259604,1.177292,0.697574,1.165233,168.2968,7.569895,0.000074,5170.921,0.758088,0.003355,462.6294,19298.5,sleepy
3.228047,1.050636,1.060894,0.893273,125.0017,7.897163,0.00043,12910.49,1.329067,0.003898,266.6132,16742.82,sleepy
3.151563,1.079172,0.928426,0.579442,155.2047,7.080297,0.000415,18107.48,2.504889,0.003359,326.354,226228.4,sleepy
4.540718,1.479334,0.362077,0.255074,142.7003,3.864113,0.000276,7947.14,0.395244,0.005256,518.8988,87997.52,sleepy
4.901288,1.335278,0.60982,0.671885,51.71152,6.383721,0.000763,2701.538,1.547366,0.002321,567.1882,276564.9,sleepy
4.249051,1.275059,0.567557,0.649262,160.5431,6.055914,0.000215,11543.71,0.745772,0.003147,587.7484,76481.7,sleepy
2.858816,1.053314,1.056103,0.353724,82.75503,6.985722,0.00065,4667.828,4.215681,0.000811,266.861,41046.42,sleepy
4.64318,1.327229,0.653798,0.775519,42.68181,5.908078,0.000178,1390.721,0.50316,0.003612,418.3027,36525.27,sleepy
4.329888,1.310283,0.745845,0.683397,69.11753,5.808149,0.000263,4972.103,1.154676,0.004167,400.7346,138393.9,sleepy
2.860168,1.021965,1.433112,0.754288,108.0408,7.869172,0.00086,9548.641,2.522869,0.001799,196.3471,29529.25,sleepy
3.98594,1.221414,0.965735,1.076587,46.38272,6.422889,0.000177,1422.066,0.401489,0.00399,267.1588,25193.22,sleepy
2.90155,1.045121,0.705823,0.378743,116.4504,7.506057,0.000218,3707.974,1.268966,0.001786,212.3091,16950.23,sleepy
3.449304,1.153226,0.814629,0.425133,46.04148,6.667993,0.000569,1610.369,2.926766,0.003439,332.5664,173242.9,sleepy
3.57676,1.13427,0.77133,0.745812,285.3341,7.064065,0.000219,46090.12,1.32519,0.003035,373.2025,26138.66,sleepy
4.982204,1.374768,0.747871,1.178747,75.82653,5.634856,0.000069,3817.347,0.172649,0.002079,456.9065,17194.24,sleepy
4.544238,1.41118,0.811981,0.560119,97.0975,5.042071,0.000214,4904.611,0.838183,0.001292,368.5144,149532.6,sleepy
4.418307,1.300731,0.699422,0.715286,165.4781,5.748399,0.000154,10847.97,0.933525,0.002352,438.3566,170658.9,sleepy
5.481851,1.501374,0.574246,0.718562,86.47564,5.112887,0.000102,3382.089,0.220189,0.002865,586.2845,117988.8,sleepy
4.882851,1.432771,0.836528,0.686081,123.8775,5.220046,0.000234,9995.804,1.007537,0.004632,509.2475,359737.8,sleepy
5.14351,1.423656,0.600537,0.82421,183.3713,5.318598,0.00009,14624.04,0.441933,0.002114,648.0649,223074.8,sleepy
3.88916,1.193852,0.731332,0.636408,181.4018,6.528587,0.000155,18459.28,0.793097,0.001308,449.2391,90165.26,sleepy
2.84406,1.013773,1.120416,0.360397,63.3676,7.77071,0.003298,2602.219,7.069405,0.002332,222.0954,51766.49,sleepy
4.418307,1.300731,0.699422,0.715286,165.4781,5.748399,0.000154,10847.97,0.933525,0.002352,438.3566,170658.9,sleepy
3.636906,1.148997,0.789389,0.613607,112.0065,7.091779,0.000334,6584.768,1.607338,0.002143,333.2801,32487,sleepy
3.659915,1.225658,1.002354,0.593103,46.29536,5.743023,0.000286,2466.354,0.772037,0.005239,178.518,11205.07,sleepy
3.417365,1.175638,0.888259,0.595262,42.09329,6.156786,0.00038,2903.268,2.040538,0.00377,254.7954,39224.09,sleepy
2.942848,1.060208,0.785318,0.594664,120.0071,7.42089,0.000354,6058.645,1.034484,0.003453,488.7817,25481.91,sleepy
3.091922,1.089928,0.675479,0.424305,294.6749,6.903311,0.000415,16836.62,1.227136,0.003958,391.4373,7793.737,sleepy
4.984186,1.398046,0.707372,0.970679,47.88368,5.630982,0.000347,1874.276,0.527698,0.003407,473.4352,41412.43,sleepy
