% Created by psymatrix_2_arff.pl
@relation arff_file/psysound.arff
@attribute mean_Loudness real
@attribute std_Loudness real
@attribute mean_SharpnessA real
@attribute std_SharpnessA real
@attribute mean_SharpnessZ real
@attribute std_SharpnessZ real
@attribute mean_Spectral_Dissonance(HK) real
@attribute std_Spectral_Dissonance(HK) real
@attribute mean_Spectral_Dissonance(S) real
@attribute std_Spectral_Dissonance(S) real
@attribute mean_Timbral_Width real
@attribute std_Timbral_Width real
@attribute mean_Tonal_Dissonance(HK) real
@attribute std_Tonal_Dissonance(HK) real
@attribute mean_Tonal_Dissonance(S) real
@attribute std_Tonal_Dissonance(S) real
@attribute mean_Volume real
@attribute std_Volume real
@attribute mean_Pure_Tonal real
@attribute std_Pure_Tonal real
@attribute mean_Complex_Tonal real
@attribute std_Complex_Tonal real
@attribute mean_Multiplicity real
@attribute std_Multiplicity real
@attribute mean_SpectralCentroid real
@attribute std_SpectralCentroid real
@attribute output {sleepy,notsleepy}


@data
6.975436e+01,4.399948e+00,1.281401e+00,7.249864e-01,8.282754e-01,8.894605e-01,1.112190e-01,1.275115e+02,6.291316e+00,3.513404e+02,2.142370e+00,6.145445e-02,7.112497e-02,2.834293e-01,3.930111e-04,1.140978e-02,1.576356e+04,1.806246e+00,0.000000e+00,9.274301e-01,1.170460e-01,0.000000e+00,6.734835e-02,2.604983e-03,5.105562e+02,3.363623e+05,sleepy
6.517330e+01,3.422836e+00,1.127020e+00,7.381048e-01,5.882671e-01,8.682267e-01,2.112920e-01,3.573762e+02,6.916975e+00,1.796422e+02,7.632836e-01,1.797394e-02,3.576056e-02,7.539184e-02,2.302757e-04,1.173216e-02,3.224206e+04,1.155636e+00,0.000000e+00,8.082557e-01,9.541799e-02,0.000000e+00,1.550817e-01,4.187817e-03,4.492091e+02,3.675973e+04,sleepy
5.439900e+01,3.166447e+00,1.119850e+00,7.275572e-01,5.115004e-01,8.542005e-01,6.333669e-02,1.010294e+02,6.784627e+00,2.275372e+02,7.118394e-01,2.749093e-02,2.973463e-01,1.732264e-01,8.590483e-04,4.039872e-03,9.769369e+03,3.794354e+00,0.000000e+00,9.287617e-01,1.337008e-01,0.000000e+00,6.620753e-02,2.507256e-03,4.446114e+02,1.100721e+05,sleepy
3.276063e+01,2.634637e+00,1.051033e+00,1.173196e+00,1.688429e-01,8.193251e-01,2.002623e-02,4.954148e+01,6.916341e+00,6.597410e+01,1.089900e-01,2.249909e-02,1.713367e-01,4.171577e-02,1.332260e-03,5.891212e-04,1.201733e+03,4.777770e+00,0.000000e+00,6.930759e-01,5.412910e-02,0.000000e+00,2.128634e-01,2.500959e-03,1.600114e+02,1.695390e+03,sleepy
5.686750e+01,3.505503e+00,1.142268e+00,1.212451e+00,9.996521e-01,8.911538e-01,5.748101e-02,2.850299e+01,6.938778e+00,7.062930e+01,1.934690e-01,1.032189e-02,5.052162e-02,1.031370e-01,3.463308e-04,6.896876e-03,4.592089e+02,1.122512e+00,0.000000e+00,6.318242e-01,6.524935e-02,0.000000e+00,2.327773e-01,4.521764e-03,1.121605e+02,2.092604e+03,sleepy
6.941359e+01,3.939501e+00,1.190450e+00,5.258616e-01,6.969216e-01,8.868273e-01,7.101977e-02,8.452229e+01,7.026138e+00,9.175266e+01,5.875039e-01,1.771704e-02,4.540430e-02,1.113540e-01,2.327535e-04,3.564628e-03,3.388850e+03,8.573178e-01,0.000000e+00,9.840213e-01,9.370442e-02,0.000000e+00,1.573385e-02,1.606027e-03,3.162226e+02,2.912909e+04,sleepy
6.550271e+01,3.815542e+00,1.203591e+00,6.596036e-01,5.853617e-01,8.653707e-01,8.788203e-02,6.994482e+01,6.796708e+00,2.581823e+02,9.455807e-01,3.203888e-02,1.244805e-01,1.384394e-01,5.480811e-04,7.815162e-03,1.973544e+03,1.203518e+00,0.000000e+00,7.283622e-01,7.207343e-02,0.000000e+00,1.979825e-01,3.902565e-03,4.836849e+02,1.062107e+05,sleepy
6.080998e+01,4.433932e+00,1.350549e+00,7.945457e-01,6.220492e-01,8.951658e-01,1.148910e-01,1.173873e+02,5.403550e+00,1.811251e+02,9.734296e-01,2.467725e-02,6.697742e-02,1.389792e-01,2.296129e-04,1.475501e-02,8.911563e+03,6.722133e-01,0.000000e+00,7.896138e-01,9.933259e-02,0.000000e+00,1.662345e-01,4.088870e-03,3.214041e+02,1.219542e+05,sleepy
4.689519e+01,2.587787e+00,9.671100e-01,1.119779e+00,4.948618e-01,8.588590e-01,5.515242e-02,4.973011e+01,8.048029e+00,1.461436e+02,2.319608e-01,1.059171e-02,2.594152e-01,1.241072e-01,4.561250e-04,4.055500e-03,1.936274e+03,1.949684e+00,0.000000e+00,9.387483e-01,9.291895e-02,0.000000e+00,5.753821e-02,1.539200e-03,1.903703e+02,8.226166e+03,sleepy
7.367857e+01,3.817027e+00,1.175163e+00,6.944801e-01,6.672306e-01,8.708605e-01,1.294255e-01,1.174049e+02,6.953131e+00,3.638829e+02,1.450428e+00,3.175166e-02,1.996133e-02,7.296736e-02,3.881135e-04,9.691962e-03,7.802059e+03,1.410826e+00,0.000000e+00,5.645806e-01,8.896440e-02,0.000000e+00,2.459931e-01,6.756255e-03,5.123695e+02,3.477570e+04,sleepy
